cell_id,scale_km2,grid_family,area_effective_km2,n_wells,question_code,question_name,direct_evidence_n,direct_evidence_pct_of_wells,minimum_documentary_n,minimum_documentary_pct_of_wells,partial_evidence_n,review_evidence_n,unknown_evidence_n,cell_documentary_state,cell_representativeness_state,top_blocking_requirements,universal_well_count_threshold_used,weight_used,score_used,cutoff_date,method_version
SCALE-100-O00-00060,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00061,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00062,100,SCALE_PRIMARY_O00_V1,100.00000000000786,2,Q01,Nível e profundidade da água,1,50.0,0,0.0,0,1,1,SOMENTE_EVIDENCIA_PARCIAL,UNKNOWN_REPRESENTATIVIDADE_NAO_DEMONSTRADA,Q01_R03=2|Q01_R05=2|Q01_R06=2|Q01_R02=1|Q01_R04=1,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00063,100,SCALE_PRIMARY_O00_V1,100.00000000000786,1,Q01,Nível e profundidade da água,0,0.0,0,0.0,0,0,1,UNKNOWN_SEM_EVIDENCIA_DIRETA_DA_PERGUNTA,UNKNOWN_REPRESENTATIVIDADE_NAO_DEMONSTRADA,Q01_R02=1|Q01_R03=1|Q01_R04=1|Q01_R05=1|Q01_R06=1,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00064,100,SCALE_PRIMARY_O00_V1,34.43709835309025,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00065,100,SCALE_PRIMARY_O00_V1,22.331555267868005,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00066,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00067,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00068,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00069,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00070,100,SCALE_PRIMARY_O00_V1,100.00000000000786,4,Q01,Nível e profundidade da água,4,100.0,0,0.0,3,1,0,SOMENTE_EVIDENCIA_PARCIAL,UNKNOWN_REPRESENTATIVIDADE_NAO_DEMONSTRADA,Q01_R03=4|Q01_R05=4|Q01_R06=1,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00071,100,SCALE_PRIMARY_O00_V1,100.00000000000786,1,Q01,Nível e profundidade da água,1,100.0,0,0.0,0,1,0,SOMENTE_EVIDENCIA_PARCIAL,UNKNOWN_REPRESENTATIVIDADE_NAO_DEMONSTRADA,Q01_R03=1|Q01_R05=1|Q01_R06=1,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00072,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00073,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00074,100,SCALE_PRIMARY_O00_V1,100.00000000000786,5,Q01,Nível e profundidade da água,4,80.0,0,0.0,0,4,1,SOMENTE_EVIDENCIA_PARCIAL,UNKNOWN_REPRESENTATIVIDADE_NAO_DEMONSTRADA,Q01_R03=5|Q01_R05=5|Q01_R06=5|Q01_R02=1|Q01_R04=1,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00075,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
SCALE-100-O00-00076,100,SCALE_PRIMARY_O00_V1,100.00000000000786,0,Q01,Nível e profundidade da água,0,,0,,0,0,0,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,UNKNOWN_SEM_POCOS_NO_CONJUNTO_AUDITADO,,False,False,False,2026-08-29,PIH_MS_V2.4_SUF_PERGUNTA_V1
