scale_km2,origin,question_code,support_points_n,state_no_wells_n,state_wells_without_direct_n,state_direct_present_n,state_no_wells_pct,state_wells_without_direct_pct,state_direct_present_pct,control_total_ok,method_version
150,OXY25,Q02,14284,10480,635,3169,73.368804,4.445533,22.185662,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,OXY25,Q03,14284,10480,1146,2658,73.368804,8.022963,18.608233,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,OXY25,Q04,14284,10480,478,3326,73.368804,3.346402,23.284794,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,OXY25,Q05,14284,10480,1832,1972,73.368804,12.825539,13.805657,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,O00,Q01,14284,9229,696,4359,64.610753,4.872585,30.516662,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,O00,Q02,14284,9229,782,4273,64.610753,5.474657,29.91459,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,O00,Q03,14284,9229,1473,3582,64.610753,10.312237,25.077009,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,O00,Q04,14284,9229,534,4521,64.610753,3.738449,31.650798,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,O00,Q05,14284,9229,2251,2804,64.610753,15.758891,19.630356,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,OX25,Q01,14284,9162,698,4424,64.141697,4.886586,30.971717,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,OX25,Q02,14284,9162,764,4358,64.141697,5.348642,30.509661,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,OX25,Q03,14284,9162,1357,3765,64.141697,9.50014,26.358163,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,OX25,Q04,14284,9162,499,4623,64.141697,3.493419,32.364884,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
