cell_id,scale_km2,variant,area_effective_km2,n_wells,support_points_n,hydro_surface_units_n,hydro_surface_domains_n,hydro_context_state,hydro_dominant_unit,hydro_dominant_domain,q01_cell_state_code,q01_cell_state_label,q01_direct_evidence_n,q01_cross_scale_exact_pct,q01_origin_exact_pct,q01_top_blocking_requirements,q02_cell_state_code,q02_cell_state_label,q02_direct_evidence_n,q02_cross_scale_exact_pct,q02_origin_exact_pct,q02_top_blocking_requirements,q03_cell_state_code,q03_cell_state_label,q03_direct_evidence_n,q03_cross_scale_exact_pct,q03_origin_exact_pct,q03_top_blocking_requirements,q04_cell_state_code,q04_cell_state_label,q04_direct_evidence_n,q04_cross_scale_exact_pct,q04_origin_exact_pct,q04_top_blocking_requirements,q05_cell_state_code,q05_cell_state_label,q05_direct_evidence_n,q05_cross_scale_exact_pct,q05_origin_exact_pct,q05_top_blocking_requirements,grid_family,cutoff_date,method_version,weight_used,score_used
SCALE-250-O00-00001,250,O00,42.22208797804191,0,2,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-250-O00-00002,250,O00,79.95336442654187,0,3,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,100.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,100.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,100.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,100.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,100.0,,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-250-O00-00003,250,O00,44.59421695416327,6,1,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),2,EVIDENCIA_DIRETA_PRESENTE,6,100.0,100.0,Q01_R03=6|Q01_R05=6|Q01_R06=6,2,EVIDENCIA_DIRETA_PRESENTE,6,100.0,100.0,Q02_R02=6|Q02_R03=6|Q02_R06=6|Q02_R07=6|Q02_R08=6,2,EVIDENCIA_DIRETA_PRESENTE,3,100.0,100.0,Q03_R02=6|Q03_R03=6|Q03_R07=6|Q03_R08=6|Q03_R05=5,2,EVIDENCIA_DIRETA_PRESENTE,6,100.0,100.0,Q04_R03=6|Q04_R04=6|Q04_R05=6,2,EVIDENCIA_DIRETA_PRESENTE,4,100.0,100.0,Q05_R02=6|Q05_R04=6|Q05_R05=6|Q05_R06=6|Q05_R07=6,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-250-O00-00004,250,O00,1.1465258621609975,0,0,0,0,UNKNOWN_SEM_CONTEXTO_CLASSIFICADO,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-250-O00-00005,250,O00,65.06256314639975,0,3,2,1,MULTIPLAS_UNIDADES_SUPERFICIAIS,Grupo Caiuá,Granular (Gr),0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-250-O00-00006,250,O00,140.77232647644962,1,5,2,1,MULTIPLAS_UNIDADES_SUPERFICIAIS,Grupo Caiuá,Granular (Gr),2,EVIDENCIA_DIRETA_PRESENTE,1,60.0,100.0,Q01_R03=1|Q01_R05=1|Q01_R06=1,2,EVIDENCIA_DIRETA_PRESENTE,1,60.0,100.0,Q02_R02=1|Q02_R03=1|Q02_R04=1|Q02_R05=1|Q02_R06=1,2,EVIDENCIA_DIRETA_PRESENTE,1,60.0,100.0,Q03_R02=1|Q03_R03=1|Q03_R05=1|Q03_R07=1|Q03_R08=1,2,EVIDENCIA_DIRETA_PRESENTE,1,60.0,100.0,Q04_R03=1|Q04_R04=1|Q04_R05=1,1,POCOS_SEM_EVIDENCIA_DIRETA_DA_PERGUNTA,0,0.0,60.0,Q05_R02=1|Q05_R03=1|Q05_R04=1|Q05_R05=1|Q05_R06=1,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-250-O00-00007,250,O00,0.6029202399150849,0,1,1,1,UMA_UNIDADE_SUPERFICIAL,Depósitos aluvionares,Granular (Gr),0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-250-O00-00008,250,O00,75.40810211860533,8,3,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),2,EVIDENCIA_DIRETA_PRESENTE,8,66.666667,100.0,Q01_R03=8|Q01_R05=8|Q01_R06=8,2,EVIDENCIA_DIRETA_PRESENTE,8,66.666667,100.0,Q02_R02=8|Q02_R03=8|Q02_R06=8|Q02_R07=8|Q02_R08=8,2,EVIDENCIA_DIRETA_PRESENTE,5,66.666667,100.0,Q03_R02=8|Q03_R03=8|Q03_R07=8|Q03_R08=8|Q03_R05=6,2,EVIDENCIA_DIRETA_PRESENTE,8,66.666667,100.0,Q04_R03=8|Q04_R04=8|Q04_R05=8,2,EVIDENCIA_DIRETA_PRESENTE,5,0.0,66.666667,Q05_R02=8|Q05_R04=8|Q05_R05=8|Q05_R06=8|Q05_R07=8,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-250-O00-00009,250,O00,249.68895632656444,1,9,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),2,EVIDENCIA_DIRETA_PRESENTE,1,0.0,88.888889,Q01_R03=1|Q01_R05=1|Q01_R06=1,2,EVIDENCIA_DIRETA_PRESENTE,1,0.0,88.888889,Q02_R02=1|Q02_R03=1|Q02_R06=1|Q02_R07=1|Q02_R08=1,1,POCOS_SEM_EVIDENCIA_DIRETA_DA_PERGUNTA,0,0.0,44.444444,Q03_R02=1|Q03_R03=1|Q03_R04=1|Q03_R05=1|Q03_R06=1,2,EVIDENCIA_DIRETA_PRESENTE,1,0.0,88.888889,Q04_R03=1|Q04_R04=1|Q04_R05=1,2,EVIDENCIA_DIRETA_PRESENTE,1,0.0,66.666667,Q05_R02=1|Q05_R04=1|Q05_R05=1|Q05_R06=1|Q05_R07=1,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-250-O00-00010,250,O00,249.99999999998994,0,11,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,54.545455,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,54.545455,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,54.545455,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,54.545455,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,54.545455,,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
