cell_id,scale_km2,variant,area_effective_km2,n_wells,support_points_n,hydro_surface_units_n,hydro_surface_domains_n,hydro_context_state,hydro_dominant_unit,hydro_dominant_domain,q01_cell_state_code,q01_cell_state_label,q01_direct_evidence_n,q01_cross_scale_exact_pct,q01_origin_exact_pct,q01_top_blocking_requirements,q02_cell_state_code,q02_cell_state_label,q02_direct_evidence_n,q02_cross_scale_exact_pct,q02_origin_exact_pct,q02_top_blocking_requirements,q03_cell_state_code,q03_cell_state_label,q03_direct_evidence_n,q03_cross_scale_exact_pct,q03_origin_exact_pct,q03_top_blocking_requirements,q04_cell_state_code,q04_cell_state_label,q04_direct_evidence_n,q04_cross_scale_exact_pct,q04_origin_exact_pct,q04_top_blocking_requirements,q05_cell_state_code,q05_cell_state_label,q05_direct_evidence_n,q05_cross_scale_exact_pct,q05_origin_exact_pct,q05_top_blocking_requirements,grid_family,cutoff_date,method_version,weight_used,score_used
SCALE-1000-O00-00001,1000,O00,1.403442840943237,0,0,0,0,UNKNOWN_SEM_CONTEXTO_CLASSIFICADO,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-1000-O00-00002,1000,O00,3.210240193438637,0,0,0,0,UNKNOWN_SEM_CONTEXTO_CLASSIFICADO,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,,,,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-1000-O00-00003,1000,O00,28.644078713823372,0,1,1,1,UMA_UNIDADE_SUPERFICIAL,Depósitos aluvionares,Granular (Gr),0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0.0,0.0,,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-1000-O00-00004,1000,O00,116.32899926364401,8,5,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),2,EVIDENCIA_DIRETA_PRESENTE,8,40.0,80.0,Q01_R03=8|Q01_R05=8|Q01_R06=8,2,EVIDENCIA_DIRETA_PRESENTE,8,40.0,80.0,Q02_R02=8|Q02_R03=8|Q02_R06=8|Q02_R07=8|Q02_R08=8,2,EVIDENCIA_DIRETA_PRESENTE,5,40.0,80.0,Q03_R02=8|Q03_R03=8|Q03_R07=8|Q03_R08=8|Q03_R05=6,2,EVIDENCIA_DIRETA_PRESENTE,8,40.0,80.0,Q04_R03=8|Q04_R04=8|Q04_R05=8,2,EVIDENCIA_DIRETA_PRESENTE,5,0.0,60.0,Q05_R02=8|Q05_R04=8|Q05_R05=8|Q05_R06=8|Q05_R07=8,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-1000-O00-00005,1000,O00,882.424123183556,3,35,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),2,EVIDENCIA_DIRETA_PRESENTE,3,2.857143,82.857143,Q01_R03=3|Q01_R05=3|Q01_R06=3,2,EVIDENCIA_DIRETA_PRESENTE,3,2.857143,82.857143,Q02_R02=3|Q02_R03=3|Q02_R06=3|Q02_R07=3|Q02_R08=3,2,EVIDENCIA_DIRETA_PRESENTE,1,2.857143,5.714286,Q03_R02=3|Q03_R03=3|Q03_R07=3|Q03_R08=3|Q03_R04=2,2,EVIDENCIA_DIRETA_PRESENTE,3,2.857143,82.857143,Q04_R03=3|Q04_R04=3|Q04_R05=3,2,EVIDENCIA_DIRETA_PRESENTE,3,2.857143,80.0,Q05_R02=3|Q05_R04=3|Q05_R05=3|Q05_R06=3|Q05_R07=3,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-1000-O00-00006,1000,O00,613.0405743185787,5,22,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),2,EVIDENCIA_DIRETA_PRESENTE,5,0.0,100.0,Q01_R03=5|Q01_R05=5|Q01_R06=5,2,EVIDENCIA_DIRETA_PRESENTE,5,0.0,100.0,Q02_R02=5|Q02_R03=5|Q02_R06=5|Q02_R07=5|Q02_R08=5,2,EVIDENCIA_DIRETA_PRESENTE,2,0.0,0.0,Q03_R02=5|Q03_R03=5|Q03_R05=5|Q03_R07=5|Q03_R08=5,2,EVIDENCIA_DIRETA_PRESENTE,5,0.0,100.0,Q04_R03=5|Q04_R04=5|Q04_R05=5,2,EVIDENCIA_DIRETA_PRESENTE,2,0.0,0.0,Q05_R02=5|Q05_R04=5|Q05_R05=5|Q05_R06=5|Q05_R07=5,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-1000-O00-00007,1000,O00,457.10667930018633,13,19,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),2,EVIDENCIA_DIRETA_PRESENTE,13,21.052632,100.0,Q01_R03=13|Q01_R05=13|Q01_R06=1,2,EVIDENCIA_DIRETA_PRESENTE,13,21.052632,100.0,Q02_R02=13|Q02_R06=13|Q02_R08=13|Q02_R07=12|Q02_R04=4,2,EVIDENCIA_DIRETA_PRESENTE,2,15.789474,89.473684,Q03_R02=13|Q03_R07=13|Q03_R08=13|Q03_R05=12|Q03_R04=11,2,EVIDENCIA_DIRETA_PRESENTE,13,21.052632,100.0,Q04_R03=13|Q04_R04=13|Q04_R05=1,2,EVIDENCIA_DIRETA_PRESENTE,12,21.052632,89.473684,Q05_R02=13|Q05_R04=13|Q05_R06=13|Q05_R07=13|Q05_R03=1,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-1000-O00-00008,1000,O00,847.9687751622524,42,35,2,1,MULTIPLAS_UNIDADES_SUPERFICIAIS,Grupo Caiuá,Granular (Gr),2,EVIDENCIA_DIRETA_PRESENTE,41,42.857143,91.428571,Q01_R03=42|Q01_R05=42|Q01_R06=26|Q01_R02=1|Q01_R04=1,2,EVIDENCIA_DIRETA_PRESENTE,40,42.857143,91.428571,Q02_R02=42|Q02_R06=42|Q02_R07=42|Q02_R08=42|Q02_R04=30,2,EVIDENCIA_DIRETA_PRESENTE,19,40.0,91.428571,Q03_R02=42|Q03_R07=42|Q03_R08=42|Q03_R05=41|Q03_R06=27,2,EVIDENCIA_DIRETA_PRESENTE,41,42.857143,91.428571,Q04_R03=42|Q04_R04=42|Q04_R05=26|Q04_R02=1,2,EVIDENCIA_DIRETA_PRESENTE,20,17.142857,91.428571,Q05_R02=42|Q05_R04=42|Q05_R06=42|Q05_R07=42|Q05_R05=26,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-1000-O00-00009,1000,O00,899.0093507174781,0,34,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,85.294118,73.529412,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,85.294118,73.529412,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,85.294118,73.529412,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,85.294118,73.529412,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,85.294118,73.529412,,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
SCALE-1000-O00-00010,1000,O00,1000.0000000000462,9,42,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),2,EVIDENCIA_DIRETA_PRESENTE,9,26.190476,78.571429,Q01_R03=9|Q01_R05=9|Q01_R06=5,2,EVIDENCIA_DIRETA_PRESENTE,9,26.190476,78.571429,Q02_R02=9|Q02_R06=9|Q02_R07=9|Q02_R08=9|Q02_R04=6,2,EVIDENCIA_DIRETA_PRESENTE,6,19.047619,57.142857,Q03_R02=9|Q03_R07=9|Q03_R08=9|Q03_R05=8|Q03_R03=5,2,EVIDENCIA_DIRETA_PRESENTE,9,26.190476,78.571429,Q04_R03=9|Q04_R04=9|Q04_R05=5,2,EVIDENCIA_DIRETA_PRESENTE,4,9.52381,64.285714,Q05_R02=9|Q05_R04=9|Q05_R06=9|Q05_R07=9|Q05_R03=5,SCALE_PRIMARY_O00_V1,2026-08-29,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1,False,False
