scale_km2,unit,unit_area_km2,support_points_n,cells_intersecting_unit,cells_where_unit_dominant,unit_area_in_mixed_cells_pct,unit_area_in_non_dominant_cells_pct,unit_area_weighted_cell_purity_pct,E01_same_unit_support_coverage_pct,E01_apparent_total_support_coverage_pct,E01_cross_unit_masking_pct,E01_masking_share_of_apparent_pct,E07_same_unit_support_coverage_pct,E07_apparent_total_support_coverage_pct,E07_cross_unit_masking_pct,E07_masking_share_of_apparent_pct,E09_same_unit_support_coverage_pct,E09_apparent_total_support_coverage_pct,E09_cross_unit_masking_pct,E09_masking_share_of_apparent_pct,E10_same_unit_support_coverage_pct,E10_apparent_total_support_coverage_pct,E10_cross_unit_masking_pct,E10_masking_share_of_apparent_pct
100,Depósitos aluvionares,25494.831247864422,1008,713,278,58.608481252533714,26.30858870135124,73.48191337107562,1.5873015873015872,4.662698412698413,3.075396825396825,65.95744680851064,0.3968253968253968,1.6865079365079365,1.2896825396825395,76.47058823529412,0.3968253968253968,0.5952380952380952,0.1984126984126984,33.333333333333336,1.1904761904761905,3.571428571428571,2.380952380952381,66.66666666666667
100,Embasamento Indiferenciado,15977.562385507877,642,346,166,66.82847799045861,15.2405980890253,78.19439858829615,5.14018691588785,6.386292834890965,1.2461059190031152,19.51219512195122,2.336448598130841,2.803738317757009,0.46728971962616817,16.666666666666668,0.0,0.1557632398753894,0.1557632398753894,100.0,2.1806853582554515,2.959501557632399,0.778816199376947,26.31578947368421
100,Formação Aquidauana,14941.116542751855,598,261,158,68.85485175636262,11.774660938540956,82.47895268119838,16.88963210702341,21.40468227424749,4.51505016722408,21.09375,5.852842809364549,9.531772575250837,3.678929765886288,38.59649122807018,0.0,0.5016722408026756,0.5016722408026756,100.0,10.367892976588628,12.37458193979933,2.0066889632107023,16.216216216216218
100,Formação Botucatu,20768.560894567352,822,390,232,70.04815587346307,12.793355011770787,80.46687880583687,19.099756690997566,23.844282238442823,4.744525547445255,19.897959183673468,8.27250608272506,10.097323600973237,1.824817518248175,18.072289156626507,0.7299270072992701,0.7299270072992701,0.0,0.0,9.245742092457421,13.990267639902676,4.744525547445255,33.91304347826087
100,Formação Cachoeirinha,2112.5851476416437,87,62,33,86.94722551416002,20.506748101090608,65.81162223109791,45.97701149425287,52.87356321839081,6.896551724137931,13.043478260869565,6.896551724137931,9.195402298850574,2.2988505747126435,25.0,0.0,0.0,0.0,,39.08045977011494,41.37931034482759,2.2988505747126435,5.555555555555555
100,Formação Furnas,4382.366366832952,172,100,52,88.04514017273006,17.709852331826802,68.53257857839284,24.418604651162788,28.488372093023255,4.069767441860465,14.285714285714286,11.627906976744185,12.790697674418606,1.1627906976744187,9.090909090909092,0.5813953488372093,0.5813953488372093,0.0,0.0,13.953488372093023,17.441860465116278,3.488372093023256,20.0
100,Formação Palermo,43.941366421895324,2,7,0,100.00000000000001,100.00000000000001,9.351988867346966,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
100,Formação Pantanal,75612.279243078,3032,1039,825,42.745229620784386,5.882703833300695,89.25898889069721,1.58311345646438,2.4736147757255935,0.8905013192612138,36.0,0.23087071240105542,0.6266490765171504,0.395778364116095,63.1578947368421,0.0,0.0,0.0,,0.758575197889182,1.0224274406332454,0.2638522427440633,25.806451612903224
100,Formação Ponta Grossa,1848.67307640244,74,65,17,100.0,37.701189015891934,55.26739820298547,32.432432432432435,40.54054054054054,8.108108108108109,20.0,18.91891891891892,33.78378378378378,14.864864864864865,44.0,0.0,0.0,0.0,,14.864864864864865,20.27027027027027,5.405405405405405,26.666666666666668
100,Formação Serra Geral,50682.87005918666,2016,881,498,45.85517846281872,15.126387762521325,83.52894636809853,46.52777777777778,51.438492063492056,4.910714285714286,9.546769527483125,16.91468253968254,19.345238095238095,2.430555555555556,12.564102564102564,2.1825396825396823,2.6785714285714284,0.496031746031746,18.51851851851852,33.432539682539684,36.65674603174603,3.2242063492063497,8.795669824086604
