domain,area_km2,n_E01,E01_density_per_1000km2,n_E02,pct_E02_of_E01,n_E03,pct_E03_of_E01,n_E04,pct_E04_of_E01,n_E05,pct_E05_of_E01,n_E06,pct_E06_of_E01,n_E07,pct_E07_of_E01,n_E08,pct_E08_of_E01,n_E09,pct_E09_of_E01,n_E10,pct_E10_of_E01,n_E11,pct_E11_of_E01,n_E12,pct_E12_of_E01
Cárstica (K),6223.492370278222,49,7.873392796946492,46,93.87755102040816,32,65.3061224489796,46,93.87755102040816,45,91.83673469387755,45,91.83673469387755,29,59.183673469387756,29,59.183673469387756,2,4.081632653061225,19,38.775510204081634,35,71.42857142857143,40,81.63265306122449
Fraturada (Fr),72888.48110362275,1788,24.53062504427921,1565,87.52796420581656,1438,80.42505592841164,1462,81.76733780760627,1443,80.70469798657719,1380,77.18120805369128,468,26.174496644295303,467,26.11856823266219,17,0.9507829977628636,964,53.914988814317674,696,38.92617449664429,465,26.006711409395972
Granular (Gr),278202.4657075,2040,7.3327890707656085,1803,88.38235294117646,1627,79.75490196078431,1705,83.57843137254902,1692,82.94117647058823,1626,79.70588235294117,609,29.852941176470587,600,29.41176470588235,32,1.5686274509803921,1070,52.450980392156865,906,44.411764705882355,1318,64.6078431372549
