support_id,unit,unit_assignment_status,domain,domain_assignment_status,x_5880,y_5880
SP5-0005-0101,Formação Pantanal,OK,Granular (Gr),OK,4587500.0,7842500.0
SP5-0005-0102,Formação Pantanal,OK,Granular (Gr),OK,4587500.0,7847500.0
SP5-0005-0103,Formação Pantanal,OK,Granular (Gr),OK,4587500.0,7852500.0
SP5-0006-0043,Depósitos aluvionares,OK,Granular (Gr),OK,4592500.0,7552500.0
SP5-0006-0044,Grupo Corumbá,OK,Cárstica (K),OK,4592500.0,7557500.0
SP5-0006-0045,Depósitos aluvionares,OK,Granular (Gr),OK,4592500.0,7562500.0
SP5-0006-0048,Depósitos aluvionares,OK,Granular (Gr),OK,4592500.0,7577500.0
SP5-0006-0053,Depósitos aluvionares,OK,Granular (Gr),OK,4592500.0,7602500.0
SP5-0006-0055,Depósitos aluvionares,OK,Granular (Gr),OK,4592500.0,7612500.0
SP5-0006-0056,Embasamento Indiferenciado,OK,Fraturada (Fr),OK,4592500.0,7617500.0
SP5-0006-0072,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7697500.0
SP5-0006-0075,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7712500.0
SP5-0006-0076,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7717500.0
SP5-0006-0077,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7722500.0
SP5-0006-0078,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7727500.0
SP5-0006-0079,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7732500.0
SP5-0006-0080,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7737500.0
SP5-0006-0081,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7742500.0
SP5-0006-0082,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7747500.0
SP5-0006-0083,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7752500.0
SP5-0006-0084,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7757500.0
SP5-0006-0085,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7762500.0
SP5-0006-0086,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7767500.0
SP5-0006-0087,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7772500.0
SP5-0006-0088,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7777500.0
SP5-0006-0091,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7792500.0
SP5-0006-0092,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7797500.0
SP5-0006-0093,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7802500.0
SP5-0006-0094,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7807500.0
SP5-0006-0095,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7812500.0
SP5-0006-0096,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7817500.0
SP5-0006-0097,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7822500.0
SP5-0006-0098,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7827500.0
SP5-0006-0099,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7832500.0
SP5-0006-0100,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7837500.0
SP5-0006-0101,Grupo Corumbá,OK,Cárstica (K),OK,4592500.0,7842500.0
SP5-0006-0102,Grupo Corumbá,OK,Cárstica (K),OK,4592500.0,7847500.0
SP5-0006-0103,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7852500.0
SP5-0006-0104,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7857500.0
SP5-0006-0105,Formação Pantanal,OK,Granular (Gr),OK,4592500.0,7862500.0
SP5-0006-0106,Embasamento Indiferenciado,OK,Fraturada (Fr),OK,4592500.0,7867500.0
SP5-0007-0042,Depósitos aluvionares,OK,Granular (Gr),OK,4597500.0,7547500.0
SP5-0007-0043,Formação Pantanal,OK,Granular (Gr),OK,4597500.0,7552500.0
