cell_id,scale_km2,variant,area_effective_km2,area_effective_pct_nominal,n_E01,n_E02,n_E03,n_E04,n_E05,n_E06,n_E07,n_E08,n_E09,n_E10,n_E11,n_E12,gap_E01_median_km,gap_E01_p90_km,gap_E07_median_km,gap_E07_p90_km,gap_E09_median_km,gap_E09_p90_km,gap_E10_median_km,gap_E10_p90_km,hydro_support_points_n,hydro_support_units_n,hydro_support_dominant_pct,hydro_support_entropy,hydro_support_classes_n
SCALE-100-O00-00001,100,O00,3.20677090125609,3.20677090125609,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-100-O00-00002,100,O00,3.7979795954532496,3.79797959545325,0,0,0,0,0,0,0,0,0,0,0,0,4.189654751836326,4.189654751836326,8.434365639881156,8.434365639881156,101.3200221725428,101.3200221725428,4.189654751836326,4.189654751836326,1,1,100.0,,1
SCALE-100-O00-00003,100,O00,11.28635204867119,11.28635204867119,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-100-O00-00004,100,O00,27.21466601528667,27.21466601528667,0,0,0,0,0,0,0,0,0,0,0,0,10.496958505924797,10.496958505924797,10.496958505924797,10.496958505924797,81.41905766653454,81.41905766653454,14.988698238992043,14.988698238992043,1,1,100.0,,1
SCALE-100-O00-00005,100,O00,9.14571950806331,9.14571950806331,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-100-O00-00006,100,O00,0.006958828283467723,0.006958828283467723,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-100-O00-00007,100,O00,35.65785500927633,35.65785500927633,0,0,0,0,0,0,0,0,0,0,0,0,5.713727880411219,6.282095859428158,9.600352973336552,10.12637273121809,13.309150904146748,16.030566801606216,5.713727880411219,6.282095859428158,2,2,50.0,1.0,1
SCALE-100-O00-00008,100,O00,79.9841520167457,79.9841520167457,0,0,0,0,0,0,0,0,0,0,0,0,6.791858275607607,7.436746692370619,11.363486735261391,12.224132151744412,21.780158543625767,23.302911596440534,6.791858275607607,7.436746692370619,2,2,50.0,1.0,1
SCALE-100-O00-00009,100,O00,14.252572993378221,14.252572993378221,0,0,0,0,0,0,0,0,0,0,0,0,10.356260022359551,10.356260022359551,18.076156483325995,18.076156483325995,30.45162182457639,30.45162182457639,10.356260022359551,10.356260022359551,1,1,100.0,,1
SCALE-100-O00-00010,100,O00,21.195599559885636,21.195599559885636,7,7,6,7,7,7,3,3,0,4,5,6,,,,,,,,,0,0,,,0
SCALE-100-O00-00011,100,O00,99.50362806310463,99.50362806310463,0,0,0,0,0,0,0,0,0,0,0,0,4.747953701689464,7.358307785782558,6.977295833257948,8.717598929389673,96.00159502797004,99.13482152121169,6.81125307366308,10.149979777246378,5,1,100.0,,1
SCALE-100-O00-00012,100,O00,100.00000000000786,100.00000000000786,1,1,1,1,1,1,1,1,0,0,1,1,5.997234525303538,8.029400105390865,5.997234525303538,8.029400105390865,85.96701387940689,86.27643327852763,15.728418151321863,16.725946908111702,4,1,100.0,,1
SCALE-100-O00-00013,100,O00,99.29576584277223,99.29576584277223,0,0,0,0,0,0,0,0,0,0,0,0,9.686240178886496,10.760729592029508,9.686240178886496,10.760729592029508,76.02382722657599,76.36627996349937,9.990366556248114,10.821554867501831,3,1,100.0,,1
SCALE-100-O00-00014,100,O00,94.19938021756798,94.19938021756798,6,6,6,6,6,6,3,3,0,3,4,5,4.668131108995868,4.680778944891606,4.68394090386554,5.732736887430795,66.03999042479666,66.43385643221255,4.668131108995868,4.680778944891606,3,1,100.0,,1
SCALE-100-O00-00015,100,O00,56.42191140917155,56.42191140917156,0,0,0,0,0,0,0,0,0,0,0,0,7.510353952927856,7.510353952927856,9.44844188949681,9.44844188949681,56.06191545459531,56.06191545459531,7.510353952927856,7.510353952927856,1,1,100.0,,1
SCALE-100-O00-00016,100,O00,4.727979370755337,4.727979370755337,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-100-O00-00017,100,O00,1.6681735472384123,1.668173547238412,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-100-O00-00018,100,O00,68.0666598960869,68.0666598960869,9,9,9,9,9,9,7,7,1,1,9,0,3.724496148627386,4.345032865605791,3.724496148627386,4.345032865605791,4.932377137134958,5.574218347787943,4.932377137134958,5.574218347787943,2,1,100.0,,1
SCALE-100-O00-00019,100,O00,100.00000000000786,100.00000000000786,14,13,11,13,13,11,3,3,0,10,5,11,1.9359135780973622,3.738016285582382,3.98477176099629,5.546770885043696,13.726505560418062,16.10355602026694,2.034734016004194,3.7973085483264812,4,1,100.0,,1
SCALE-100-O00-00020,100,O00,100.00000000000786,100.00000000000786,1,1,1,1,1,1,0,0,0,1,0,1,4.716740036737697,6.282795483463204,10.58869136704221,13.020821219842231,22.76376207669844,25.32855014468509,4.716740036737697,6.282795483463204,4,2,75.0,0.8112781244591328,1
SCALE-100-O00-00021,100,O00,35.78217502577612,35.78217502577612,0,0,0,0,0,0,0,0,0,0,0,0,11.06684121244429,11.06684121244429,14.39049730351237,14.39049730351237,29.360374862241382,29.360374862241382,11.06684121244429,11.06684121244429,1,1,100.0,,1
SCALE-100-O00-00022,100,O00,89.50602617662064,89.50602617662064,1,1,1,1,1,1,0,0,0,1,0,0,2.6942469248248404,2.9911530364153798,4.988573027409625,6.527127797886914,101.00774898369723,101.07651665875932,2.6942469248248404,2.9911530364153798,2,1,100.0,,1
SCALE-100-O00-00023,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,6.202559534734143,8.876288297542837,8.832256249187601,9.721352678362,91.01769977774508,94.60595659893707,8.762288447116713,12.122988742771017,4,1,100.0,,1
SCALE-100-O00-00024,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,12.704961004330958,15.06013613683443,12.704961004330958,15.06013613683443,78.53732953431036,81.07296235810884,17.799730555854907,18.25448060220038,4,1,100.0,,1
SCALE-100-O00-00025,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,12.787881638079558,15.260173866528646,12.787881638079558,15.260173866528646,68.55547007281575,71.09486868586627,12.787881638079558,15.260173866528646,4,1,100.0,,1
SCALE-100-O00-00026,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,12.936495309229304,15.39834674508141,14.221724030146913,16.676545639468248,58.5800405077985,61.123922872971754,12.936495309229304,15.39834674508141,4,1,100.0,,1
SCALE-100-O00-00027,100,O00,99.67243705685901,99.67243705685901,0,0,0,0,0,0,0,0,0,0,0,0,14.315570584759321,17.126889120999785,15.263112321405035,18.227399382022416,48.615179514159024,51.16429128501155,18.420409775436077,20.70989311424232,4,1,100.0,,1
SCALE-100-O00-00028,100,O00,72.89428511138613,72.89428511138613,1,1,1,1,1,1,1,0,0,0,0,1,8.94584236531198,9.20344683753847,8.94584236531198,9.20344683753847,40.92866658515702,41.266348438212134,24.43532624024066,24.93209912708529,3,1,100.0,,1
SCALE-100-O00-00029,100,O00,31.2776933844145,31.2776933844145,0,0,0,0,0,0,0,0,0,0,0,0,4.972445820011892,6.283022169803504,4.972445820011892,6.283022169803504,26.621001783749954,30.51523517947024,15.466814092790731,19.34147881249259,2,1,100.0,,1
SCALE-100-O00-00030,100,O00,63.293579959369616,63.293579959369616,2,2,2,2,2,2,2,2,0,0,2,0,1.6155879714169974,4.23175563202597,1.6155879714169974,4.23175563202597,12.444282869500409,16.089589767563716,6.167381772406824,8.1416295081715,3,1,100.0,,1
SCALE-100-O00-00031,100,O00,98.94423022642725,98.94423022642725,0,0,0,0,0,0,0,0,0,0,0,0,4.957514749647362,5.516083769345294,4.957514749647362,5.824442638355467,6.019799681782343,7.698289327478223,5.799543346775078,6.136317124423493,4,1,100.0,,1
SCALE-100-O00-00032,100,O00,100.00000000000786,100.00000000000786,6,6,6,6,6,6,0,0,0,4,0,6,1.990039715461502,2.8901559888523902,5.750281535677356,6.507049455496518,8.185005138303717,10.350084242660522,2.5198035003587393,4.484943893686629,4,1,100.0,,1
SCALE-100-O00-00033,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,6.877338714553796,8.233094138438823,7.1028194133608515,8.49406007095682,17.20246144181355,19.72940714407909,6.959345715856344,8.233094138438823,4,1,100.0,,1
SCALE-100-O00-00034,100,O00,99.36691504099048,99.36691504099048,0,0,0,0,0,0,0,0,0,0,0,0,8.757041092227466,10.16510630633391,8.777891799096906,10.917793381220786,26.955868668007593,29.512707445413014,13.053267077213203,15.99339794768915,4,1,100.0,,1
SCALE-100-O00-00035,100,O00,0.714720072073973,0.714720072073973,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-100-O00-00036,100,O00,34.007776826833194,34.007776826833194,0,0,0,0,0,0,0,0,0,0,0,0,13.404580581604382,13.404580581604382,16.490692861442334,16.490692861442334,107.11474959127094,107.11474959127094,13.404580581604382,13.404580581604382,1,1,100.0,,1
SCALE-100-O00-00037,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,11.217427189101322,13.225067588895083,15.15334100353056,18.30919775860987,96.89035859222976,101.8426435290869,11.217427189101322,13.225067588895083,6,1,100.0,,1
SCALE-100-O00-00038,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,16.73346119294739,19.445112102694104,17.233381878437168,19.74506451398797,84.5467769867866,87.15698844517512,18.621400589871573,21.07400376961502,4,1,100.0,,1
SCALE-100-O00-00039,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,18.65276216270493,19.316183495785175,18.730608455149337,19.4846530360528,74.69985482205527,77.31729706119542,18.99279920574097,21.306318391355067,4,1,100.0,,1
SCALE-100-O00-00040,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,14.799827417973635,17.501021177707244,14.935237241286845,17.697600050454373,64.90030611336465,67.52460544528847,15.326485034454453,17.817015747595736,4,1,100.0,,1
SCALE-100-O00-00041,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,13.816991154325041,16.306532024533873,13.816991154325041,16.306532024533873,55.17366433775213,57.802708160799654,15.998091372875397,18.49550340260396,4,1,100.0,,1
SCALE-100-O00-00042,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,14.82257934920888,15.880178393124094,15.204680036285303,15.880178393124094,45.567182571163066,48.19422708067053,17.513305895666768,19.992433758650925,4,1,100.0,,1
SCALE-100-O00-00043,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,11.028052682151941,13.471208094603263,11.028052682151941,13.471208094603263,36.17769590751853,38.782876088838464,17.71499697972952,20.568835751941197,4,1,100.0,,1
SCALE-100-O00-00044,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,7.475763997500784,10.322427714964878,7.517485050273569,10.362325609797184,24.969541440938265,29.29413914797987,8.367238656737914,12.100616533047065,6,1,100.0,,1
SCALE-100-O00-00045,100,O00,100.00000000000786,100.00000000000786,2,2,2,2,2,2,0,0,0,1,1,1,5.759908692846839,7.569344472518312,7.402535270838781,10.162453461107917,16.256248944229416,18.65329721793714,5.782487143687025,7.582891543022423,4,1,100.0,,1
SCALE-100-O00-00046,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,8.013089660108022,10.896802432534678,10.037289742352032,12.957916581900434,13.853676408390022,16.340420371361954,8.013089660108022,10.896802432534678,4,1,100.0,,1
SCALE-100-O00-00047,100,O00,100.00000000000786,100.00000000000786,18,18,18,18,18,18,7,7,0,5,12,4,2.3385751790396774,2.5841653676185183,3.5885775870984435,4.683273929734097,18.11403326654753,20.418787351097105,2.3385751790396774,2.5841653676185183,4,1,100.0,,1
SCALE-100-O00-00048,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,6.47947655471612,7.93809741714431,6.876582423124853,8.247292813508755,25.67529402999807,28.1684431766628,9.092246493688034,11.46505648297034,4,1,100.0,,1
SCALE-100-O00-00049,100,O00,62.64984473830249,62.6498447383025,4,4,4,4,4,4,2,2,0,0,3,1,5.605470545479292,6.135950391911228,5.830959831811875,6.235623441556263,33.180611405889,36.74825392631076,16.453224915432486,20.354921190483687,3,2,66.66666666666666,0.9182958340544894,1
SCALE-100-O00-00050,100,O00,16.105302451324942,16.105302451324942,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-100-O00-00051,100,O00,99.96658598268645,99.96658598268645,0,0,0,0,0,0,0,0,0,0,0,0,19.81255082018874,22.359277793650797,23.973978801255065,26.46698745241327,106.0897290008561,108.73070175868664,19.81255082018874,22.359277793650797,4,1,100.0,,1
SCALE-100-O00-00052,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,21.209125015295186,22.551522234800775,23.58767569509247,26.573023065914597,93.9295577565572,98.77737685048528,21.209125015295186,22.551522234800775,6,1,100.0,,1
SCALE-100-O00-00053,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,16.168796280160148,19.065027299243077,16.213421734693828,19.101589798205175,81.91405703070237,84.56564942192026,17.00339605842422,19.56578716620152,4,1,100.0,,1
SCALE-100-O00-00054,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,8.629091543776845,10.656883670979541,8.764216671783577,10.770033143403388,72.40147990911338,75.052624239633,8.629091543776845,10.656883670979541,4,1,100.0,,1
SCALE-100-O00-00055,100,O00,100.00000000000786,100.00000000000786,1,1,1,1,1,1,1,1,0,0,1,0,4.355114584009474,7.095256041403713,4.5028208646893075,7.095256041403713,63.040624637881635,65.6840500085025,6.806760091882994,8.957159880101427,4,1,100.0,,1
SCALE-100-O00-00056,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,6.684316804215673,8.861469596148167,8.802504629651587,11.057639782065097,53.91067362553212,56.53151007450974,6.886595831023419,8.982837012232816,4,1,100.0,,1
SCALE-100-O00-00057,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,12.865757739439857,14.314584178822008,17.253182258939994,18.864211634648992,45.151657054303115,47.71887603939627,12.865757739439857,14.314584178822008,4,1,100.0,,1
SCALE-100-O00-00058,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,5.530278178364538,9.48923283974024,9.146863220545782,14.088306628604599,35.02020088498378,38.86928077648329,6.134552806185229,9.57845801291107,6,1,100.0,,1
SCALE-100-O00-00059,100,O00,100.00000000000786,100.00000000000786,14,14,13,13,13,13,8,8,0,4,13,1,2.7744838907401754,5.002228555470939,2.940947691644029,5.1021068360132515,27.251620848612333,29.775857868673867,3.1301528806750714,5.231346576808918,4,1,100.0,,1
SCALE-100-O00-00060,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,11.440903167110037,13.975370860466334,12.25543047076559,14.731457374544371,23.890483304041496,26.443727485779025,11.56180200461548,14.197491188889764,4,1,100.0,,1
SCALE-100-O00-00061,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,7.859972737381407,10.845658868194326,13.08918572444253,15.460220661105119,24.573671040393144,27.148380663265772,7.875107537879385,11.005475790020785,4,1,100.0,,1
SCALE-100-O00-00062,100,O00,100.00000000000786,100.00000000000786,2,1,1,1,1,1,0,0,0,1,0,2,2.9779288355331275,3.940241024700359,12.073391417904542,14.5360942395305,28.950335527764594,31.424411832933973,4.352756588472433,6.630742405974875,4,1,100.0,,1
SCALE-100-O00-00063,100,O00,100.00000000000786,100.00000000000786,1,0,0,0,0,0,0,0,0,0,0,1,4.782941083381472,6.307830602561177,14.101432833486129,16.573252851795218,35.638271350055945,38.05166532964608,10.768722204494889,13.582909454543119,4,1,100.0,,1
SCALE-100-O00-00064,100,O00,34.43709835309025,34.43709835309025,0,0,0,0,0,0,0,0,0,0,0,0,10.575381837352445,10.8481998304242,13.398711990915915,15.341888650735921,41.43515090635003,42.568151922008674,16.066181030949583,17.781439321249348,2,1,100.0,,1
SCALE-100-O00-00065,100,O00,22.331555267868005,22.331555267868005,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-100-O00-00066,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,30.70429889597625,33.301713571554494,34.28508240980749,36.858543903091075,113.5098531415838,116.17144565375128,30.70429889597625,33.301713571554494,4,1,100.0,,1
SCALE-100-O00-00067,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,24.649058067145276,26.363965541175077,29.016672732644984,30.78004443973501,101.61744750752993,104.62652747059394,24.649058067145276,26.363965541175077,4,1,100.0,,1
SCALE-100-O00-00068,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,14.262462857391586,16.47061534661106,16.70643569095025,19.22057406839879,89.94125373129148,92.59965700894958,14.262462857391586,16.47061534661106,4,1,100.0,,1
SCALE-100-O00-00069,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,6.656981086791069,9.16834194386923,7.410680909809393,9.620561837680224,80.75571347139056,83.4037892655943,8.040248666698837,11.111168083650444,4,1,100.0,,1
SCALE-100-O00-00070,100,O00,100.00000000000786,100.00000000000786,4,4,4,4,4,4,2,2,0,2,3,1,3.3607630599442806,5.551974718256266,3.3607630599442806,5.551974718256266,71.78847392163513,74.41524487043756,5.69833550971793,7.75760392538988,4,1,100.0,,1
SCALE-100-O00-00071,100,O00,100.00000000000786,100.00000000000786,1,1,1,1,1,1,0,0,0,1,0,1,5.605625539235031,8.147506882911838,7.872889897020267,10.101893009702199,63.132453510557774,65.71893549592025,6.227069831984972,8.147506882911838,4,1,100.0,,1
SCALE-100-O00-00072,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,9.31552366893785,11.511507771401007,14.563481137669207,16.96951370019563,54.93435771837663,57.447371539861024,9.31552366893785,11.511507771401007,4,1,100.0,,1
SCALE-100-O00-00073,100,O00,100.00000000000786,100.00000000000786,0,0,0,0,0,0,0,0,0,0,0,0,11.36813657313456,13.752392314096735,19.34639386842834,21.480724697003247,47.43043826039161,49.81382690674894,11.36813657313456,13.752392314096735,4,1,100.0,,1
SCALE-100-O00-00074,100,O00,100.00000000000786,100.00000000000786,5,4,4,4,4,4,0,0,0,4,0,5,4.385798167759013,6.6189812316756385,9.516205250621237,11.712694521286647,38.880228237769884,41.244400240299676,4.678858373730895,6.794817355258767,4,1,100.0,,1
