scale_km2,n_cells,hex_side_km,hex_width_km,hex_height_km,E01_empty_cells_pct,E01_occupied_cells_pct,median_E01_count_occupied,p90_E01_count_occupied,max_E01_count,E07_occupied_cells_pct,E09_occupied_cells_pct,E10_occupied_cells_pct,median_gap_E01_p90_km,median_gap_E07_p90_km,median_gap_E09_p90_km,median_gap_E10_p90_km,median_hydro_support_units,pct_cells_hydro_support_mixed,median_hydro_support_dominant_pct,median_hydro_support_entropy,edge_cells_lt50pct_nominal
100,3763,6.204032394013997,10.745699318235419,12.408064788027994,79.43130480999203,20.568695190007972,2.0,11.0,147,7.786340685623173,0.9832580387988307,14.137656125431835,15.291731363083462,25.56380092598372,65.63786546662936,19.466040604569272,1.0,27.265479670475685,100.0,0.9182958340544894,202
150,2525,7.598356856515926,13.160740129524923,15.196713713031851,73.98019801980197,26.01980198019802,2.0,14.0,181,10.495049504950495,1.3465346534653466,18.217821782178216,15.921946115002278,26.281688084208906,66.9082873392347,20.15689849639031,1.0,35.04950495049505,100.0,0.8631205685666311,139
250,1537,9.809436521275705,16.99044244847122,19.61887304255141,65.97267404033832,34.02732595966168,3.0,17.0,316,15.549772283669485,2.0169160702667535,24.333116460637605,16.62167387898735,27.59258656145776,68.51389048658847,21.074599181936012,1.0,46.06376057254391,100.0,0.8112781244591328,104
500,791,13.872638167626057,24.02811414134754,27.745276335252115,55.24652338811631,44.75347661188369,3.0,24.69999999999999,391,23.640960809102403,3.792667509481669,35.01896333754741,18.45097857858304,29.658867028064833,71.24841225191862,22.59820444839195,2.0,60.556257901390644,90.47619047619048,0.7232908592268119,76
1000,413,19.61887304255141,33.98088489694244,39.23774608510282,41.88861985472155,58.111380145278446,6.0,38.29999999999998,474,35.59322033898305,6.779661016949152,49.63680387409201,19.489935438052605,31.453916255032023,74.11879330751437,24.380031425283747,2.0,67.79661016949152,85.36585365853658,0.7219280948873623,57
