evidence_code,scale_a_km2,scale_b_km2,presence_jaccard,presence_mismatch_pct,presence_a_pct,presence_b_pct,spearman_density_per100km2
E01,100,150,0.5291889483065954,14.792775133015962,21.177541304956595,26.869224306916827,0.6477223210380355
E01,100,250,0.4793116074697913,19.910389246709606,21.177541304956595,35.38924670960515,0.6164031562614167
E01,100,500,0.4112230215827338,28.647437692523102,21.177541304956595,47.48669840380846,0.5786670183424848
E01,100,1000,0.33255007273134163,41.76001120134416,21.177541304956595,62.19546345561467,0.5152670742792906
E01,150,250,0.5574430823117338,17.691122934752173,26.869224306916827,35.38924670960515,0.6552114686412491
E01,150,500,0.4946524064171123,25.14001680201624,26.869224306916827,47.48669840380846,0.6233836658543691
E01,150,1000,0.41544281263907434,36.782413889666756,26.869224306916827,62.19546345561467,0.576085044744341
E01,250,500,0.5992974871656309,20.76449173900868,35.38924670960515,47.48669840380846,0.6832708131266686
E01,250,1000,0.5378420123565755,29.326519182301876,35.38924670960515,62.19546345561467,0.6493031570867337
E01,500,1000,0.6684771033013844,21.79361523382806,47.48669840380846,62.19546345561467,0.7012115915705535
E02,100,150,0.5114713216957606,13.714645757490898,18.412209465135817,24.01988238588631,0.6339632385695543
E02,100,250,0.4534552845528455,18.82525903108373,18.412209465135817,31.650798095771492,0.5942529745973668
E02,100,500,0.38286249414702667,27.681321758611034,18.412209465135817,43.61523382805937,0.553301797688269
E02,100,1000,0.2991185339828346,42.306076729207504,18.412209465135817,60.00420050406049,0.48110156776731666
E02,150,250,0.5336547733847637,16.92803136376365,24.01988238588631,31.650798095771492,0.6344416988827627
E02,150,500,0.46868349042262086,24.46793615233828,24.01988238588631,43.61523382805937,0.6033676850925829
E02,150,1000,0.38335638543107425,37.45449453934472,24.01988238588631,60.00420050406049,0.5458531013122385
E02,250,500,0.5660597232337946,20.85550266031924,31.650798095771492,43.61523382805937,0.6581510924142225
E02,250,1000,0.49862637362637363,30.663679641556985,31.650798095771492,60.00420050406049,0.614017008943076
E02,500,1000,0.6316833866166905,23.38980677681322,43.61523382805937,60.00420050406049,0.6706913100410669
E03,100,150,0.5064171122994653,12.923550826099131,17.047045645477457,22.3956874824979,0.6335225819565462
E03,100,250,0.4478688524590164,17.684122094651357,17.047045645477457,29.326519182301876,0.5925840519154864
E03,100,500,0.37180544105523494,26.673200784094092,17.047045645477457,41.19994399327919,0.5484487438381609
E03,100,1000,0.28384642814691546,42.18006160739289,17.047045645477457,58.56902828339401,0.47521974722865695
E03,150,250,0.5236131161064137,16.171940632875945,22.3956874824979,29.326519182301876,0.6306586050640998
E03,150,500,0.45367258761401824,23.900868104172503,22.3956874824979,41.19994399327919,0.5948041146807506
E03,150,1000,0.367344525892646,37.46149537944553,22.3956874824979,58.56902828339401,0.5408594840291252
E03,250,500,0.5410738871041763,21.00252030243629,29.326519182301876,41.19994399327919,0.6417157569467181
E03,250,1000,0.47290004692632565,31.45477457294875,29.326519182301876,58.56902828339401,0.6053239264355635
E03,500,1000,0.6057464788732394,24.49593951274153,41.19994399327919,58.56902828339401,0.6572364489785342
E04,100,150,0.5051599587203303,13.427611313357604,17.782133856062725,23.06076729207505,0.6292397474764427
E04,100,250,0.449978982765868,18.32119854382526,17.782133856062725,30.516661999439933,0.5918549476926853
