cell_id,scale_km2,variant,area_effective_km2,area_effective_pct_nominal,n_E01,n_E02,n_E03,n_E04,n_E05,n_E06,n_E07,n_E08,n_E09,n_E10,n_E11,n_E12,gap_E01_median_km,gap_E01_p90_km,gap_E07_median_km,gap_E07_p90_km,gap_E09_median_km,gap_E09_p90_km,gap_E10_median_km,gap_E10_p90_km,hydro_support_points_n,hydro_support_units_n,hydro_support_dominant_pct,hydro_support_entropy,hydro_support_classes_n
SCALE-150-O00-00001,150,O00,0.03770956728187142,0.025139711521247617,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-150-O00-00002,150,O00,9.71320834119897,6.475472227465979,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-150-O00-00003,150,O00,8.06372591719992,5.37581727813328,0,0,0,0,0,0,0,0,0,0,0,0,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,76.4518931477302,76.4518931477302,9.990366556248114,9.990366556248114,1,1,100.0,,1
SCALE-150-O00-00004,150,O00,0.6116221064281853,0.4077480709521235,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-150-O00-00005,150,O00,11.676859991773432,7.784573327848955,0,0,0,0,0,0,0,0,0,0,0,0,6.424187854182392,6.424187854182392,10.257877670688476,10.257877670688476,16.710920775971083,16.710920775971083,6.424187854182392,6.424187854182392,1,1,100.0,,1
SCALE-150-O00-00006,150,O00,80.47020372363576,53.64680248242384,0,0,0,0,0,0,0,0,0,0,0,0,6.791858275607607,7.436746692370619,11.363486735261391,12.224132151744412,21.780158543625767,23.302911596440534,6.791858275607607,7.436746692370619,2,2,50.0,1.0,1
SCALE-150-O00-00007,150,O00,0.7073586748186718,0.4715724498791145,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-150-O00-00008,150,O00,16.09665750699803,10.731105004665356,5,5,4,5,5,5,2,2,0,3,3,4,,,,,,,,,0,0,,,0
SCALE-150-O00-00009,150,O00,137.08973947735805,91.39315965157203,1,1,1,1,1,1,1,1,0,0,1,1,4.468804226762895,7.267132000429312,7.300734788721031,8.9404573463706,96.17126540565606,101.15871709283378,5.779603387676271,9.745484968904572,6,1,100.0,,1
SCALE-150-O00-00010,150,O00,149.58939215375895,99.7262614358393,0,0,0,0,0,0,0,0,0,0,0,0,8.618533676886084,10.763155225620029,8.618533676886084,10.763155225620029,81.21814918625756,86.20071504386743,15.728418151321863,17.491744631048007,6,1,100.0,,1
SCALE-150-O00-00011,150,O00,137.47662820526935,91.65108547017957,5,5,5,5,5,5,3,3,0,2,4,5,5.762239204613877,9.676447811423353,5.762239204613877,9.676447811423353,68.72804826485492,70.99907036717347,5.762239204613877,9.676447811423353,4,1,100.0,,1
SCALE-150-O00-00012,150,O00,97.5388120157129,65.02587467714194,1,1,1,1,1,1,0,0,0,1,0,0,7.510353952927856,10.520665190524548,9.44844188949681,12.231189081792863,56.06191545459531,60.05242797130934,7.510353952927856,10.520665190524548,3,1,100.0,,1
SCALE-150-O00-00013,150,O00,13.61400324169796,9.076002161131973,0,0,0,0,0,0,0,0,0,0,0,0,8.94584236531198,8.94584236531198,8.94584236531198,8.94584236531198,40.92866658515702,40.92866658515702,23.04187303753281,23.04187303753281,1,1,100.0,,1
SCALE-150-O00-00014,150,O00,0.0956533071309725,0.06376887142064833,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-150-O00-00015,150,O00,54.63767126378023,36.42511417585349,7,7,7,7,7,7,5,5,1,1,7,0,2.94882525240438,4.841290394582133,2.94882525240438,4.841290394582133,4.130075623818728,5.623271033538359,4.130075623818728,5.623271033538359,3,1,100.0,,1
SCALE-150-O00-00016,150,O00,149.99999999999324,99.9999999999955,17,16,14,16,16,14,3,3,0,13,5,14,2.439038814268459,4.7014073895662545,5.25752986464408,6.9093765727308165,9.9355701290575,15.479463429608918,2.6366796900821226,5.295832204164503,7,1,100.0,,1
SCALE-150-O00-00017,150,O00,149.66919281092242,99.77946187394828,1,1,1,1,1,1,0,0,0,1,0,1,6.661450898462899,10.708074010028518,12.26231055410294,15.864760975437822,24.417260237091643,29.796873647175385,6.661450898462899,10.708074010028518,7,2,57.14285714285714,0.9852281360342515,1
SCALE-150-O00-00018,150,O00,18.85121770980636,12.567478473204241,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0
SCALE-150-O00-00019,150,O00,115.1527672237119,76.7685114824746,3,3,3,3,3,3,1,1,0,2,2,2,3.4018600064825337,5.911721609765262,8.464725658428511,11.173093109259954,101.00774898369723,101.38645089177079,3.4018600064825337,5.911721609765262,4,1,100.0,,1
