scale_km2,n_cells,hex_side_km,hex_width_km,hex_height_km,E01_empty_cells_pct,E01_occupied_cells_pct,median_E01_count_occupied,p90_E01_count_occupied,max_E01_count,E07_occupied_cells_pct,E09_occupied_cells_pct,E10_occupied_cells_pct,median_gap_E01_p90_km,median_gap_E07_p90_km,median_gap_E09_p90_km,median_gap_E10_p90_km,median_hydro_support_units,pct_cells_hydro_support_mixed,median_hydro_support_dominant_pct,median_hydro_support_entropy,edge_cells_lt50pct_nominal,E01_origin_jaccard_min,E01_origin_mismatch_max_pct,E07_origin_jaccard_min,E07_origin_mismatch_max_pct,E09_origin_jaccard_min,E09_origin_mismatch_max_pct,E10_origin_jaccard_min,E10_origin_mismatch_max_pct,descriptive_tradeoff,selection_status
100,3763,6.204032394013997,10.74569931823542,12.408064788027994,79.43130480999203,20.56869519000797,2.0,11.0,147,7.786340685623173,0.9832580387988308,14.137656125431835,15.291731363083462,25.56380092598372,65.63786546662936,19.466040604569272,1.0,27.265479670475685,100.0,0.9182958340544894,202,0.5139904209730275,13.497619714365724,0.3958594730238394,6.7418090170820495,0.2755102040816326,0.994119294315318,0.4806229626946758,10.039204704564549,RESOLUÇÃO ALTA · ESPARSIDADE MUITO ALTA,CANDIDATA_NAO_ADOTADA
150,2525,7.598356856515926,13.160740129524925,15.196713713031851,73.98019801980197,26.01980198019802,2.0,14.0,181,10.495049504950495,1.3465346534653466,18.217821782178216,15.921946115002278,26.281688084208906,66.9082873392347,20.15689849639031,1.0,35.04950495049505,100.0,0.8631205685666311,139,0.5580020387359836,15.177821338560626,0.4105067410506741,8.877065247829739,0.2989690721649484,1.4281713805656675,0.5116934347703579,12.132455894707366,RESOLUÇÃO ALTA · ESPARSIDADE ALTA,CANDIDATA_NAO_ADOTADA
250,1537,9.809436521275703,16.99044244847122,19.61887304255141,65.97267404033832,34.02732595966168,3.0,17.0,316,15.549772283669483,2.016916070266753,24.333116460637605,16.62167387898735,27.59258656145776,68.51389048658847,21.07459918193601,1.0,46.06376057254391,100.0,0.8112781244591328,104,0.6122740247383445,17.12405488658639,0.4259438528557599,12.45449453934472,0.2828507795100223,2.2542705124614955,0.5310402684563759,15.653878465415849,COMPROMISSO INTERMEDIÁRIO EM TESTE,CANDIDATA_NAO_ADOTADA
500,791,13.872638167626056,24.02811414134754,27.745276335252115,55.24652338811631,44.75347661188369,3.0,24.69999999999999,391,23.640960809102403,3.792667509481669,35.01896333754741,18.45097857858304,29.65886702806484,71.24841225191862,22.59820444839195,2.0,60.55625790139064,90.47619047619048,0.7232908592268119,76,0.6830297913400072,18.3982077849342,0.5085959885386819,16.809017082049845,0.3400250941028858,3.682441893027164,0.5973451327433629,19.112293475217022,AGREGAÇÃO ALTA · MAIOR MISTURA HIDROGEOLÓGICA,CANDIDATA_NAO_ADOTADA
1000,413,19.61887304255141,33.98088489694244,39.23774608510282,41.88861985472155,58.111380145278446,6.0,38.29999999999998,474,35.59322033898305,6.779661016949152,49.63680387409201,19.489935438052605,31.453916255032023,74.11879330751437,24.380031425283747,2.0,67.79661016949152,85.36585365853658,0.7219280948873623,57,0.762682975736916,16.570988518622233,0.5612977318403675,21.394567348081768,0.3246753246753247,7.280873704844581,0.6697258101065036,20.407448893867265,AGREGAÇÃO MUITO ALTA · MAIOR RISCO DE MASCARAR VAZIOS,CANDIDATA_NAO_ADOTADA
