scale_km2,evidence_code,occupied_pct_min,occupied_pct_max,occupied_pct_range,presence_jaccard_min,presence_jaccard_median,presence_mismatch_pct_max,spearman_counts_min,spearman_counts_median
100,E01,20.23366967604886,20.58979808714134,0.35612841109248095,0.5139904209730275,0.5777298210558687,13.497619714365724,0.6297368014898341,0.6922083750828663
100,E07,7.406424210246882,7.786340685623173,0.3799164753762918,0.3958594730238394,0.4792032292032292,6.7418090170820495,0.5383579941634777,0.6255396554190851
100,E09,0.7966011683483802,0.9832580387988307,0.18665687045045043,0.2755102040816326,0.3654152412410051,0.9941192943153179,0.43067892197913255,0.5325073255160497
100,E10,13.708820403825717,14.137656125431835,0.42883572160611827,0.48062296269467586,0.548759697721734,10.039204704564547,0.6118098887269812,0.6794829891561671
150,E01,25.80007902015014,26.01980198019802,0.21972296004788205,0.5580020387359836,0.6163684508028241,15.177821338560626,0.6542682315804481,0.7150501352763375
150,E07,10.35163966811537,10.495049504950495,0.14340983683512576,0.4105067410506741,0.48581181091766945,8.877065247829739,0.5420718541950035,0.6226398370261802
150,E09,1.2248123271434215,1.3465346534653466,0.12172232632192515,0.29896907216494845,0.39242509315502017,1.4281713805656677,0.4536943165438566,0.5580388510158962
150,E10,18.01659423152904,18.307631474891263,0.29103724336222214,0.5116934347703579,0.5634362145896586,12.132455894707366,0.6284829890687359,0.6807236676583568
250,E01,34.00520156046814,34.35064935064935,0.3454477901812112,0.6122740247383445,0.6516837270848499,17.12405488658639,0.6804714805691451,0.7207126728341269
250,E07,14.759427828348503,15.549772283669485,0.790344455320982,0.4259438528557599,0.47925407384707464,12.45449453934472,0.5391008938051245,0.5988267157847558
250,E09,1.950585175552666,2.204928664072633,0.25434348851996713,0.2828507795100223,0.3851777312409911,2.2542705124614955,0.4306171088183217,0.5479772625087651
250,E10,24.333116460637605,25.19480519480519,0.8616887341675863,0.5310402684563759,0.5753381565661206,15.653878465415849,0.6286047743946716,0.6762647710385943
500,E01,44.75347661188369,47.91403286978508,3.1605562579013906,0.6830297913400072,0.7229779885561112,18.398207784934193,0.7193106943435197,0.7599925717802501
500,E07,23.640960809102403,25.031605562579013,1.3906447534766109,0.5085959885386819,0.5564399192298086,16.809017082049845,0.5885145966474864,0.645169593417269
500,E09,3.4134007585335016,4.0455120101137805,0.6321112515802789,0.34002509410288584,0.42361377406242806,3.6824418930271636,0.49272588790657,0.5810497926032583
500,E10,35.01896333754741,37.16814159292036,2.149178255372945,0.5973451327433629,0.6507856698030037,19.112293475217026,0.6540339871124281,0.7102838071985436
1000,E01,57.3170731707317,58.111380145278446,0.7943069745467426,0.762682975736916,0.8051727089674844,16.570988518622233,0.737926645495223,0.7886242193927995
1000,E07,35.1089588377724,36.077481840193705,0.968523002421307,0.5612977318403675,0.6157711081393549,21.394567348081768,0.5745805815379046,0.6416401202748285
1000,E09,6.779661016949152,7.021791767554479,0.24213075060532674,0.3246753246753247,0.40354299214942146,7.2808737048445815,0.4466975228604027,0.541035151654727
1000,E10,46.973365617433416,49.63680387409201,2.663438256658594,0.6697258101065036,0.7148832314695317,20.407448893867265,0.6820071806454504,0.7356670500515722
