well_id,scale_km2,cell_id,assignment_method,assignment_distance_m,boundary_candidates_n
3500045248,100,SCALE-100-O00-00786,POINT_IN_POLYGON_WGS84,0.0,1
3500045507,100,SCALE-100-O00-01653,POINT_IN_POLYGON_WGS84,0.0,1
3500045558,100,SCALE-100-O00-00897,POINT_IN_POLYGON_WGS84,0.0,1
3500045371,100,SCALE-100-O00-01624,POINT_IN_POLYGON_WGS84,0.0,1
3500045309,100,SCALE-100-O00-00833,POINT_IN_POLYGON_WGS84,0.0,1
3500045304,100,SCALE-100-O00-00447,POINT_IN_POLYGON_WGS84,0.0,1
3500045174,100,SCALE-100-O00-00784,POINT_IN_POLYGON_WGS84,0.0,1
3500045574,100,SCALE-100-O00-03233,POINT_IN_POLYGON_WGS84,0.0,1
3500045589,100,SCALE-100-O00-01462,POINT_IN_POLYGON_WGS84,0.0,1
3500045341,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500045328,100,SCALE-100-O00-01689,POINT_IN_POLYGON_WGS84,0.0,1
3500045298,100,SCALE-100-O00-00858,POINT_IN_POLYGON_WGS84,0.0,1
3500045539,100,SCALE-100-O00-02794,POINT_IN_POLYGON_WGS84,0.0,1
3500045380,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500045257,100,SCALE-100-O00-00110,POINT_IN_POLYGON_WGS84,0.0,1
3500045361,100,SCALE-100-O00-01372,POINT_IN_POLYGON_WGS84,0.0,1
3500045411,100,SCALE-100-O00-01192,POINT_IN_POLYGON_WGS84,0.0,1
3500045488,100,SCALE-100-O00-01308,POINT_IN_POLYGON_WGS84,0.0,1
3500045296,100,SCALE-100-O00-00563,POINT_IN_POLYGON_WGS84,0.0,1
3500045347,100,SCALE-100-O00-02657,POINT_IN_POLYGON_WGS84,0.0,1
3500045580,100,SCALE-100-O00-02451,POINT_IN_POLYGON_WGS84,0.0,1
3500045570,100,SCALE-100-O00-03047,POINT_IN_POLYGON_WGS84,0.0,1
3500045181,100,SCALE-100-O00-02992,POINT_IN_POLYGON_WGS84,0.0,1
3500045404,100,SCALE-100-O00-01012,POINT_IN_POLYGON_WGS84,0.0,1
3500045529,100,SCALE-100-O00-02013,POINT_IN_POLYGON_WGS84,0.0,1
3500045136,100,SCALE-100-O00-01068,POINT_IN_POLYGON_WGS84,0.0,1
3500045192,100,SCALE-100-O00-00893,POINT_IN_POLYGON_WGS84,0.0,1
3500023202,100,SCALE-100-O00-01488,POINT_IN_POLYGON_WGS84,0.0,1
3500023355,100,SCALE-100-O00-00014,POINT_IN_POLYGON_WGS84,0.0,1
3500026962,100,SCALE-100-O00-00212,POINT_IN_POLYGON_WGS84,0.0,1
3500027045,100,SCALE-100-O00-02066,POINT_IN_POLYGON_WGS84,0.0,1
3500027050,100,SCALE-100-O00-01705,POINT_IN_POLYGON_WGS84,0.0,1
3500023312,100,SCALE-100-O00-02337,POINT_IN_POLYGON_WGS84,0.0,1
3500022928,100,SCALE-100-O00-01755,POINT_IN_POLYGON_WGS84,0.0,1
3500045646,100,SCALE-100-O00-01338,POINT_IN_POLYGON_WGS84,0.0,1
3500022824,100,SCALE-100-O00-01686,POINT_IN_POLYGON_WGS84,0.0,1
3500022816,100,SCALE-100-O00-01368,POINT_IN_POLYGON_WGS84,0.0,1
3500022567,100,SCALE-100-O00-03201,POINT_IN_POLYGON_WGS84,0.0,1
3500022930,100,SCALE-100-O00-01623,POINT_IN_POLYGON_WGS84,0.0,1
3500071764,100,SCALE-100-O00-01205,POINT_IN_POLYGON_WGS84,0.0,1
3500071752,100,SCALE-100-O00-00286,POINT_IN_POLYGON_WGS84,0.0,1
3500071581,100,SCALE-100-O00-00458,POINT_IN_POLYGON_WGS84,0.0,1
3500071535,100,SCALE-100-O00-00523,POINT_IN_POLYGON_WGS84,0.0,1
3500071489,100,SCALE-100-O00-01185,POINT_IN_POLYGON_WGS84,0.0,1
3500071469,100,SCALE-100-O00-02820,POINT_IN_POLYGON_WGS84,0.0,1
3500071450,100,SCALE-100-O00-00375,POINT_IN_POLYGON_WGS84,0.0,1
3500071440,100,SCALE-100-O00-02521,POINT_IN_POLYGON_WGS84,0.0,1
3500071332,100,SCALE-100-O00-00288,POINT_IN_POLYGON_WGS84,0.0,1
3500071321,100,SCALE-100-O00-01772,POINT_IN_POLYGON_WGS84,0.0,1
3500071286,100,SCALE-100-O00-02658,POINT_IN_POLYGON_WGS84,0.0,1
3500071055,100,SCALE-100-O00-03047,POINT_IN_POLYGON_WGS84,0.0,1
3500071039,100,SCALE-100-O00-02658,POINT_IN_POLYGON_WGS84,0.0,1
3500070991,100,SCALE-100-O00-01624,POINT_IN_POLYGON_WGS84,0.0,1
3500070764,100,SCALE-100-O00-00374,POINT_IN_POLYGON_WGS84,0.0,1
3500070725,100,SCALE-100-O00-02590,POINT_IN_POLYGON_WGS84,0.0,1
3500070687,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500070672,100,SCALE-100-O00-00297,POINT_IN_POLYGON_WGS84,0.0,1
3500070593,100,SCALE-100-O00-00669,POINT_IN_POLYGON_WGS84,0.0,1
3500070472,100,SCALE-100-O00-00559,POINT_IN_POLYGON_WGS84,0.0,1
3500069979,100,SCALE-100-O00-02590,POINT_IN_POLYGON_WGS84,0.0,1
3500045612,100,SCALE-100-O00-01462,POINT_IN_POLYGON_WGS84,0.0,1
3500045709,100,SCALE-100-O00-01337,POINT_IN_POLYGON_WGS84,0.0,1
3500045635,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500026937,100,SCALE-100-O00-00347,POINT_IN_POLYGON_WGS84,0.0,1
3500045640,100,SCALE-100-O00-00418,POINT_IN_POLYGON_WGS84,0.0,1
3500045639,100,SCALE-100-O00-01463,POINT_IN_POLYGON_WGS84,0.0,1
3500027253,100,SCALE-100-O00-00176,POINT_IN_POLYGON_WGS84,0.0,1
3500072013,100,SCALE-100-O00-01677,POINT_IN_POLYGON_WGS84,0.0,1
3500072071,100,SCALE-100-O00-02066,POINT_IN_POLYGON_WGS84,0.0,1
3500072823,100,SCALE-100-O00-01482,POINT_IN_POLYGON_WGS84,0.0,1
3500045662,100,SCALE-100-O00-01461,POINT_IN_POLYGON_WGS84,0.0,1
3500073735,100,SCALE-100-O00-00406,POINT_IN_POLYGON_WGS84,0.0,1
3500045671,100,SCALE-100-O00-02084,POINT_IN_POLYGON_WGS84,0.0,1
3500072514,100,SCALE-100-O00-00727,POINT_IN_POLYGON_WGS84,0.0,1
3500072669,100,SCALE-100-O00-01058,POINT_IN_POLYGON_WGS84,0.0,1
3500072874,100,SCALE-100-O00-00938,POINT_IN_POLYGON_WGS84,0.0,1
3500072417,100,SCALE-100-O00-02010,POINT_IN_POLYGON_WGS84,0.0,1
3500072847,100,SCALE-100-O00-01173,POINT_IN_POLYGON_WGS84,0.0,1
3500073700,100,SCALE-100-O00-02084,POINT_IN_POLYGON_WGS84,0.0,1
3500072775,100,SCALE-100-O00-00732,POINT_IN_POLYGON_WGS84,0.0,1
3500072064,100,SCALE-100-O00-01755,POINT_IN_POLYGON_WGS84,0.0,1
3500072751,100,SCALE-100-O00-02629,POINT_IN_POLYGON_WGS84,0.0,1
3500072461,100,SCALE-100-O00-01303,POINT_IN_POLYGON_WGS84,0.0,1
3500073697,100,SCALE-100-O00-00375,POINT_IN_POLYGON_WGS84,0.0,1
3500073844,100,SCALE-100-O00-02066,POINT_IN_POLYGON_WGS84,0.0,1
3500072054,100,SCALE-100-O00-01678,POINT_IN_POLYGON_WGS84,0.0,1
3500073563,100,SCALE-100-O00-01525,POINT_IN_POLYGON_WGS84,0.0,1
3500073561,100,SCALE-100-O00-01688,POINT_IN_POLYGON_WGS84,0.0,1
3500073599,100,SCALE-100-O00-00375,POINT_IN_POLYGON_WGS84,0.0,1
