cell_id,scale_km2,area_effective_km2,n_wells_raw,analysis_status,source_snapshot_overlap_n,pct_source_snapshot_overlap,coordinate_sites_n,coordinate_compression_n,coordinate_compression_pct,review_high_clusters_n,review_high_reduction_n,review_high_reduction_pct,review_all_clusters_n,review_all_reduction_n,review_all_reduction_pct,duplicate_candidate_wells_n,duplicate_candidate_wells_pct,high_duplicate_candidate_wells_n,high_duplicate_candidate_wells_pct,exact_colocation_wells_n,exact_colocation_wells_pct,nn_lt_100m_n,nn_lt_100m_pct,nn_lt_500m_n,nn_lt_500m_pct,nn_lt_1000m_n,nn_lt_1000m_pct,nearest_neighbor_median_m,documentary_domains_mean,documentary_domains_median,zero_domains_n,zero_domains_pct,fourplus_domains_n,fourplus_domains_pct,dated_domains_mean,dated_domains_median,source_core_pairs_comparable_n,source_core_pairs_matching_n,source_core_match_pct,specific_capacity_both_sources_n,specific_capacity_source_echo_n,specific_capacity_source_echo_pct,pumping_test_records_n,chem_sample_records_n,chem_result_records_n,hydraulic_parameter_records_n,chem_sample_records_per_well,hydraulic_parameter_records_per_well
SCALE-1000-O00-00001,1000,1.403442840943237,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE-1000-O00-00002,1000,3.210240193438637,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE-1000-O00-00003,1000,28.644078713823372,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE-1000-O00-00004,1000,116.32899926364401,8,COM_POCO_NO_CONJUNTO_AUDITADO,5.0,62.5,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,5.0,62.5,5.0,62.5,183.68,3.875,4.0,0.0,0.0,6.0,75.0,0.875,1.0,20.0,20.0,100.0,5.0,5.0,100.0,5.0,3.0,5.0,18.0,0.375,2.25
SCALE-1000-O00-00005,1000,882.424123183556,3,COM_POCO_NO_CONJUNTO_AUDITADO,3.0,100.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.66666666666667,746.36,4.333333333333333,4.0,0.0,0.0,3.0,100.0,1.3333333333333333,1.0,12.0,12.0,100.0,3.0,3.0,100.0,3.0,1.0,2.0,9.0,0.3333333333333333,3.0
SCALE-1000-O00-00006,1000,613.0405743185787,5,COM_POCO_NO_CONJUNTO_AUDITADO,3.0,60.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,3.0,60.0,3.0,60.0,462.59,3.8,4.0,0.0,0.0,4.0,80.0,0.4,0.0,12.0,12.0,100.0,3.0,3.0,100.0,3.0,1.0,1.0,11.0,0.2,2.2
SCALE-1000-O00-00007,1000,457.10667930018633,13,COM_POCO_NO_CONJUNTO_AUDITADO,12.0,92.3076923076923,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.76923076923077,6.0,46.15384615384615,7.0,53.84615384615385,721.3,4.076923076923077,4.0,0.0,0.0,13.0,100.0,1.0,1.0,48.0,48.0,100.0,12.0,12.0,100.0,12.0,3.0,3.0,38.0,0.23076923076923078,2.923076923076923
SCALE-1000-O00-00008,1000,847.9687751622524,42,COM_POCO_NO_CONJUNTO_AUDITADO,21.0,50.0,42.0,0.0,0.0,42.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.095238095238095,29.0,69.04761904761905,35.0,83.33333333333333,107.37,3.642857142857143,4.0,1.0,2.380952380952381,30.0,71.42857142857143,0.5,0.0,79.0,79.0,100.0,19.0,19.0,100.0,20.0,15.0,16.0,81.0,0.35714285714285715,1.9285714285714286
SCALE-1000-O00-00009,1000,899.0093507174781,0,SEM_POCO_NO_CONJUNTO_AUDITADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCALE-1000-O00-00010,1000,1000.0000000000462,9,COM_POCO_NO_CONJUNTO_AUDITADO,4.0,44.44444444444444,9.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.333333333333336,3.0,33.333333333333336,1749.4,4.0,4.0,0.0,0.0,8.0,88.88888888888889,0.5555555555555556,0.0,16.0,16.0,100.0,4.0,4.0,100.0,4.0,5.0,6.0,17.0,0.5555555555555556,1.8888888888888888
