well_id,latitude,longitude,municipality_declared,sgb2024_unit_aflorante,hydrolithologic_domain,source_snapshots_n,source_snapshot_overlap,source_core_pairs_comparable_n,source_core_pairs_matching_n,source_core_match_pct,exact_coordinate_group,exact_coordinate_colocation,coordinate_site_id,duplicate_candidate_level,duplicate_candidate_partners_n,duplicate_candidate_partners,review_cluster_high_id,review_cluster_all_id,nearest_neighbor_m,nn_lt_100m,nn_lt_500m,nn_lt_1000m,pumping_test_records_n,chem_sample_records_n,chem_result_records_n,hydraulic_parameter_records_n,chem_parameter_types_n,hydraulic_parameter_types_n,chem_source_datasets_n,hydraulic_source_datasets_n,specific_capacity_both_sources,specific_capacity_source_echo,domain_aquifer_context,domain_vertical_documentation,domain_water_level,domain_hydraulic,domain_chemistry,documentary_domains_n,dated_domains_n
3500067497,-20.053332999999952,-54.651666999999975,Jaraguari,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500067497,NONE,0,,3500067497,3500067497,3492.73,FALSE,FALSE,FALSE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500067701,-20.27444399999996,-53.72638899999998,Ribas do Rio Pardo,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500067701,NONE,0,,3500067701,3500067701,426.07,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500030644,-20.69027799999997,-55.00583299999994,Terenos,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500030644,NONE,0,,3500030644,3500030644,2149.48,FALSE,FALSE,FALSE,1,0,0,3,0,2,0,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,1
3500045685,-20.443610999999976,-54.550277999999935,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,3,3,100.0,,FALSE,3500045685,NONE,0,,3500045685,3500045685,489.31,FALSE,TRUE,TRUE,1,0,0,2,0,2,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,1
3500053080,-20.00416699999994,-56.27277799999996,Miranda,Formação Pantanal,Granular,2,TRUE,3,3,100.0,,FALSE,3500053080,NONE,0,,3500053080,3500053080,4034.85,FALSE,FALSE,FALSE,1,0,0,2,0,2,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1
3500022602,-19.58888799999994,-54.03666599999997,Camapuã,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022602,NONE,0,,3500022602,3500022602,21.56,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022692,-22.63916599999993,-54.81222199999996,Caarapó,Grupo Caiuá,Granular,2,TRUE,4,4,100.0,,FALSE,3500022692,NONE,0,,3500022692,3500022692,484.72,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022811,-20.938332999999943,-54.948887999999954,Sidrolândia,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022811,NONE,0,,3500022811,3500022811,105.97,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022940,-20.414999999999964,-54.63416599999994,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022940,NONE,0,,3500022940,3500022940,61.0,TRUE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500071675,-21.14495799999997,-55.13080599999995,Sidrolândia,Grupo Caiuá,Granular,1,FALSE,0,0,,,FALSE,3500071675,NONE,0,,3500071675,3500071675,672.97,FALSE,FALSE,TRUE,0,0,0,1,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3,0
3500022475,-20.480276999999944,-54.62805499999996,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022475,NONE,0,,3500022475,3500022475,245.51,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022479,-20.47194399999995,-54.55138799999997,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022479,NONE,0,,3500022479,3500022479,108.63,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022489,-20.393887999999947,-54.56777699999998,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022489,NONE,0,,3500022489,3500022489,543.37,FALSE,FALSE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022505,-20.428610999999933,-54.57444399999997,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022505,NONE,0,,3500022505,3500022505,211.05,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022509,-20.53749999999997,-54.67277699999994,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022509,NONE,0,,3500022509,3500022509,105.19,FALSE,TRUE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
3500022527,-20.42111099999994,-54.56888799999996,Campo Grande,Formação Serra Geral,Fraturada,2,TRUE,4,4,100.0,,FALSE,3500022527,NONE,0,,3500022527,3500022527,678.05,FALSE,FALSE,TRUE,1,0,0,3,0,2,0,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,1
