well_id,source_current_present,source_sgb2024_present,latitude,longitude,municipality_declared,municipality_spatial,coordinate_quality_status,nearest_neighbor_m,exact_coordinate_group,nature,situation,use_water,siagas_aquifer,sgb2024_unit_aflorante,sgb2024_unit_subjacente,aquifer_comparison_status,geology_sgb_unit,geology_sgb_sigla,depth_current_m,depth_sgb2024_profundi_1_m,depth_sgb2024_profundida_m,static_level_current_m,static_level_sgb2024_m,dynamic_level_current_m,dynamic_level_sgb2024_m,specific_capacity_current,specific_capacity_sgb2024,test_type_sgb2024,test_date_sgb2024,interpretation_method_sgb2024,transmissivity_sgb2024,permeability_sgb2024,storage_coefficient_sgb2024,stabilized_yield_sgb2024,pump_type_sgb2024,ph_current,electrical_conductivity_current,electrical_conductivity_sgb2024,temperature_current,temperature_sgb2024,turbidity_current,turbidity_sgb2024,chemical_parameter_current,chemical_concentration_current,drilling_date_current,registration_date_current,installation_date_current,drilling_date_sgb2024,analysis_date_sgb2024,collection_date_sgb2024,drilling_method_sgb2024,driller_sgb2024,formation_sgb2024,penetration_type_sgb2024,hydraulic_condition_sgb2024,capture_type_sgb2024,atlas_qlog_record,atlas_explicit_profile,rimas_flag_current
3500022769,True,True,-20.47194399999995,-55.77555499999994,Aquidauana,Aquidauana,OK,30.62,,Poço tubular,Abandonado,,Aquidauana,Formação Aquidauana,,CONSISTENTE,Formação Aquidauana,C2P1a,112,112.0,0.0,19,19.0,32,32.0,0.738,0.738,Rebaixamento,1966-01-02,,,,,9.6,,,,0.0,,,,,,,1966-01-02,2008-08-12,1966-01-02,1966-01-02,,,Rotativo,VALDEMAR GEORGE,Formação Aquidauana,,,,0.75,False,False
3500022777,True,True,-22.01194399999997,-57.02249999999998,Caracol,Caracol,OK,91.77,,Poço tubular,Abandonado,,Rocha cristalina,Embasamento Indiferenciado,,CONSISTENTE,Complexo Rio Apa,PP3ap,101,101.0,0.0,6.2,6.2,96,96.0,0.086,0.086,Rebaixamento,1981-04-24,,,,,7.76,,,,0.0,,,,,,,1981-04-24,2008-08-13,1981-04-24,1981-04-24,,,Rotativo,LAPA LTDA,Complexo Rio Apa,,,,0.75,False,False
3500022785,True,True,-20.683887999999968,-55.27444399999996,Dois Irmãos do Buriti,Dois Irmãos do Buriti,OK,119.38,,Poço tubular,Bombeando,,Guarani,Formação Serra Geral,Formação Botucatu,POSSIVELMENTE CONSISTENTE,Grupo Serra Geral,K1sg,126,126.0,0.0,28,28.0,48,48.0,0.92,0.92,Rebaixamento,1997-11-01,,,,,18.4,,,,0.0,,,,,,,1988-07-13,2008-08-14,1988-07-13,1988-07-13,,,Rotativo,HIDROSSOMAT,Formação Botucatu,,,,0.75,False,False
3500022790,True,True,-21.486387999999977,-56.14111099999997,Jardim,Jardim,OK,57.64,,Poço tubular,Abandonado,,Aquidauana,Formação Aquidauana,,CONSISTENTE,Formação Aquidauana,C2P1a,450,450.0,0.0,23,23.0,130,130.0,0.031,0.031,Rebaixamento,1973-10-10,,,,,3.32,,,,0.0,,,,,,,1973-10-10,2008-08-14,1973-10-10,1973-10-10,,,Rotativo,TJANER,Formação Aquidauana,,,,0.75,False,False
3500022839,True,True,-22.22194399999995,-54.79944399999994,Dourados,Dourados,OK,42.11,,Poço tubular,Abandonado,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,80.5,80.5,0.0,37.29,37.29,52.2,52.2,5.312,5.312,Rebaixamento,1977-12-12,,,,,79.2,,,,0.0,,,,,,,1977-12-12,2008-08-20,1977-12-12,1977-12-12,,,Rotativo,VALDEMAR GEORGE,Formação Serra Geral,,,,0.75,False,False
3500022841,True,True,-22.26111099999997,-54.81249999999994,Dourados,Dourados,OK,269.4,,Poço tubular,Bombeando,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,113,113.0,0.0,2,2.0,11,11.0,8,8.0,Rebaixamento,1999-02-05,,,,,72.0,Bomba submersa,,,0.0,,,,,,,1981-10-23,2008-08-20,1981-10-23,1981-10-23,,,Rotativo,LAPA LTDA,Formação Serra Geral,,,,0.75,False,False
3500022845,True,True,-22.22999999999996,-54.84361099999995,Dourados,Dourados,OK,706.78,,Poço tubular,Bombeando,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,150,150.0,0.0,6,6.0,13,13.0,2.857,2.857,Rebaixamento,1977-01-02,,,,,20.0,,,,0.0,,,,,,,1977-01-02,2008-08-20,1977-01-02,1977-01-02,,,Rotativo,,Formação Serra Geral,,,,0.75,False,False
3500022847,True,True,-22.37972199999996,-54.52305499999994,Fátima do Sul,Fátima do Sul,OK,474.85,,Poço tubular,Bombeando,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,26,26.0,0.0,3.5,3.5,5.3,5.3,55,55.0,Rebaixamento,1962-01-02,,,,,99.0,,,,0.0,,,,,,,1962-01-02,2008-08-21,1962-01-02,1962-01-02,,,Rotativo,,Formação Serra Geral,,,,0.75,False,False
3500022848,True,True,-22.375554999999963,-54.52416599999998,Fátima do Sul,Fátima do Sul,OK,156.67,,Poço tubular,Bombeando,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,92.3,92.3,0.0,4.5,4.5,13.5,13.5,17.333,17.333,Rebaixamento,2001-04-10,,,,,156.0,Bomba submersa,,,0.0,,,,,,,1981-06-25,2008-08-21,1981-06-25,1981-06-25,,,Rotativo,JOSÉ PASSARELLI & CIA LTDA.,Formação Serra Geral,,,,0.75,False,False
3500022866,True,True,-21.451665999999932,-54.37611099999998,Nova Alvorada do Sul,Nova Alvorada do Sul,OK,65.27,,Poço tubular,Bombeando,,Serra geral,Formação Serra Geral,Formação Botucatu,CONSISTENTE,Grupo Serra Geral,K1sg,100.5,100.5,0.0,3,3.0,12,12.0,60.389,60.389,Rebaixamento,2001-03-07,,,,,543.5,Bomba submersa,,,0.0,,,,,,,1986-04-04,2008-08-22,1986-04-04,1986-04-04,,,Rotativo,HIDROTÉCNICA,Formação Serra Geral,,,,0.75,False,False
