well_id,latitude,longitude,inside_ms_ibge2025,declared_municipality,spatial_municipality,municipality_match,exact_coordinate_group,nearest_other_well_id,nearest_neighbor_m,coordinate_quality_status,coordinate_quality_reasons
3500026933,-21.466666999999973,-54.36666699999995,True,Nova Alvorada do Sul,Nova Alvorada do Sul,True,,3500023269,1377.97,OK,nenhuma anomalia objetiva identificada nesta etapa
3500027071,-22.13777799999997,-54.485555999999974,True,Dourados,Dourados,True,,3500022856,84.18,OK,nenhuma anomalia objetiva identificada nesta etapa
3500045601,-20.802221999999972,-51.643055999999945,True,Três Lagoas,Três Lagoas,True,,3500073435,451.83,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023193,-20.45305499999995,-55.759721999999954,True,Aquidauana,Aquidauana,True,,3500022762,119.41,OK,nenhuma anomalia objetiva identificada nesta etapa
3500070540,-22.64214999999996,-53.88213299999995,True,Novo Horizonte do Sul,Novo Horizonte do Sul,True,,3500027315,93.92,OK,nenhuma anomalia objetiva identificada nesta etapa
3500071668,-19.96169199999997,-54.831185999999946,True,Rochedo,Rochedo,True,,3500073026,36.48,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023125,-20.446665999999937,-52.873887999999965,True,Água Clara,Água Clara,True,,3500073942,48.57,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023213,-19.95305499999995,-54.89027699999997,True,Rochedo,Rochedo,True,,3500030645,799.21,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026999,-22.245832999999948,-54.78249999999997,True,Dourados,Dourados,True,,3500022835,1039.16,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023326,-19.095554999999933,-51.811665999999946,True,Cassilândia,Cassilândia,True,,3500022562,6539.27,OK,nenhuma anomalia objetiva identificada nesta etapa
3500065105,-20.47999999999996,-54.59305599999993,True,Campo Grande,Campo Grande,True,,3500070775,186.67,OK,nenhuma anomalia objetiva identificada nesta etapa
3500071803,-23.109888999999953,-55.236666999999954,True,Amambai,Amambai,True,,3500023148,71.93,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023234,-19.402499999999975,-54.58444399999996,True,São Gabriel do Oeste,São Gabriel do Oeste,True,EXACT_COORD_0008,3500023235,0.0,REVIEW,coordenada idêntica compartilhada por IDs distintos
3500023185,-21.89749999999998,-52.568610999999976,True,Bataguassu,Bataguassu,True,,3500070608,14367.63,OK,nenhuma anomalia objetiva identificada nesta etapa
3500073792,-19.64950299999998,-51.20499199999995,True,Paranaíba,Paranaíba,True,,3500022982,2983.06,OK,nenhuma anomalia objetiva identificada nesta etapa
3500045686,-21.249999999999943,-52.09722199999993,True,Brasilândia,Brasilândia,True,,3500073896,2494.09,OK,nenhuma anomalia objetiva identificada nesta etapa
3500072555,-18.964971999999932,-54.78641699999997,True,Rio Verde de Mato Grosso,Rio Verde de Mato Grosso,True,,3500072317,467.5,OK,nenhuma anomalia objetiva identificada nesta etapa
3500073209,-19.075852999999938,-57.623666999999955,True,Ladário,Ladário,True,,3500045701,1933.92,OK,nenhuma anomalia objetiva identificada nesta etapa
3500073560,-22.474099999999964,-54.147099999999966,True,Glória de Dourados,Glória de Dourados,True,,3500045175,391.95,OK,nenhuma anomalia objetiva identificada nesta etapa
