evidence_code,scale_a_km2,scale_b_km2,support_points_n,spearman_density_per100km2,presence_jaccard,presence_mismatch_pct,presence_a_pct,presence_b_pct
E01,250,500,14284,0.6907404215847044,0.618199000945052,19.79837580509661,35.77429291514982,48.13777653318398
E01,250,1000,14284,0.6603368684240514,0.5468472468916519,28.57742929151498,35.77429291514982,61.775413049565955
E01,500,1000,14284,0.7411113181941514,0.710239651416122,18.62223466816018,48.13777653318398,61.775413049565955
E02,250,500,14284,0.6660282510432818,0.5841256122154999,20.211425371044527,32.08485018202184,44.90338840660879
E02,250,1000,14284,0.6326310524857215,0.5122695784900787,29.081489778773452,32.08485018202184,58.08597031643797
E02,500,1000,14284,0.7161581520511004,0.6824107959743825,19.441332959955197,44.90338840660879,58.08597031643797
E03,250,500,14284,0.6613984906711623,0.5742844161744661,19.679361523382806,30.21562587510501,42.55810697283674
E03,250,1000,14284,0.6254102412691646,0.4997559189650964,28.696443573228787,30.21562587510501,55.81769812377485
E03,500,1000,14284,0.7083026729545618,0.6651261997867046,19.78437412489499,42.55810697283674,55.81769812377485
E04,250,500,14284,0.6567956778277523,0.570217740756978,20.589470736488376,31.00672080649678,44.21730607672921
E04,250,1000,14284,0.6293057311979812,0.5070183930300097,28.52142257070848,31.00672080649678,56.18174180901708
E04,500,1000,14284,0.7103744245434515,0.6763296317942723,19.385326239148696,44.21730607672921,56.18174180901708
E05,250,500,14284,0.6559256182527233,0.5692691517464045,20.547465695883506,30.929711565387848,43.93027163259591
E05,250,1000,14284,0.6280973663017932,0.5076567817209529,28.360403248389808,30.929711565387848,55.915709885186224
E05,500,1000,14284,0.7072987189169767,0.6727656579873329,19.532343881265753,43.93027163259591,55.915709885186224
E06,250,500,14284,0.6594320538499345,0.5733910706286397,20.00140016802016,30.439652758330997,43.32819938392607
E06,250,1000,14284,0.6302845036793744,0.5092145949288807,27.779333520022405,30.439652758330997,54.98459815177821
E06,500,1000,14284,0.707263947270286,0.6737783075089392,19.16129935592271,43.32819938392607,54.98459815177821
E07,250,500,14284,0.5735794764862749,0.4538592646700755,15.702884346121534,16.010921310557265,25.79109493139177
E07,250,1000,14284,0.528404260932666,0.3660606060606061,25.63007560907309,16.010921310557265,39.21870624474937
E07,500,1000,14284,0.5973209631113773,0.5150921846957089,20.806496779613553,25.79109493139177,39.21870624474937
E08,250,500,14284,0.5740602942278862,0.4540131739448646,15.667880145617474,15.933912069448333,25.79109493139177
E08,250,1000,14284,0.5262048460035245,0.3643612411163113,25.672080649677966,15.933912069448333,39.169700364043685
E08,500,1000,14284,0.5961576927199753,0.514444263097764,20.82749929991599,25.79109493139177,39.169700364043685
E09,250,500,14284,0.4253450545797959,0.26275115919629055,3.3394007280873703,1.9602352282273874,3.7594511341360963
E09,250,1000,14284,0.3786211572652729,0.19444444444444445,6.090730887706525,1.9602352282273874,7.070848501820218
E09,500,1000,14284,0.5258629778582072,0.3463881636205396,5.257630915709885,3.7594511341360963,7.070848501820218
E10,250,500,14284,0.6286766964893111,0.5195770692218734,20.35844301316158,25.644077289274712,38.74964995799496
E10,250,1000,14284,0.5989539739454975,0.45695364238410596,28.7034444133296,25.644077289274712,51.365163819658356
E10,500,1000,14284,0.6962226182377931,0.6330880487185994,20.246429571548585,38.74964995799496,51.365163819658356
E11,250,500,14284,0.6000632322594268,0.4911660777385159,17.138056566788016,19.79837580509661,30.425651078129373
E11,250,1000,14284,0.5429135496276724,0.39057591623036647,28.52142257070848,19.79837580509661,45.28143377205265
E11,500,1000,14284,0.6144928804998421,0.5426533523537803,22.444693363203587,30.425651078129373,45.28143377205265
E12,250,500,14284,0.6350860753661152,0.5437766931055522,20.939512741528983,28.87146457574909,41.984038084570145
E12,250,1000,14284,0.6086974933649102,0.47702751848708935,30.20162419490339,28.87146457574909,56.4267712125455
E12,500,1000,14284,0.7020778651003676,0.6481416344237309,21.009521142537103,41.984038084570145,56.4267712125455
