cell_id,scale_km2,grid_family,area_effective_km2,n_E01,metric_crs,classification_status,nn_global_median_km,nn_global_p90_km,mean_center_offset_km,mean_center_offset_norm_eqradius,nn_within_median_km,nn_within_p90_km,convex_hull_area_ratio,support_units_2p5km_n,support_area_2p5km_pct,redundancy_proxy_2p5km,entropy_norm_2p5km,dominance_2p5km_pct,support_units_5km_n,support_area_5km_pct,redundancy_proxy_5km,entropy_norm_5km,dominance_5km_pct,support_units_10km_n,support_area_10km_pct,redundancy_proxy_10km,entropy_norm_10km,dominance_10km_pct,gap_support_points_n,gap_support_fallback,gap_E01_median_km,gap_E01_p90_km,gap_E01_max_km,gap_E02_median_km,gap_E02_p90_km,gap_E02_max_km,gap_E03_median_km,gap_E03_p90_km,gap_E03_max_km,gap_E04_median_km,gap_E04_p90_km,gap_E04_max_km,gap_E05_median_km,gap_E05_p90_km,gap_E05_max_km,gap_E06_median_km,gap_E06_p90_km,gap_E06_max_km,gap_E07_median_km,gap_E07_p90_km,gap_E07_max_km,gap_E08_median_km,gap_E08_p90_km,gap_E08_max_km,gap_E09_median_km,gap_E09_p90_km,gap_E09_max_km,gap_E10_median_km,gap_E10_p90_km,gap_E10_max_km,gap_E11_median_km,gap_E11_p90_km,gap_E11_max_km,gap_E12_median_km,gap_E12_p90_km,gap_E12_max_km,n_E02,n_E03,n_E04,n_E05,n_E06,n_E07,n_E08,n_E09,n_E10,n_E11,n_E12,state_E01,pct_E02_of_E01,state_E02,pct_E03_of_E01,state_E03,pct_E04_of_E01,state_E04,pct_E05_of_E01,state_E05,pct_E06_of_E01,state_E06,pct_E07_of_E01,state_E07,pct_E08_of_E01,state_E08,pct_E09_of_E01,state_E09,pct_E10_of_E01,state_E10,pct_E11_of_E01,state_E11,pct_E12_of_E01,state_E12
SCALE-250-O00-00001,250,SCALE_PRIMARY_O00_V1,42.222087978040236,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,2,NONE,5.956332839515934,7.3696753096596215,7.723010927195543,5.956332839515934,7.3696753096596215,7.723010927195543,5.956332839515934,7.3696753096596215,7.723010927195543,5.956332839515934,7.3696753096596215,7.723010927195543,5.956332839515934,7.3696753096596215,7.723010927195543,5.956332839515934,7.3696753096596215,7.723010927195543,8.9404573463706,9.345330711562157,9.446549052860046,8.9404573463706,9.345330711562157,9.446549052860046,98.83047897794245,100.82211353362274,101.3200221725428,5.956332839515934,7.3696753096596215,7.723010927195543,8.9404573463706,9.345330711562157,9.446549052860046,5.956332839515934,7.3696753096596215,7.723010927195543,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
SCALE-250-O00-00002,250,SCALE_PRIMARY_O00_V1,79.95336442656023,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,3,NONE,9.686240178886496,10.334814840517137,10.496958505924797,9.686240178886496,10.334814840517137,10.496958505924797,9.686240178886496,10.334814840517137,10.496958505924797,9.686240178886496,10.334814840517137,10.496958505924797,9.686240178886496,10.334814840517137,10.496958505924797,9.686240178886496,10.334814840517137,10.496958505924797,9.686240178886496,10.334814840517137,10.496958505924797,9.686240178886496,10.334814840517137,10.496958505924797,81.41905766653454,85.39582003772125,86.39001063051792,14.988698238992043,16.710875644278882,17.141419995600593,9.686240178886496,10.334814840517137,10.496958505924797,9.686240178886496,10.334814840517137,10.496958505924797,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
SCALE-250-O00-00003,250,SCALE_PRIMARY_O00_V1,44.594216954165546,6,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,0.6028295282628631,1.3293101072592228,2.294588957800738,0.6090326343565974,0.6028295282628631,1.3293101072592228,0.06588911794855573,4,43.896383862090346,0.33333333333333337,0.8962406251802889,50.0,2,60.313791929636906,0.6666666666666667,0.6500224216483541,83.33333333333334,1,60.31379192963685,0.8333333333333334,,100.0,1,NONE,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,66.53232293406653,66.53232293406653,66.53232293406653,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,0.3164205832054779,6,6,6,6,6,3,3,0,3,4,5,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,50.0,EVIDENCE_PRESENT,66.6667,EVIDENCE_PRESENT,83.3333,REVIEW_REQUIRED_PRESENT
SCALE-250-O00-00004,250,SCALE_PRIMARY_O00_V1,1.1465258621617964,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,0,REPRESENTATIVE_POINT,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,8.489092745379397,10.433020659089804,10.433020659089804,10.433020659089804,10.433020659089804,10.433020659089804,10.433020659089804,53.99369407264985,53.99369407264985,53.99369407264985,8.489092745379397,8.489092745379397,8.489092745379397,10.344768260692861,10.344768260692861,10.344768260692861,10.344768260692861,10.344768260692861,10.344768260692861,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
SCALE-250-O00-00005,250,SCALE_PRIMARY_O00_V1,65.06256314639475,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,3,NONE,5.003267906640046,6.140003864673923,6.424187854182392,5.003267906640046,6.140003864673923,6.424187854182392,5.0275491665313226,6.144860116652178,6.424187854182392,5.003267906640046,6.140003864673923,6.424187854182392,5.003267906640046,6.140003864673923,6.424187854182392,5.003267906640046,6.140003864673923,6.424187854182392,8.942828275984626,9.994867791747707,10.257877670688476,8.942828275984626,9.994867791747707,10.257877670688476,12.805671145437902,15.929870849864447,16.710920775971083,5.003267906640046,6.140003864673923,6.424187854182392,5.003267906640046,6.1638791761298295,6.454031993502276,5.003267906640046,6.140003864673923,6.424187854182392,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
SCALE-250-O00-00006,250,SCALE_PRIMARY_O00_V1,140.77232647643027,1,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,6.805641180702954,6.805641180702954,3.447357773169657,0.5149945700060525,,,,1,4.439793073283084,0.0,,100.0,1,17.759172293132337,0.0,,100.0,1,64.35800099186739,0.0,,100.0,5,NONE,5.399266181797249,6.95308037979836,7.597968796561372,5.399266181797249,6.95308037979836,7.597968796561372,5.399266181797249,6.95308037979836,7.597968796561372,5.399266181797249,6.95308037979836,7.597968796561372,5.399266181797249,6.95308037979836,7.597968796561372,5.399266181797249,6.95308037979836,7.597968796561372,10.287679964657617,12.983255734012936,13.345897219444783,10.287679964657617,12.983255734012936,13.345897219444783,21.11026391630524,24.904901721192772,25.719102962225136,5.399266181797249,6.95308037979836,7.597968796561372,8.91507217998148,12.838885562603851,13.345897219444783,5.399266181797249,6.95308037979836,7.597968796561372,1,1,1,1,1,0,0,0,1,0,1,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,REVIEW_REQUIRED_PRESENT
SCALE-250-O00-00007,250,SCALE_PRIMARY_O00_V1,0.6029202399163152,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,1,NONE,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,10.356260022359551,18.076156483325995,18.076156483325995,18.076156483325995,18.076156483325995,18.076156483325995,18.076156483325995,30.45162182457639,30.45162182457639,30.45162182457639,10.356260022359551,10.356260022359551,10.356260022359551,18.076156483325995,18.076156483325995,18.076156483325995,10.356260022359551,10.356260022359551,10.356260022359551,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
SCALE-250-O00-00008,250,SCALE_PRIMARY_O00_V1,75.4081021186109,8,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,0.1805471785644251,3.088609206226481,2.2501404950478534,0.45927791963180603,0.1805471785644251,3.088609206226481,0.1988443911766605,4,24.98894050258435,0.5,0.7743974703476993,62.5,3,50.32235636497232,0.625,0.8194483718728035,62.5,2,99.99999999999996,0.75,0.5435644431995964,87.5,3,NONE,2.323114285336666,2.916926508517745,3.0653795643130146,2.323114285336666,2.916926508517745,3.0653795643130146,2.323114285336666,2.916926508517745,3.0653795643130146,2.323114285336666,2.916926508517745,3.0653795643130146,2.323114285336666,2.916926508517745,3.0653795643130146,2.323114285336666,2.916926508517745,3.0653795643130146,4.1888459301774255,6.367182378440474,6.911766490506237,4.1888459301774255,6.367182378440474,6.911766490506237,100.99741201312476,101.07444926464483,101.09370857752484,2.323114285336666,2.916926508517745,3.0653795643130146,4.1888459301774255,6.367182378440474,6.911766490506237,3.0653795643130146,6.142489105267592,6.911766490506237,8,7,8,8,8,3,3,0,5,5,6,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,87.5,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,37.5,EVIDENCE_PRESENT,37.5,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,62.5,EVIDENCE_PRESENT,62.5,EVIDENCE_PRESENT,75.0,REVIEW_REQUIRED_PRESENT
SCALE-250-O00-00009,250,SCALE_PRIMARY_O00_V1,249.6889563265644,1,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,12.225965166507159,12.225965166507159,3.4018448749035968,0.3815836651185101,,,,1,2.50311431148189,0.0,,100.0,1,10.01245724592756,0.0,,100.0,1,38.988585682330026,0.0,,100.0,9,NONE,4.7004174842436806,8.6202504605784,9.0299109997215,4.7004174842436806,8.6202504605784,9.0299109997215,4.7004174842436806,8.6202504605784,9.0299109997215,4.7004174842436806,8.6202504605784,9.0299109997215,4.7004174842436806,8.6202504605784,9.0299109997215,4.7004174842436806,8.6202504605784,9.0299109997215,6.977295833257948,9.227465765047357,10.017684826350786,6.977295833257948,9.227465765047357,10.017684826350786,91.00623749216228,96.02185554384,96.10289760731985,9.006741568440798,14.169823743881127,15.756509703970952,6.977295833257948,9.227465765047357,10.017684826350786,6.81125307366308,9.227465765047357,10.017684826350786,1,1,1,1,1,1,1,0,0,1,1,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,EVIDENCE_PRESENT,100.0,REVIEW_REQUIRED_PRESENT
SCALE-250-O00-00010,250,SCALE_PRIMARY_O00_V1,249.999999999982,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,11,NONE,10.891837942592412,15.507137523512338,15.668605295544612,10.891837942592412,15.507137523512338,15.668605295544612,10.891837942592412,15.507137523512338,15.668605295544612,10.891837942592412,15.507137523512338,15.668605295544612,10.891837942592412,15.507137523512338,15.668605295544612,10.891837942592412,15.507137523512338,15.668605295544612,10.891837942592412,15.507137523512338,15.668605295544612,10.891837942592412,15.507137523512338,15.668605295544612,75.92333400530165,81.01724070598058,81.13725391100832,13.909916776855932,17.84206926649542,18.43122831750251,10.891837942592412,15.507137523512338,15.668605295544612,10.891837942592412,15.507137523512338,15.668605295544612,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
