scale_km2,evidence_code,n_variants,occupied_pct_min,occupied_pct_max,occupied_pct_range,occupied_cells_min,occupied_cells_max,max_count_min,max_count_max,presence_jaccard_min,presence_jaccard_median,presence_mismatch_pct_max,spearman_counts_min,spearman_counts_median
250,E01,4,34.00520156046814,34.35064935064935,0.3454477901812112,523,529,205,316,0.6122740247383445,0.6516837270848499,17.12405488658639,0.6804714805691451,0.7207126728341269
250,E07,4,14.759427828348505,15.549772283669485,0.7903444553209802,227,239,75,116,0.4259438528557599,0.47925407384707464,12.45449453934472,0.5391008938051245,0.5988267157847558
250,E09,4,1.9505851755526658,2.204928664072633,0.25434348851996735,30,34,3,5,0.2828507795100223,0.3851777312409911,2.2542705124614955,0.4306171088183217,0.5479772625087651
250,E10,4,24.333116460637605,25.194805194805195,0.8616887341675898,374,388,130,189,0.5310402684563759,0.5753381565661206,15.653878465415849,0.6286047743946716,0.6762647710385943
500,E01,4,44.75347661188369,47.91403286978508,3.1605562579013906,354,379,262,391,0.6830297913400072,0.7229779885561112,18.398207784934193,0.7193106943435197,0.7599925717802501
500,E07,4,23.640960809102403,25.031605562579013,1.3906447534766109,187,198,93,143,0.5085959885386819,0.5564399192298086,16.809017082049845,0.5885145966474864,0.645169593417269
500,E09,4,3.413400758533502,4.04551201011378,0.6321112515802776,27,32,4,5,0.34002509410288584,0.42361377406242806,3.6824418930271636,0.49272588790657,0.5810497926032583
500,E10,4,35.01896333754741,37.16814159292036,2.149178255372945,277,294,151,233,0.5973451327433629,0.6507856698030037,19.112293475217026,0.6540339871124281,0.7102838071985436
1000,E01,4,57.31707317073171,58.11138014527845,0.7943069745467426,235,240,350,508,0.762682975736916,0.8051727089674844,16.570988518622233,0.737926645495223,0.7886242193927995
1000,E07,4,35.1089588377724,36.077481840193705,0.968523002421307,145,149,124,184,0.5612977318403675,0.6157711081393549,21.394567348081768,0.5745805815379046,0.6416401202748285
1000,E09,4,6.779661016949152,7.021791767554479,0.24213075060532674,28,29,4,8,0.3246753246753247,0.40354299214942146,7.2808737048445815,0.4466975228604027,0.541035151654727
1000,E10,4,46.973365617433416,49.63680387409201,2.663438256658594,194,205,216,314,0.6697258101065036,0.7148832314695317,20.407448893867265,0.6820071806454504,0.7356670500515722
