scale_km2,evidence_code,variant_a,variant_b,support_points_n,presence_jaccard,presence_mismatch_pct,spearman_counts_support,presence_a_pct,presence_b_pct
250,E01,O00,OX25,14284,0.6510382868267359,15.05880705684682,0.7183308972190169,35.38924670960515,35.85830299635956
250,E01,O00,OY25,14284,0.6937782995136677,12.78353402408289,0.7747000734197215,35.38924670960515,35.319238308597036
250,E01,O00,OXY25,14284,0.6128521684077239,17.12405488658639,0.6810357831970002,35.38924670960515,35.949313917670125
250,E01,OX25,OY25,14284,0.6122740247383445,17.117054046485578,0.6804714805691451,35.85830299635956,35.319238308597036
250,E01,OX25,OXY25,14284,0.6993041749502982,12.706524782973958,0.7685119488852727,35.85830299635956,35.949313917670125
250,E01,OY25,OXY25,14284,0.6523291673429638,14.995799495939513,0.7230944484492369,35.319238308597036,35.949313917670125
250,E07,O00,OX25,14284,0.48255624388653406,11.110333239988798,0.6011997157417189,16.024922990758892,15.807896947633715
250,E07,O00,OY25,14284,0.5603085553997195,8.77905348641837,0.6814330142277834,16.024922990758892,15.128815457854945
250,E07,O00,OXY25,14284,0.4389240506329114,12.412489498739848,0.5529577068241722,16.024922990758892,15.807896947633715
250,E07,OX25,OY25,14284,0.4259438528557599,12.45449453934472,0.5391008938051245,15.807896947633715,15.128815457854945
250,E07,OX25,OXY25,14284,0.5524235132347886,9.115093811257351,0.6720106996387808,15.807896947633715,15.807896947633715
250,E07,OY25,OXY25,14284,0.4759519038076152,10.984318118174182,0.5964537158277926,15.128815457854945,15.807896947633715
250,E09,O00,OX25,14284,0.40240963855421685,1.7362083450014003,0.5661140391036872,2.00224026883226,2.072248669840381
250,E09,O00,OY25,14284,0.4739583333333333,1.4141697003640437,0.6373538538880571,2.00224026883226,1.9602352282273874
250,E09,O00,OXY25,14284,0.32181425485961124,2.1982637916549983,0.4775969745954559,2.00224026883226,2.2822738728647436
250,E09,OX25,OY25,14284,0.2828507795100223,2.2542705124614955,0.4306171088183217,2.072248669840381,1.9602352282273874
250,E09,OX25,OXY25,14284,0.47393364928909953,1.5541865023802857,0.6375167485208041,2.072248669840381,2.2822738728647436
250,E09,OY25,OXY25,14284,0.36794582392776526,1.9602352282273874,0.5298404859138429,1.9602352282273874,2.2822738728647436
250,E10,O00,OX25,14284,0.5708787684413086,14.05068608232988,0.6738458161589771,25.077009241108932,26.358162979557548
250,E10,O00,OY25,14284,0.6402369560264297,11.054326519182302,0.7441475429361845,25.077009241108932,25.322038644637356
250,E10,O00,OXY25,14284,0.5310402684563759,15.653878465415849,0.6286047743946716,25.077009241108932,26.029123494819377
250,E10,OX25,OY25,14284,0.5414491543119649,15.373844861383365,0.6398127578397436,26.358162979557548,25.322038644637356
250,E10,OX25,OXY25,14284,0.6392113910186199,11.530383646037524,0.7365433753355489,26.358162979557548,26.029123494819377
250,E10,OY25,OXY25,14284,0.5797975446909326,13.658639036684402,0.6786837259182116,25.322038644637356,26.029123494819377
500,E01,O00,OX25,14284,0.7157894736842105,15.877905348641837,0.7504854305006993,47.48669840380846,48.368804256510785
500,E01,O00,OY25,14284,0.735572673317338,14.65975917110053,0.7854383735015035,47.48669840380846,48.73284794175301
500,E01,O00,OXY25,14284,0.6830297913400072,18.398207784934193,0.7193106943435197,47.48669840380846,50.20302436292356
500,E01,OX25,OY25,14284,0.6885804723642561,17.908148977877346,0.7219532289123564,48.368804256510785,48.73284794175301
500,E01,OX25,OXY25,14284,0.7475487154027554,14.239708765051805,0.7876006753202488,48.368804256510785,50.20302436292356
500,E01,OY25,OXY25,14284,0.7301665034280117,15.429851582189864,0.769499713059801,48.73284794175301,50.20302436292356
500,E07,O00,OX25,14284,0.5454153182308522,14.75077009241109,0.6365122018939583,24.85998319798376,25.287034444133294
500,E07,O00,OY25,14284,0.6101321585903083,12.391486978437412,0.7002826891538414,24.85998319798376,26.31615793895267
500,E07,O00,OXY25,14284,0.5090222408728493,16.38196583590031,0.5905478416543921,24.85998319798376,25.490058807056847
500,E07,OX25,OY25,14284,0.5085959885386819,16.809017082049845,0.5885145966474864,25.287034444133294,26.31615793895267
500,E07,OX25,OXY25,14284,0.6050011064394778,12.496499579949594,0.6881472153155902,25.287034444133294,25.490058807056847
500,E07,OY25,OXY25,14284,0.5674645202287651,14.295715485858304,0.6538269849405796,26.31615793895267,25.490058807056847
