scale_km2,n_cells,cells_with_E01,median_nn_global_km_occupied,median_support_area_2p5km_pct_occupied,median_support_area_5km_pct_occupied,median_support_area_10km_pct_occupied,median_redundancy_proxy_5km_occupied,median_entropy_5km_occupied,median_gap_E01_p90_km_all_cells,median_gap_E07_p90_km_all_cells,median_gap_E09_p90_km_all_cells,median_gap_E10_p90_km_all_cells
250,1554,526,2.320784339291851,4.588650373370777,12.254479738964218,38.50514543639724,0.16666666666666663,0.9182958340544894,16.719438501364646,28.02710823950745,68.67725208216552,20.979504775346385
500,793,358,1.8216239969509898,3.642306245374124,10.38751774386111,30.175762577531216,0.2967032967032967,0.9182958340544894,17.983059170966797,29.676779198843107,71.22898031778634,22.479939439445047
1000,412,237,1.434109228584096,2.4986210721256046,7.930271411443912,24.725507386195368,0.4,0.9182958340544894,19.74488388974382,31.807191630681963,74.3927947632846,24.481949716351984
