support_id,gap_E01_km,gap_E02_km,gap_E03_km,gap_E04_km,gap_E05_km,gap_E06_km,gap_E07_km,gap_E08_km,gap_E09_km,gap_E10_km,gap_E11_km,gap_E12_km,x_5880,y_5880
SP5-0001-0083,70.87870774244121,70.87870774244121,70.87870774244121,70.87870774244121,70.87870774244121,70.87870774244121,124.069870755592,124.069870755592,147.04369184874764,122.61907187134166,104.41917259487022,70.87870774244121,4567500.0,7752500.0
SP5-0001-0084,66.4080489789898,66.4080489789898,66.4080489789898,66.4080489789898,66.4080489789898,66.4080489789898,120.12391140337985,120.12391140337985,142.37134542255163,118.16962378833807,100.85497778761572,66.4080489789898,4567500.0,7757500.0
SP5-0001-0085,62.018277363640316,62.018277363640316,62.018277363640316,62.018277363640316,62.018277363640316,62.018277363640316,116.25908718196956,116.25908718196956,137.72201233769994,113.76591398993574,97.41709030598082,62.018277363640316,4567500.0,7762500.0
SP5-0002-0082,73.52121871089588,73.52121871089588,73.52121871089588,73.52121871089588,73.52121871089588,73.52121871089588,125.22864976452321,125.22864976452321,150.1131221444333,125.03088411332777,104.8350701824311,73.52121871089588,4572500.0,7747500.0
SP5-0002-0084,64.24830827850964,64.24830827850964,64.24830827850964,64.24830827850964,64.24830827850964,64.24830827850964,117.06860059350291,117.06860059350291,140.63944969241624,115.93087760185638,97.35048956446792,64.24830827850964,4572500.0,7757500.0
SP5-0002-0085,59.699940323319616,59.699940323319616,59.699940323319616,59.699940323319616,59.699940323319616,59.699940323319616,113.09941868311638,113.09941868311638,135.93089234866275,111.43873465373119,93.78422446011237,59.699940323319616,4572500.0,7762500.0
SP5-0002-0086,55.22970788050065,55.22970788050065,55.22970788050065,55.22970788050065,55.22970788050065,55.22970788050065,109.21492465774355,109.21492465774355,131.24389578042022,106.991657529514,90.35399103928893,55.22970788050065,4572500.0,7767500.0
SP5-0002-0094,27.20703394759406,27.20703394759406,27.20703394759406,27.20703394759406,27.20703394759406,27.20703394759406,79.6910394100243,79.6910394100243,94.905119245309,74.0013538958419,70.07672373815147,27.20703394759406,4572500.0,7807500.0
SP5-0002-0095,26.008853380782632,26.008853380782632,26.008853380782632,26.008853380782632,26.008853380782632,26.008853380782632,75.58628781106341,75.58628781106341,90.57998865027741,70.39050772729045,68.76852586042807,26.008853380782632,4572500.0,7812500.0
SP5-0002-0096,25.742925477508585,25.742925477508585,25.742925477508585,25.742925477508585,25.742925477508585,25.742925477508585,70.92256025031313,70.92256025031313,86.32778827702266,66.95854521861898,67.80466863099859,25.742925477508585,4572500.0,7817500.0
SP5-0003-0081,76.72644909177262,76.72644909177262,76.72644909177262,76.72644909177262,76.72644909177262,76.72644909177262,121.03944915472134,121.03944915472134,144.94051672233348,127.78891649016963,105.72331944709838,76.72644909177262,4577500.0,7742500.0
SP5-0003-0082,71.92486182252898,71.92486182252898,71.92486182252898,71.92486182252898,71.92486182252898,71.92486182252898,121.83214767619305,121.83214767619305,145.67162035430826,123.12038977123021,101.71422326329967,71.92486182252898,4577500.0,7747500.0
SP5-0003-0083,67.15224125930123,67.15224125930123,67.15224125930123,67.15224125930123,67.15224125930123,67.15224125930123,118.29598107060704,118.29598107060704,143.84560103536631,118.47891617122329,97.7964526616356,67.15224125930123,4577500.0,7752500.0
SP5-0003-0084,62.41523262878152,62.41523262878152,62.41523262878152,62.41523262878152,62.41523262878152,62.41523262878152,114.1506040237859,114.1506040237859,139.06584635396226,113.8678039517574,93.98142950786978,62.41523262878152,4577500.0,7757500.0
SP5-0003-0085,57.722604082477304,57.722604082477304,57.722604082477304,57.722604082477304,57.722604082477304,57.722604082477304,110.07625384492749,110.07625384492749,134.3021306869772,109.29089612810374,90.28218003286064,57.722604082477304,4577500.0,7762500.0
SP5-0003-0086,53.08612605963952,53.08612605963952,53.08612605963952,53.08612605963952,53.08612605963952,53.08612605963952,106.08111482290643,106.08111482290643,129.5562232854137,104.75267622439085,86.71352242083711,53.08612605963952,4577500.0,7767500.0
SP5-0003-0087,48.52189751006704,48.52189751006704,48.52189751006704,48.52189751006704,48.52189751006704,48.52189751006704,102.17447912080787,102.17447912080787,124.8301553187291,100.25839803158719,83.29224399529757,48.52189751006704,4577500.0,7772500.0
SP5-0003-0093,24.93593963985567,24.93593963985567,24.93593963985567,24.93593963985567,24.93593963985567,24.93593963985567,79.57619591337367,79.57619591337367,97.05196436139981,74.65578057986389,67.06545716411063,24.93593963985567,4577500.0,7802500.0
SP5-0003-0094,22.539717027505862,22.539717027505862,22.539717027505862,22.539717027505862,22.539717027505862,22.539717027505862,76.02007030712039,76.02007030712039,92.55720647969278,70.72558782842943,65.3156832910314,22.539717027505862,4577500.0,7807500.0
SP5-0003-0095,21.077869950200142,21.077869950200142,21.077869950200142,21.077869950200142,21.077869950200142,21.077869950200142,72.63422900365518,72.63422900365518,88.11690618855468,66.93826987131493,63.91010423178389,21.077869950200142,4577500.0,7812500.0
SP5-0003-0096,20.74883995781602,20.74883995781602,20.74883995781602,20.74883995781602,20.74883995781602,20.74883995781602,69.21744891187477,69.21744891187477,83.7397267798302,63.319469146962156,62.87180896125578,20.74883995781602,4577500.0,7817500.0
SP5-0003-0097,21.604446707855658,21.604446707855658,21.604446707855658,21.604446707855658,21.604446707855658,21.604446707855658,64.48083344118912,64.48083344118912,79.43610341701483,59.89973599892736,62.219187564639626,21.604446707855658,4577500.0,7822500.0
SP5-0003-0098,23.515736763071825,23.515736763071825,23.515736763071825,23.515736763071825,23.515736763071825,23.515736763071825,59.78712678054327,59.78712678054327,75.21866265094548,56.71509122296549,59.78712678054327,23.515736763071825,4577500.0,7827500.0
SP5-0003-0099,26.25314521095711,26.25314521095711,26.25314521095711,26.25314521095711,26.25314521095711,26.25314521095711,55.147286207710465,55.147286207710465,71.1027418312037,53.807292926864484,55.147286207710465,26.25314521095711,4577500.0,7832500.0
SP5-0004-0076,100.11780734664195,100.11780734664195,100.11780734664195,100.11780734664195,100.11780734664195,100.11780734664195,115.1702351594148,115.1702351594148,138.86390832932506,121.84048371348412,115.1702351594148,100.11780734664195,4582500.0,7717500.0
SP5-0004-0077,95.18305051770943,95.18305051770943,95.18305051770943,95.18305051770943,95.18305051770943,95.18305051770943,114.92043779237113,114.92043779237113,138.7287015199374,123.05800167331209,114.92043779237113,95.18305051770943,4582500.0,7722500.0
SP5-0004-0078,90.2554755337001,90.2554755337001,90.2554755337001,90.2554755337001,90.2554755337001,90.2554755337001,114.88790614379556,114.88790614379556,138.77362939089173,124.46461376681314,114.88790614379556,90.2554755337001,4582500.0,7727500.0
SP5-0004-0080,80.42714951886187,80.42714951886187,80.42714951886187,80.42714951886187,80.42714951886187,80.42714951886187,115.47414814379992,115.47414814379992,139.40249421063436,127.81931265934797,107.07216542907483,80.42714951886187,4582500.0,7737500.0
SP5-0004-0081,75.5298890353142,75.5298890353142,75.5298890353142,75.5298890353142,75.5298890353142,75.5298890353142,116.08963280694614,116.08963280694614,139.98400973346432,126.11865672052963,102.87279304468373,75.5298890353142,4582500.0,7742500.0
SP5-0004-0082,70.64702326102913,70.64702326102913,70.64702326102913,70.64702326102913,70.64702326102913,70.64702326102913,116.91589627149476,116.91589627149476,140.74086318468886,121.3859084600799,98.74803536251994,70.64702326102913,4582500.0,7747500.0
SP5-0004-0083,65.78175775700967,65.78175775700967,65.78175775700967,65.78175775700967,65.78175775700967,65.78175775700967,115.62543963821922,115.62543963821922,141.67024443715763,116.67545574098695,94.70764186221011,65.78175775700967,4582500.0,7752500.0
SP5-0004-0084,60.93830824333258,60.93830824333258,60.93830824333258,60.93830824333258,60.93830824333258,60.93830824333258,111.38071445752726,111.38071445752726,137.65596403535153,111.99011193875603,90.76287989174769,60.93830824333258,4582500.0,7757500.0
SP5-0004-0085,56.12232327262413,56.12232327262413,56.12232327262413,56.12232327262413,56.12232327262413,56.12232327262413,107.20114185309299,107.20114185309299,132.84169947505214,107.33316529266808,86.92676978576263,56.12232327262413,4582500.0,7762500.0
SP5-0004-0086,51.341532188613535,51.341532188613535,51.341532188613535,51.341532188613535,51.341532188613535,51.341532188613535,103.09464620505138,103.09464620505138,128.04167213973008,102.70847857616873,83.2143391761909,51.341532188613535,4582500.0,7767500.0
SP5-0004-0087,46.6067665198086,46.6067665198086,46.6067665198086,46.6067665198086,46.6067665198086,46.6067665198086,99.07031511851802,99.07031511851802,123.25754536439621,98.12061338536064,79.64288532991068,46.6067665198086,4582500.0,7772500.0
SP5-0004-0092,24.563783813157016,24.563783813157016,24.563783813157016,24.563783813157016,24.563783813157016,24.563783813157016,80.08795258862104,80.08795258862104,99.65533560149458,75.96558937808571,64.69006012819213,24.563783813157016,4582500.0,7797500.0
SP5-0004-0093,20.96705113212221,20.96705113212221,20.96705113212221,20.96705113212221,20.96705113212221,20.96705113212221,76.2283430443894,76.2283430443894,95.02072720603952,71.75927793148446,62.4753296792604,20.96705113212221,4582500.0,7802500.0
SP5-0004-0094,18.05145398948627,18.05145398948627,18.05145398948627,18.05145398948627,18.05145398948627,18.05145398948627,72.50820930590555,72.50820930590555,90.4250589365727,67.66104617086656,60.59314942859,18.05145398948627,4582500.0,7807500.0
SP5-0004-0095,16.18927883174702,16.18927883174702,16.18927883174702,16.18927883174702,16.18927883174702,16.18927883174702,68.95013089331235,68.95013089331235,85.87458278559906,63.69176060232782,59.07531376826194,16.18927883174702,4582500.0,7812500.0
SP5-0004-0096,15.758505863487336,15.758505863487336,15.758505863487336,15.758505863487336,15.758505863487336,15.758505863487336,65.58049011452114,65.58049011452114,81.3768803378378,59.87707047202912,57.95045846204982,15.758505863487336,4582500.0,7817500.0
SP5-0004-0097,16.8691512829507,16.8691512829507,16.8691512829507,16.8691512829507,16.8691512829507,16.8691512829507,62.429807120611095,62.429807120611095,76.94120702482408,56.248437916091895,57.241755520816476,16.8691512829507,4582500.0,7822500.0
SP5-0004-0098,19.2563242329524,19.2563242329524,19.2563242329524,19.2563242329524,19.2563242329524,19.2563242329524,58.18544672064874,58.18544672064874,72.57893649919997,52.844204674576645,56.96473921864372,19.2563242329524,4582500.0,7827500.0
SP5-0004-0099,22.51763266691466,22.51763266691466,22.51763266691466,22.51763266691466,22.51763266691466,22.51763266691466,53.406636829928104,53.406636829928104,68.30413390324898,49.71049353382695,53.406636829928104,22.51763266691466,4582500.0,7832500.0
SP5-0004-0100,26.33024000801388,26.33024000801388,26.33024000801388,26.33024000801388,26.33024000801388,26.33024000801388,48.67228682614176,48.67228682614176,64.13429186629436,46.90156039051104,48.67228682614176,26.33024000801388,4582500.0,7837500.0
SP5-0004-0101,30.488018906402022,30.488018906402022,30.488018906402022,30.488018906402022,30.488018906402022,30.488018906402022,43.99675161064271,43.99675161064271,60.09126457405515,43.90551191238874,43.99675161064271,30.488018906402022,4582500.0,7842500.0
SP5-0005-0044,54.789805337322406,54.789805337322406,54.789805337322406,54.789805337322406,54.789805337322406,95.78284717495085,95.78284717495085,95.78284717495085,188.03536982969874,54.789805337322406,54.789805337322406,54.789805337322406,4587500.0,7557500.0
SP5-0005-0074,109.40254100997285,109.40254100997285,109.40254100997285,109.40254100997285,109.40254100997285,109.40254100997285,111.37948531402652,111.37948531402652,134.70716184372463,115.04946421329576,111.37948531402652,109.40254100997285,4587500.0,7707500.0
SP5-0005-0075,104.42774409799489,104.42774409799489,104.42774409799489,104.42774409799489,104.42774409799489,104.42774409799489,110.67029278235773,110.67029278235773,134.1957042565227,115.90749553009725,110.67029278235773,104.42774409799489,4587500.0,7712500.0
SP5-0005-0076,99.45547493905912,99.45547493905912,99.45547493905912,99.45547493905912,99.45547493905912,99.45547493905912,110.18365423350289,110.18365423350289,133.86916982568016,116.9731414656912,110.18365423350289,99.45547493905912,4587500.0,7717500.0
SP5-0005-0077,94.48613259791793,94.48613259791793,94.48613259791793,94.48613259791793,94.48613259791793,94.48613259791793,109.92252551667222,109.92252551667222,133.7289131741131,118.24078876870577,109.92252551667222,94.48613259791793,4587500.0,7722500.0
SP5-0005-0078,89.5202044862993,89.5202044862993,89.5202044862993,89.5202044862993,89.5202044862993,89.5202044862993,109.88851428460934,109.88851428460934,133.77552021069536,119.70402012020644,109.88851428460934,89.5202044862993,4587500.0,7727500.0
SP5-0005-0079,84.55829213759202,84.55829213759202,84.55829213759202,84.55829213759202,84.55829213759202,84.55829213759202,110.0818310503333,110.0818310503333,134.00879596711124,121.35576103849324,108.86448890445921,84.55829213759202,4587500.0,7732500.0
SP5-0005-0080,79.6011465192799,79.6011465192799,79.6011465192799,79.6011465192799,79.6011465192799,79.6011465192799,110.50128272155696,110.50128272155696,134.4277686546479,123.18842900826753,104.49803770201757,79.6011465192799,4587500.0,7737500.0
SP5-0005-0081,74.64971724756484,74.64971724756484,74.64971724756484,74.64971724756484,74.64971724756484,74.64971724756484,111.14430907079678,111.14430907079678,135.03070974552503,123.73755528102912,100.19083202926028,74.64971724756484,4587500.0,7742500.0
