cell_id,scale_km2,grid_family,area_effective_km2,n_E01,metric_crs,classification_status,nn_global_median_km,nn_global_p90_km,mean_center_offset_km,mean_center_offset_norm_eqradius,nn_within_median_km,nn_within_p90_km,convex_hull_area_ratio,support_units_2p5km_n,support_area_2p5km_pct,redundancy_proxy_2p5km,entropy_norm_2p5km,dominance_2p5km_pct,support_units_5km_n,support_area_5km_pct,redundancy_proxy_5km,entropy_norm_5km,dominance_5km_pct,support_units_10km_n,support_area_10km_pct,redundancy_proxy_10km,entropy_norm_10km,dominance_10km_pct,gap_support_points_n,gap_support_fallback,gap_E01_median_km,gap_E01_p90_km,gap_E01_max_km,gap_E02_median_km,gap_E02_p90_km,gap_E02_max_km,gap_E03_median_km,gap_E03_p90_km,gap_E03_max_km,gap_E04_median_km,gap_E04_p90_km,gap_E04_max_km,gap_E05_median_km,gap_E05_p90_km,gap_E05_max_km,gap_E06_median_km,gap_E06_p90_km,gap_E06_max_km,gap_E07_median_km,gap_E07_p90_km,gap_E07_max_km,gap_E08_median_km,gap_E08_p90_km,gap_E08_max_km,gap_E09_median_km,gap_E09_p90_km,gap_E09_max_km,gap_E10_median_km,gap_E10_p90_km,gap_E10_max_km,gap_E11_median_km,gap_E11_p90_km,gap_E11_max_km,gap_E12_median_km,gap_E12_p90_km,gap_E12_max_km,n_E02,n_E03,n_E04,n_E05,n_E06,n_E07,n_E08,n_E09,n_E10,n_E11,n_E12,state_E01,pct_E02_of_E01,state_E02,pct_E03_of_E01,state_E03,pct_E04_of_E01,state_E04,pct_E05_of_E01,state_E05,pct_E06_of_E01,state_E06,pct_E07_of_E01,state_E07,pct_E08_of_E01,state_E08,pct_E09_of_E01,state_E09,pct_E10_of_E01,state_E10,pct_E11_of_E01,state_E11,pct_E12_of_E01,state_E12
SCALE-150-O00-00001,150,SCALE_PRIMARY_O00_V1,0.03770956728160852,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,0,REPRESENTATIVE_POINT,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,4.632908235587728,8.887107421851839,8.887107421851839,8.887107421851839,8.887107421851839,8.887107421851839,8.887107421851839,101.52241565983509,101.52241565983509,101.52241565983509,4.632908235587728,4.632908235587728,4.632908235587728,8.887107421851839,8.887107421851839,8.887107421851839,4.632908235587728,4.632908235587728,4.632908235587728,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
SCALE-150-O00-00002,150,SCALE_PRIMARY_O00_V1,9.713208341203217,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,0,REPRESENTATIVE_POINT,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,86.56092276206837,86.56092276206837,86.56092276206837,17.90112414669587,17.90112414669587,17.90112414669587,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,9.471599597046277,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
SCALE-150-O00-00003,150,SCALE_PRIMARY_O00_V1,8.063725917200738,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,1,NONE,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,76.4518931477302,76.4518931477302,76.4518931477302,9.990366556248114,9.990366556248114,9.990366556248114,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,9.686240178886496,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
SCALE-150-O00-00004,150,SCALE_PRIMARY_O00_V1,0.6116221064297612,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,0,REPRESENTATIVE_POINT,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,0.862277621321668,1.1624246256162438,1.1624246256162438,1.1624246256162438,1.1624246256162438,1.1624246256162438,1.1624246256162438,63.26978413505957,63.26978413505957,63.26978413505957,0.862277621321668,0.862277621321668,0.862277621321668,1.0727919408950701,1.0727919408950701,1.0727919408950701,1.0727919408950701,1.0727919408950701,1.0727919408950701,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
SCALE-150-O00-00005,150,SCALE_PRIMARY_O00_V1,11.676859991773213,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,1,NONE,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,6.424187854182392,10.257877670688476,10.257877670688476,10.257877670688476,10.257877670688476,10.257877670688476,10.257877670688476,16.710920775971083,16.710920775971083,16.710920775971083,6.424187854182392,6.424187854182392,6.424187854182392,6.454031993502276,6.454031993502276,6.454031993502276,6.424187854182392,6.424187854182392,6.424187854182392,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
SCALE-150-O00-00006,150,SCALE_PRIMARY_O00_V1,80.47020372362488,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,2,NONE,6.791858275607607,7.436746692370619,7.597968796561372,6.791858275607607,7.436746692370619,7.597968796561372,6.791858275607607,7.436746692370619,7.597968796561372,6.791858275607607,7.436746692370619,7.597968796561372,6.791858275607607,7.436746692370619,7.597968796561372,6.791858275607607,7.436746692370619,7.597968796561372,11.363486735261391,12.224132151744412,12.439293505865166,11.363486735261391,12.224132151744412,12.439293505865166,21.780158543625767,23.302911596440534,23.683599859644225,6.791858275607607,7.436746692370619,7.597968796561372,10.18559068155064,11.69981259818409,12.078368077342454,6.791858275607607,7.436746692370619,7.597968796561372,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
SCALE-150-O00-00007,150,SCALE_PRIMARY_O00_V1,0.7073586748189695,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,0,REPRESENTATIVE_POINT,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,9.390531578528519,17.305094931935855,17.305094931935855,17.305094931935855,17.305094931935855,17.305094931935855,17.305094931935855,29.686980579624084,29.686980579624084,29.686980579624084,9.390531578528519,9.390531578528519,9.390531578528519,17.305094931935855,17.305094931935855,17.305094931935855,9.390531578528519,9.390531578528519,9.390531578528519,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
SCALE-150-O00-00008,150,SCALE_PRIMARY_O00_V1,16.0966575070008,5,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,0.1805471785644251,1.654748109165952,1.1628374975256455,0.5137195724159633,0.7812531542235105,1.654748109165952,0.10258253633873594,3,51.91924369353305,0.4,0.8649735207179272,60.0,2,51.91924369353303,0.6,0.9709505944546688,60.0,1,91.94314506229621,0.8,,100.0,0,REPRESENTATIVE_POINT,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,0.6152671394601483,3.224544531692149,3.224544531692149,3.224544531692149,3.224544531692149,3.224544531692149,3.224544531692149,103.15825816724916,103.15825816724916,103.15825816724916,0.6152671394601483,0.6152671394601483,0.6152671394601483,3.224544531692149,3.224544531692149,3.224544531692149,1.039573739515743,1.039573739515743,1.039573739515743,5,4,5,5,5,2,2,0,3,3,4,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,80.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,40.0,EVIDENCE_PRESENT,40.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,60.0,EVIDENCE_PRESENT,60.0,EVIDENCE_PRESENT,80.0,REVIEW_REQUIRED_PRESENT
SCALE-150-O00-00009,150,SCALE_PRIMARY_O00_V1,137.08973947734523,1,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,12.225965166507159,12.225965166507159,6.80246776272247,1.029766959284206,,,,1,3.599554444672173,0.0,,100.0,1,16.317223817316776,0.0,,100.0,1,51.3746716729953,0.0,,100.0,6,NONE,4.468804226762895,7.267132000429312,7.723010927195543,4.468804226762895,7.267132000429312,7.723010927195543,4.468804226762895,7.267132000429312,7.723010927195543,4.468804226762895,7.267132000429312,7.723010927195543,4.468804226762895,7.267132000429312,7.723010927195543,4.468804226762895,7.267132000429312,7.723010927195543,7.300734788721031,8.9404573463706,9.446549052860046,7.300734788721031,8.9404573463706,9.446549052860046,96.17126540565606,101.15871709283378,101.3200221725428,5.779603387676271,9.745484968904572,11.7679590106136,7.300734788721031,8.9404573463706,9.446549052860046,5.500453912749703,7.673592335689829,7.723010927195543,1,1,1,1,1,1,1,0,0,1,1,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,EVIDENCE_PRESENT,100.0,REVIEW_REQUIRED_PRESENT
SCALE-150-O00-00010,150,SCALE_PRIMARY_O00_V1,149.58939215375614,0,EPSG:5880,DESCRIPTIVE_NO_PIH_SCORE,,,,,,,,0,0.0,,,,0,0.0,,,,0,0.0,,,,6,NONE,8.618533676886084,10.763155225620029,11.02935194531526,8.618533676886084,10.763155225620029,11.02935194531526,8.618533676886084,10.763155225620029,11.02935194531526,8.618533676886084,10.763155225620029,11.02935194531526,8.618533676886084,10.763155225620029,11.02935194531526,8.618533676886084,10.763155225620029,11.02935194531526,8.618533676886084,10.763155225620029,11.02935194531526,8.618533676886084,10.763155225620029,11.02935194531526,81.21814918625756,86.20071504386743,86.39001063051792,15.728418151321863,17.491744631048007,17.84206926649542,8.618533676886084,10.763155225620029,11.02935194531526,8.618533676886084,10.763155225620029,11.02935194531526,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET
