support_id,x_5880,y_5880,hydro_surface_unit,hydro_surface_domain,question_code,priority_code_100km2,priority_code_150km2,priority_code_250km2,priority_code_500km2,priority_code_1000km2,priority_exact_all_scales,priority_changes_across_scales_n,priority_min_code_across_scales,priority_max_code_across_scales,integrated_priority_calculated,method_version
SP5-0004-0084,4582500.0,7757500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0004-0085,4582500.0,7762500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0004-0086,4582500.0,7767500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0004-0087,4582500.0,7772500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0004-0092,4582500.0,7797500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0004-0093,4582500.0,7802500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0004-0094,4582500.0,7807500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0004-0095,4582500.0,7812500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0004-0096,4582500.0,7817500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0004-0097,4582500.0,7822500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0004-0098,4582500.0,7827500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0004-0099,4582500.0,7832500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0004-0100,4582500.0,7837500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0004-0101,4582500.0,7842500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0044,4587500.0,7557500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0074,4587500.0,7707500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0075,4587500.0,7712500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0076,4587500.0,7717500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0077,4587500.0,7722500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0078,4587500.0,7727500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0079,4587500.0,7732500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0080,4587500.0,7737500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0081,4587500.0,7742500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0082,4587500.0,7747500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0083,4587500.0,7752500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0084,4587500.0,7757500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0005-0085,4587500.0,7762500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
