scale_km2,grid_family,cell_id,area_effective_km2,evidence_code,evidence_name,n_evidence,n_wells_E01,pct_of_wells,support_state,interpretation
100,SCALE_PRIMARY_O00_V1,SCALE-100-O00-00006,0.006958828283467723,E02,Profundidade positiva informada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
100,SCALE_PRIMARY_O00_V1,SCALE-100-O00-00006,0.006958828283467723,E03,Aquífero informado no cadastro,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
100,SCALE_PRIMARY_O00_V1,SCALE-100-O00-00006,0.006958828283467723,E04,Nível estático disponível,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
100,SCALE_PRIMARY_O00_V1,SCALE-100-O00-00006,0.006958828283467723,E05,Nível dinâmico disponível,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
100,SCALE_PRIMARY_O00_V1,SCALE-100-O00-00006,0.006958828283467723,E06,Vazão específica não negativa,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
100,SCALE_PRIMARY_O00_V1,SCALE-100-O00-00006,0.006958828283467723,E07,Ensaio de bombeamento cadastrado,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
100,SCALE_PRIMARY_O00_V1,SCALE-100-O00-00006,0.006958828283467723,E08,Ensaio com metadados mínimos de cadastro,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
100,SCALE_PRIMARY_O00_V1,SCALE-100-O00-00006,0.006958828283467723,E09,Transmissividade informada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
100,SCALE_PRIMARY_O00_V1,SCALE-100-O00-00006,0.006958828283467723,E10,Evidência hidroquímica e físico-química parcial,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
100,SCALE_PRIMARY_O00_V1,SCALE-100-O00-00006,0.006958828283467723,E11,Última evidência hidrogeológica datada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
100,SCALE_PRIMARY_O00_V1,SCALE-100-O00-00006,0.006958828283467723,E12,Revisão hidroestratigráfica necessária,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
100,SCALE_PRIMARY_O00_V1,SCALE-100-O00-00007,35.65785500927633,E01,Poços canônicos provisórios,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
100,SCALE_PRIMARY_O00_V1,SCALE-100-O00-00007,35.65785500927633,E02,Profundidade positiva informada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
100,SCALE_PRIMARY_O00_V1,SCALE-100-O00-00007,35.65785500927633,E03,Aquífero informado no cadastro,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
