cell_id,scale_km2,vt_n_wells,V01_depth_positive_n,V02_formation_n,V03_penetration_n,V04_hydraulic_condition_n,V05_capture_type_n,V06_top_base_raw_n,V07_diameter_n,V08_screen_interval_n,T01_test_dated_n,T02_chemistry_dated_n,T03_level_dated_n,T04_any_dated_n,T05_multi_domain_dated_n,T06_rimas_registered_n,T07_series_demonstrated_n,latest_evidence_age_median_years,latest_evidence_age_p90_years,dated_distinct_years_n,dated_dataset_span_years,depth_median_m,depth_p10_m,depth_p90_m,top_base_raw_thickness_median_m,capture_interval_status,time_series_status,V01_depth_positive_pct_of_wells,V02_formation_pct_of_wells,V03_penetration_pct_of_wells,V04_hydraulic_condition_pct_of_wells,V05_capture_type_pct_of_wells,V06_top_base_raw_pct_of_wells,V07_diameter_pct_of_wells,T01_test_dated_pct_of_wells,T02_chemistry_dated_pct_of_wells,T03_level_dated_pct_of_wells,T04_any_dated_pct_of_wells,T05_multi_domain_dated_pct_of_wells,T06_rimas_registered_pct_of_wells
SCALE-1000-O00-00001,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA,,,,,,,,,,,,,
SCALE-1000-O00-00002,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA,,,,,,,,,,,,,
SCALE-1000-O00-00003,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA,,,,,,,,,,,,,
SCALE-1000-O00-00004,1000,8,8,4,2,2,2,0,3,0,5,2,0,5,2,0,0,35.03973387543892,41.9058570675647,4,28.008788681492433,94.0,74.0,150.0,,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA,100.0,50.0,25.0,25.0,25.0,0.0,37.5,62.5,25.0,0.0,62.5,25.0,0.0
SCALE-1000-O00-00005,1000,3,3,3,3,3,3,2,3,0,3,1,0,3,1,0,0,44.99476375284913,45.33207389611012,2,7.99742636741343,150.0,102.0,150.0,130.0,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA,100.0,100.0,100.0,100.0,100.0,66.66666666666666,100.0,100.0,33.33333333333333,0.0,100.0,33.33333333333333,0.0
SCALE-1000-O00-00006,1000,5,5,3,3,3,3,1,2,0,2,0,0,2,0,0,0,36.687953893646,38.94179894179894,2,5.634612620382349,150.0,76.0,418.40000000000003,486.0,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA,100.0,60.0,60.0,60.0,60.0,20.0,40.0,40.0,0.0,0.0,40.0,0.0,0.0
SCALE-1000-O00-00007,1000,13,13,11,3,3,2,0,3,0,12,1,0,12,1,0,0,33.3764553686934,44.03896041670944,7,34.11158340006982,140.0,102.3,154.6,,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA,100.0,84.61538461538461,23.076923076923077,23.076923076923077,15.384615384615385,0.0,23.076923076923077,92.3076923076923,7.6923076923076925,0.0,92.3076923076923,7.6923076923076925,0.0
SCALE-1000-O00-00008,1000,42,41,18,0,0,0,0,0,0,20,1,0,20,1,0,0,30.938349178970135,42.3113410952997,11,31.138216390480295,142.0,74.0,157.0,,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA,97.61904761904762,42.857142857142854,0.0,0.0,0.0,0.0,0.0,47.61904761904761,2.380952380952381,0.0,47.61904761904761,2.380952380952381,0.0
SCALE-1000-O00-00009,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA,,,,,,,,,,,,,
SCALE-1000-O00-00010,1000,9,9,4,1,1,1,0,1,0,4,1,0,4,1,0,0,20.787558950560246,39.09156245508122,4,37.49563646070761,103.0,77.8,120.0,,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA,100.0,44.44444444444444,11.11111111111111,11.11111111111111,11.11111111111111,0.0,11.11111111111111,44.44444444444444,11.11111111111111,0.0,44.44444444444444,11.11111111111111,0.0
