hydrolithologic_domain,n_wells,depth_positive_pct,formation_documented_pct,penetration_documented_pct,hydraulic_condition_documented_pct,capture_type_documented_pct,top_base_raw_pct,diameter_documented_pct,test_dated_pct,chemistry_dated_pct,level_measurement_dated_pct,dated_any_pct,multi_domain_dated_pct,rimas_registered_n,latest_evidence_age_median_years,latest_evidence_age_p90_years,series_demonstrated_n
Cárstica,49,93.87755102040816,59.183673469387756,2.0408163265306123,2.0408163265306123,2.0408163265306123,2.0408163265306123,4.081632653061225,67.3469387755102,14.285714285714285,0.0,71.42857142857143,10.204081632653061,0,29.8267589341328,45.911962600190286,0
Fraturada,1788,87.52796420581656,33.836689038031324,7.829977628635347,6.543624161073826,4.921700223713646,10.346756152125279,8.277404921700224,37.41610738255034,12.807606263982102,0.16778523489932887,38.92617449664429,11.297539149888143,2,23.391308514206315,44.41980328138155,0
Granular,2040,88.38235294117646,38.77450980392157,13.480392156862745,12.84313725490196,11.96078431372549,6.372549019607843,12.84313725490196,43.08823529411765,14.411764705882351,0.8333333333333334,44.41176470588235,13.137254901960786,20,23.452911421863558,46.17890853337167,0
