well_id,longitude,latitude,sgb2024_unit_aflorante,hydrolithologic_domain,depth_positive,depth_m,formation_documented,formation,penetration_type_documented,penetration_type,hydraulic_condition_documented,hydraulic_condition,capture_type_documented,capture_type,diameter_documented,diameter_raw,top_base_raw_coherent,top_raw_m,base_raw_m,top_base_raw_thickness_m,explicit_profile_documented,vertical_metadata_n,vertical_documentation_state,capture_interval_status,test_dated,test_date,chemistry_dated,chemistry_date,level_measurement_dated,level_measurement_date,level_measurement_raw,dated_evidence_any,dated_domains_n,dated_domains,dated_distinct_dates_n,earliest_evidence_date,latest_evidence_date,latest_evidence_age_years,evidence_date_span_years,rimas_status_current,rimas_registered,temporal_documentation_state,time_series_status
3500026959,-53.14499999999998,-22.328055999999947,Grupo Caiuá,Granular,True,120.0,True,Formação Caiuá,False,,False,,False,,False,,False,0.0,0.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,True,2008-08-20,False,,,True,1,QUIMICA,1,2008-08-20,2008-08-20,18.023641827005346,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500073573,-54.16454199999998,-22.478782999999964,Grupo Caiuá,Granular,True,80.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500073575,-53.80580599999996,-22.745499999999936,Grupo Caiuá,Granular,True,80.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500030628,-54.61111099999994,-19.28277799999995,Grupo Bauru,Granular,True,60.0,True,"Formação Serra Geral, Grupo São Bento",True,Parcial,False,,True,Única,False,,True,13.0,60.0,47.0,False,4,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,2009-04-10,False,,False,,,True,1,TESTE,1,2009-04-10,2009-04-10,17.38570949437702,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023251,-54.04888799999998,-19.51555499999995,Formação Botucatu,Granular,True,160.0,True,Formação Botucatu,True,Parcial,True,Livre,True,Única,True,"203,2",False,0.0,160.0,,False,5,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,1991-09-21,False,,False,,,True,1,TESTE,1,1991-09-21,1991-09-21,34.93843131618034,0.0,Siagas,False,EVIDENCIA_DATADA_UM_DOMINIO,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500027249,-54.75083299999994,-22.51388899999995,Formação Serra Geral,Fraturada,True,145.0,True,Formação Serra Geral,False,,False,,False,,False,,False,0.0,145.0,,False,1,PROFUNDIDADE_MAIS_METADADOS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,True,2010-01-25,True,2011-08-15,False,,,True,2,QUIMICA|TESTE,2,2010-01-25,2011-08-15,15.039323189387872,1.5523932729624839,Siagas,False,EVIDENCIA_DATADA_MULTIPLOS_DOMINIOS,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500073670,-55.78663099999994,-21.85234399999996,Formação Serra Geral,Fraturada,True,80.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500073944,-55.12794399999996,-22.09955599999995,Formação Serra Geral,Fraturada,True,56.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500072939,-53.34366699999998,-22.24183299999993,Grupo Caiuá,Granular,True,120.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500072744,-53.79286099999996,-19.81475599999993,Formação Serra Geral,Fraturada,True,130.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500072683,-54.219532999999956,-22.407366999999965,Grupo Caiuá,Granular,True,136.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500072411,-52.47465599999998,-21.746221999999932,Grupo Caiuá,Granular,True,160.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500072389,-54.94982799999997,-20.947216999999966,Formação Serra Geral,Fraturada,True,164.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500072338,-52.47286399999996,-21.74570799999998,Grupo Caiuá,Granular,True,180.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500072154,-54.48794399999997,-19.21992199999994,Formação Serra Geral,Fraturada,True,226.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500073184,-55.737499999999955,-22.463610999999958,Grupo Caiuá,Granular,True,102.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500073244,-54.32940599999995,-23.866402999999934,Grupo Caiuá,Granular,True,100.0,False,,False,,False,,False,,False,,False,,,,False,0,PROFUNDIDADE_APENAS,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO,False,,False,,False,,,False,0,,0,,,,,Siagas,False,UNKNOWN_SEM_EVIDENCIA_DATADA,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
