well_id,municipality,hydro_unit,domain,layer_code,layer_name,latest_evidence_date,latest_evidence_age_years,dated_domains_n,time_series_status
3500023328,Chapadão do Sul,Formação Cachoeirinha,Granular,T04,Evidência hidrogeológica datada,1987-06-17,39.20135252606145,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023359,Iguatemi,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1993-08-10,33.05201338836526,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500030624,São Gabriel do Oeste,Grupo Bauru,Granular,T04,Evidência hidrogeológica datada,2009-03-06,17.481536239621622,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500030625,São Gabriel do Oeste,Grupo Bauru,Granular,T04,Evidência hidrogeológica datada,2011-10-14,14.875048768968561,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500030627,São Gabriel do Oeste,Grupo Bauru,Granular,T04,Evidência hidrogeológica datada,2009-03-04,17.4870120536356,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500030631,São Gabriel do Oeste,Grupo Bauru,Granular,T04,Evidência hidrogeológica datada,2009-04-12,17.380233680363045,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023253,Camapuã,Formação Botucatu,Granular,T04,Evidência hidrogeológica datada,1988-10-01,37.90906041876288,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022739,Ponta Porã,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1990-11-21,35.77075504630485,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023035,Juti,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1983-12-11,42.716825123034695,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023052,Bonito,Grupo Cuiaba,Cárstica,T04,Evidência hidrogeológica datada,1982-02-20,44.521105840640125,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023076,Bonito,Grupo Cuiaba,Fraturada,T04,Evidência hidrogeológica datada,2002-02-25,24.507005619554132,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023077,Bonito,Grupo Cuiaba,Fraturada,T04,Evidência hidrogeológica datada,1988-06-11,38.21570600354559,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500067714,Aral Moreira,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2022-03-10,4.471002142412233,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500023392,Nova Andradina,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1987-03-31,39.41490927260656,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022982,Paranaíba,Grupo Bauru,Granular,T04,Evidência hidrogeológica datada,1988-12-29,37.665386695140896,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500067717,Costa Rica,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2022-05-06,4.314941443013888,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
