well_id,municipality,hydro_unit,domain,layer_code,layer_name,depth_m,vertical_metadata_n,capture_interval_status
3500065054,Dourados,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,600.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500053084,Miranda,Grupo Cuiaba,Fraturada,V04,Condição hidráulica documentada,30.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500027119,Caarapó,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,150.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500026917,Três Lagoas,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,34.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500027282,Chapadão do Sul,Formação Cachoeirinha,Granular,V04,Condição hidráulica documentada,100.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045668,Corguinho,Formação Aquidauana,Granular,V04,Condição hidráulica documentada,90.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045682,Iguatemi,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,160.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500053090,Maracaju,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,105.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065040,Campo Grande,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,96.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065045,Campo Grande,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,48.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065046,Campo Grande,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,90.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065047,Campo Grande,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,100.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065060,Ivinhema,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,100.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065072,Selvíria,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,96.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065009,Aral Moreira,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,130.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500068739,Ribas do Rio Pardo,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,74.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023356,Sete Quedas,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,150.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023368,Caarapó,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,150.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045694,Campo Grande,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,116.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023202,Anastácio,Formação Botucatu,Granular,V04,Condição hidráulica documentada,100.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023355,Sete Quedas,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,150.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023312,Inocência,Grupo Bauru,Granular,V04,Condição hidráulica documentada,115.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045646,Três Lagoas,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,100.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045662,Três Lagoas,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,200.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045700,Campo Grande,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,78.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065096,Camapuã,Formação Botucatu,Granular,V04,Condição hidráulica documentada,23.65,2,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065031,Campo Grande,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,65.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065039,Campo Grande,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,560.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045691,Sidrolândia,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,120.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500053083,Miranda,Grupo Cuiaba,Fraturada,V04,Condição hidráulica documentada,38.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500053086,Miranda,Formação Pantanal,Granular,V04,Condição hidráulica documentada,40.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500026918,Ivinhema,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,80.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500027077,Caarapó,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,100.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045670,Batayporã,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,120.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045703,Três Lagoas,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,138.26,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045711,Três Lagoas,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,162.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065044,Campo Grande,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,40.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065070,Rio Verde de Mato Grosso,Formação Ponta Grossa,Granular,V04,Condição hidráulica documentada,150.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065082,Três Lagoas,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,45.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023242,Figueirão,Formação Botucatu,Granular,V04,Condição hidráulica documentada,150.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065013,Bataguassu,Depósitos aluvionares,Granular,V04,Condição hidráulica documentada,77.5,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065016,Bataguassu,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,100.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065018,Bodoquena,Grupo Cuiaba,Fraturada,V04,Condição hidráulica documentada,60.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500065068,Rio Brilhante,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,266.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500068743,Paranaíba,Grupo Bauru,Granular,V04,Condição hidráulica documentada,60.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500068742,Três Lagoas,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,76.0,4,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023386,Nova Andradina,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,150.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500045692,Ponta Porã,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,150.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023143,Amambai,Formação Serra Geral,Fraturada,V04,Condição hidráulica documentada,148.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023279,Bataguassu,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,94.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023327,Chapadão do Sul,Formação Cachoeirinha,Granular,V04,Condição hidráulica documentada,145.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023357,Sete Quedas,Grupo Caiuá,Granular,V04,Condição hidráulica documentada,150.0,6,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
3500023307,Inocência,Grupo Bauru,Granular,V04,Condição hidráulica documentada,216.0,5,UNKNOWN_SEM_INTERVALO_DE_FILTRO_DEMONSTRADO
