scale_km2,grid_family,n_cells,cells_with_E01,median_nn_global_km_occupied,median_support_area_2p5km_pct_occupied,median_support_area_5km_pct_occupied,median_support_area_10km_pct_occupied,median_redundancy_proxy_5km_occupied,median_entropy_5km_occupied,median_gap_E01_p90_km_all_cells,median_gap_E07_p90_km_all_cells,median_gap_E09_p90_km_all_cells,median_gap_E10_p90_km_all_cells
100,SCALE_PRIMARY_O00_V1,3763,774,2.5047942891835913,6.250000000000178,24.67423970273859,56.77981765859418,0.0,0.9182958340544894,15.342910647509049,25.71528493522341,66.08367813208973,19.47049944243811
150,SCALE_PRIMARY_O00_V1,2525,657,2.492872557383935,5.542101072533367,16.6666666666681,49.50259943960958,0.0,0.9182958340544894,15.921946115002278,26.281688084208906,67.0603068557925,20.128923921090724
250,SCALE_PRIMARY_O00_V1,1537,523,2.1951628798619156,4.8273979975728425,14.362644746573766,38.52905703536141,0.25,0.9182958340544894,16.68124424726151,27.644275313041433,68.53966225400492,21.072127656551686
500,SCALE_PRIMARY_O00_V1,791,354,1.7373163467872734,3.4838905743195663,10.000000000000377,29.699691557556683,0.33333333333333337,0.9206198357143047,18.577814373573016,29.78510283184918,71.94996115554773,22.61246269775869
1000,SCALE_PRIMARY_O00_V1,413,240,1.341357459579494,2.499999999999914,8.848706965351088,23.152137174132825,0.33333333333333337,0.9182958340544894,19.41932540607371,31.35941010026125,73.95256695864863,24.04374969891313
