well_id,municipality,aquifer,static_level_m,zero_requires_review,measurement_date,source,evidence_code,latitude,longitude
3500022540,Glória de Dourados,Serra geral,6.8,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.42166599999996,-54.24111099999993
3500022582,Três Lagoas,Serra geral,16.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.777499999999975,-51.66472199999998
3500022654,Campo Grande,Guarani,6.2,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.49444399999993,-54.58333299999998
3500022674,Angélica,Serra geral,24.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.052221999999972,-54.06833299999994
3500022859,Maracaju,Guarani,23.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-21.632221999999956,-55.166943999999944
3500022984,Três Lagoas,Bauru,12.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.79472199999998,-51.72305499999993
3500023029,Pedro Gomes,Furnas,0.0,True,UNKNOWN,SIAGAS_MS_20260814,E04,-18.115276999999935,-54.550832999999955
3500027083,Angélica,Serra geral,24.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.051666999999952,-54.06611099999998
3500027300,Rio Negro,Furnas,21.1,False,UNKNOWN,SIAGAS_MS_20260814,E04,-19.49055599999997,-55.00222199999996
3500045629,Itaporã,,40.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.09416699999997,-54.71749999999997
3500023314,Aparecida do Taboado,,14.4,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.08611099999996,-51.10555499999998
3500023191,Aquidauana,,12.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.47166599999997,-55.77722199999994
3500022925,Campo Grande,Guarani,222.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.426387999999974,-54.58722199999994
3500022683,Amambai,Guarani,34.7,False,UNKNOWN,SIAGAS_MS_20260814,E04,-23.09722199999993,-55.22888799999998
3500022686,Amambai,Guarani,13.3,False,UNKNOWN,SIAGAS_MS_20260814,E04,-23.094721999999933,-55.23638799999998
3500022755,Anastácio,Cuiaba,0.7000000000000001,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.47388799999993,-55.811387999999965
3500022926,Campo Grande,Rocha cristalina,120.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.435554999999965,-54.66972199999998
3500022943,Aquidauana,Cuiaba,6.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.46388799999994,-55.791943999999944
3500023391,Terenos,Guarani,25.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.407776999999953,-54.86555499999997
3500022685,Amambai,Guarani,58.5,False,UNKNOWN,SIAGAS_MS_20260814,E04,-23.10055499999993,-55.23277699999994
3500022987,Selvíria,Serra geral,14.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.365554999999972,-51.417776999999944
3500067710,Corguinho,Aquidauana,15.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-19.906943999999953,-55.14222199999995
3500067712,Corguinho,Cuiaba,22.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-19.839721999999938,-55.184443999999985
3500071928,Dourados,,85.58,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.31211099999996,-54.78486099999998
3500067286,Terenos,,49.4,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.708610999999962,-54.92944399999993
3500023041,Chapadão do Sul,Cobertura cenozoica,40.6,False,UNKNOWN,SIAGAS_MS_20260814,E04,-18.79249999999996,-52.62027699999993
3500073572,Dourados,Serra geral,21.86,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.31397199999998,-54.786749999999984
3500023248,Camapuã,Guarani,50.53,False,UNKNOWN,SIAGAS_MS_20260814,E04,-19.526665999999977,-54.04305499999998
3500073853,Campo Grande,Bauru,24.58,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.43809699999997,-54.55112799999995
3500073855,Dourados,Serra geral,29.73,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.22602799999993,-54.85866699999997
3500073185,Dourados,Serra geral,25.49,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.19468299999994,-54.93191699999994
3500073243,Campo Grande,Serra geral,13.06,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.46313299999997,-54.61376699999994
3500073236,Dourados,Serra geral,8.7,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.191538999999977,-54.69909999999999
3500073235,Jateí,Bauru,20.22,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.52952799999997,-54.160082999999986
3500073248,Campo Grande,Serra geral,1.4,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.512116999999932,-54.58251699999994
3500073308,Chapadão do Sul,Bauru,23.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-18.70216899999997,-52.477085999999986
3500073412,Campo Grande,Serra geral,15.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.466338999999948,-54.59151099999997
3500073441,Ribas do Rio Pardo,Bauru,32.0,False,UNKNOWN,SIAGAS_MS_20260814,E04,-20.473127999999974,-53.76182199999994
3500073543,Dourados,Serra geral,21.96,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.19798099999997,-54.934766999999965
3500022699,Eldorado,Caiua,38.3,False,UNKNOWN,SIAGAS_MS_20260814,E04,-23.78444399999995,-54.28166599999997
3500022738,Ponta Porã,Serra geral,2.5,False,UNKNOWN,SIAGAS_MS_20260814,E04,-22.484999999999957,-55.72305499999993
