well_id,municipality,aquifer,depth_m,source,evidence_code,latitude,longitude
3500071706,Rio Brilhante,,9.5,SIAGAS_MS_20260814,E02,-21.876766999999973,-54.521225999999956
3500023151,Amambai,,150.0,SIAGAS_MS_20260814,E02,-23.099999999999966,-55.22249999999997
3500023165,Antônio João,,118.0,SIAGAS_MS_20260814,E02,-22.197499999999934,-55.946387999999956
3500023147,Amambai,,140.0,SIAGAS_MS_20260814,E02,-23.093887999999936,-55.164999999999964
3500071754,Aquidauana,,160.0,SIAGAS_MS_20260814,E02,-20.32644399999998,-55.56474499999996
3500023255,Ribas do Rio Pardo,,101.0,SIAGAS_MS_20260814,E02,-19.87694399999998,-53.70138799999995
3500071734,Angélica,,15.0,SIAGAS_MS_20260814,E02,-21.92121499999996,-53.80983999999995
3500023190,Aquidauana,,112.0,SIAGAS_MS_20260814,E02,-20.48111099999994,-55.787499999999966
3500022473,Campo Grande,Guarani,166.0,SIAGAS_MS_20260814,E02,-20.47305499999993,-54.64583299999998
3500022535,Campo Grande,Guarani,162.0,SIAGAS_MS_20260814,E02,-20.522221999999942,-54.654721999999936
3500065140,Ribas do Rio Pardo,Guarani,215.0,SIAGAS_MS_20260814,E02,-20.463055999999938,-53.76111099999997
3500026929,São Gabriel do Oeste,,324.0,SIAGAS_MS_20260814,E02,-19.559721999999965,-54.485555999999974
3500023176,Angélica,,120.0,SIAGAS_MS_20260814,E02,-22.052776999999935,-54.06611099999998
3500045661,Batayporã,Caiua,120.0,SIAGAS_MS_20260814,E02,-22.284999999999968,-53.28249999999997
3500022696,Caarapó,Serra geral,150.0,SIAGAS_MS_20260814,E02,-22.49527699999993,-54.757221999999956
3500067664,Sidrolândia,Guarani,98.0,SIAGAS_MS_20260814,E02,-20.941110999999978,-54.974166999999966
3500073240,Bela Vista,,100.0,SIAGAS_MS_20260814,E02,-21.572832999999946,-56.635410999999976
3500067287,Terenos,,110.0,SIAGAS_MS_20260814,E02,-20.717777999999953,-55.02138899999994
3500067322,Costa Rica,Guarani,134.0,SIAGAS_MS_20260814,E02,-18.516388999999947,-53.15749999999997
3500023184,Anaurilândia,,131.0,SIAGAS_MS_20260814,E02,-22.018887999999947,-52.51888799999995
3500026946,Campo Grande,Serra geral,63.0,SIAGAS_MS_20260814,E02,-20.486388999999974,-54.61777799999999
3500073577,Glória de Dourados,Bauru,80.0,SIAGAS_MS_20260814,E02,-22.34919199999996,-54.282216999999946
3500030630,São Gabriel do Oeste,Serra geral,35.0,SIAGAS_MS_20260814,E02,-19.383888999999954,-54.56694399999998
3500030632,Rio Verde de Mato Grosso,Furnas,62.2,SIAGAS_MS_20260814,E02,-18.920555999999976,-54.84833299999997
3500030639,Bandeirantes,Serra geral,150.0,SIAGAS_MS_20260814,E02,-19.67916699999995,-54.35388899999998
3500073750,Naviraí,Bauru,70.0,SIAGAS_MS_20260814,E02,-23.071616999999947,-54.22894199999996
3500073793,Vicentina,Bauru,66.0,SIAGAS_MS_20260814,E02,-22.53419699999995,-54.42435299999994
3500067384,Terenos,Guarani,112.7,SIAGAS_MS_20260814,E02,-20.377777999999978,-55.22972199999998
3500073045,Alcinópolis,Botucatu,120.0,SIAGAS_MS_20260814,E02,-18.107760999999982,-53.95628899999997
3500073153,Ponta Porã,Serra geral,105.0,SIAGAS_MS_20260814,E02,-22.463827999999978,-55.737030999999945
3500073254,Dourados,Serra geral,100.0,SIAGAS_MS_20260814,E02,-22.232580999999982,-54.98858899999993
3500073397,Três Lagoas,Bauru,98.0,SIAGAS_MS_20260814,E02,-20.766899999999964,-51.679224999999974
3500022687,Antônio João,Serra geral,146.0,SIAGAS_MS_20260814,E02,-22.196943999999974,-55.94388799999996
3500022700,Eldorado,Caiua,142.0,SIAGAS_MS_20260814,E02,-23.788610999999946,-54.28416599999997
3500022704,Eldorado,Caiua,142.0,SIAGAS_MS_20260814,E02,-23.782776999999953,-54.27694399999996
3500022741,Ponta Porã,Serra geral,126.0,SIAGAS_MS_20260814,E02,-22.497776999999928,-55.72249999999997
3500023012,Três Lagoas,Bauru,84.2,SIAGAS_MS_20260814,E02,-20.72555499999993,-51.699165999999934
3500023015,Ponta Porã,Serra geral,81.0,SIAGAS_MS_20260814,E02,-22.195554999999956,-55.48055499999998
3500023081,Bonito,Cuiaba,56.0,SIAGAS_MS_20260814,E02,-21.122221999999965,-56.49555499999997
3500023082,Bonito,Cuiaba,55.0,SIAGAS_MS_20260814,E02,-21.113610999999935,-56.497221999999965
3500067699,Laguna Carapã,Serra geral,75.0,SIAGAS_MS_20260814,E02,-22.837777999999958,-55.20111099999997
3500027247,Sidrolândia,Guarani,88.0,SIAGAS_MS_20260814,E02,-21.194721999999956,-54.91305599999998
3500023200,Anastácio,Guarani,150.0,SIAGAS_MS_20260814,E02,-20.778887999999938,-55.51611099999997
3500023201,Dois Irmãos do Buriti,Guarani,100.0,SIAGAS_MS_20260814,E02,-20.756943999999976,-55.48499999999996
3500023206,Dois Irmãos do Buriti,Guarani,120.0,SIAGAS_MS_20260814,E02,-20.688332999999943,-55.46083299999998
3500023211,Terenos,Guarani,152.5,SIAGAS_MS_20260814,E02,-20.644721999999945,-55.05361099999993
3500023226,São Gabriel do Oeste,Guarani,115.0,SIAGAS_MS_20260814,E02,-19.394165999999927,-54.61138799999998
3500023273,Bataguassu,Caiua,100.0,SIAGAS_MS_20260814,E02,-21.718332999999973,-52.41888799999998
3500027072,Ivinhema,Caiua,120.75,SIAGAS_MS_20260814,E02,-22.304443999999933,-53.828332999999986
3500023378,Glória de Dourados,Serra geral,150.0,SIAGAS_MS_20260814,E02,-22.407221999999933,-54.227776999999946
3500022589,Alcinópolis,Guarani,115.0,SIAGAS_MS_20260814,E02,-18.32361099999997,-53.71222199999994
3500022653,Campo Grande,Serra geral,140.0,SIAGAS_MS_20260814,E02,-20.51666599999993,-54.61944399999999
3500022885,Campo Grande,Serra geral,147.0,SIAGAS_MS_20260814,E02,-20.99333299999995,-54.507499999999936
3500022890,Campo Grande,Serra geral,162.0,SIAGAS_MS_20260814,E02,-20.42083299999996,-54.636387999999954
3500022901,Campo Grande,Serra geral,150.0,SIAGAS_MS_20260814,E02,-20.496387999999968,-54.65083299999998
3500022989,Camapuã,Guarani,80.0,SIAGAS_MS_20260814,E02,-19.528332999999975,-54.04333299999996
3500023017,Ribas do Rio Pardo,Serra geral,120.0,SIAGAS_MS_20260814,E02,-20.44083299999994,-53.76777699999997
3500026838,Camapuã,Guarani,60.0,SIAGAS_MS_20260814,E02,-19.63777799999997,-54.082221999999945
3500023011,Coxim,Ponta grossa,154.0,SIAGAS_MS_20260814,E02,-18.562776999999983,-54.632776999999976
3500022507,Campo Grande,Serra geral,123.0,SIAGAS_MS_20260814,E02,-20.500832999999943,-54.577499999999986
3500022544,Ivinhema,Caiua,150.0,SIAGAS_MS_20260814,E02,-22.31361099999998,-53.82861099999997
3500022548,Ivinhema,Caiua,132.0,SIAGAS_MS_20260814,E02,-22.30583299999995,-53.850554999999986
3500022550,Ivinhema,Caiua,136.0,SIAGAS_MS_20260814,E02,-22.370832999999948,-53.92749999999995
3500022581,Três Lagoas,Bauru,168.0,SIAGAS_MS_20260814,E02,-20.78444399999995,-51.74416599999995
3500022585,Três Lagoas,Bauru,128.0,SIAGAS_MS_20260814,E02,-20.776943999999958,-51.68833299999994
3500022599,Camapuã,Guarani,140.0,SIAGAS_MS_20260814,E02,-19.519721999999945,-54.03777699999995
3500022613,Corumbá,Não definido,68.76,SIAGAS_MS_20260814,E02,-19.69944399999997,-57.83249999999998
3500022641,Corumbá,Não definido,152.69,SIAGAS_MS_20260814,E02,-19.09611099999995,-57.81194399999998
3500022655,Aquidauana,Aquidauana,140.0,SIAGAS_MS_20260814,E02,-20.465276999999958,-55.79138799999998
