well_id,municipality,aquifer,test_type,test_date,static_level_m,dynamic_level_m,stabilized_yield,interpretation_method,source,evidence_code,latitude,longitude
3500022804,Sidrolândia,Guarani,Rebaixamento,2001-04-11,27.0,33.0,8.9,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.782221999999933,-55.11055499999998
3500022830,Dourados,Serra geral,Rebaixamento,1990-04-23,47.5,48.3,57.8,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.25222199999996,-54.81611099999998
3500022834,Dourados,Serra geral,Rebaixamento,2002-09-25,18.0,24.0,83.89,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.238887999999974,-54.79583299999996
3500022837,Dourados,Serra geral,Rebaixamento,1982-03-23,4.62,62.18,76.15,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.20027699999997,-54.78194399999995
3500022871,Rio Brilhante,Serra geral,Rebaixamento,1984-06-18,8.12,49.06,25.22,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.651943999999958,-54.42944399999993
3500022905,Campo Grande,Serra geral,Rebaixamento,1995-11-30,49.0,74.0,7.2,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.537499999999966,-54.66972199999998
3500022938,Angélica,Caiua,Rebaixamento,1987-08-13,24.0,63.46,46.58,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.156387999999936,-53.779165999999975
3500022971,Bataguassu,Caiua,Rebaixamento,2002-05-21,31.7,50.0,31.68,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.715276999999958,-52.43055499999997
3500022978,Santa Rita do Pardo,Caiua,Rebaixamento,1994-05-04,11.0,39.5,46.55,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.302499999999952,-52.823054999999954
3500022990,Coxim,Furnas,Rebaixamento,1974-06-05,15.0,41.65,3.75,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-18.50666599999994,-54.74138799999997
3500023022,Eldorado,Caiua,Rebaixamento,1978-07-08,25.0,57.53,14.4,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-23.78444399999995,-54.281387999999936
3500023040,Coxim,Furnas,Rebaixamento,1981-06-13,2.47,23.1,60.9,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-18.509165999999937,-54.75444399999998
3500023085,Bonito,Cuiaba,Rebaixamento,1994-04-14,5.0,14.0,0.5,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.121387999999968,-56.49416599999995
3500023090,Bonito,Cuiaba,Rebaixamento,1980-05-15,7.5,49.0,0.3,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.121110999999928,-56.45361099999997
3500023092,Bonito,Cuiaba,Rebaixamento,1993-03-13,10.0,16.0,0.5,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.11888799999997,-56.48499999999996
3500023093,Bonito,Cuiaba,Rebaixamento,1991-05-07,8.5,36.0,3.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.119721999999967,-56.49444399999999
3500023098,Aquidauana,Aquidauana,Rebaixamento,1975-01-10,4.0,16.0,20.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.464165999999977,-55.76249999999993
3500023259,Rio Brilhante,Serra geral,Escalonado,1991-07-13,12.0,39.5,56.6,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.808332999999948,-54.549999999999955
3500023261,Rio Brilhante,Serra geral,Rebaixamento,1991-07-11,4.3,18.5,18.9,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.80694399999993,-54.551387999999974
3500023277,Bataguassu,Bauru,Escalonado,1987-03-22,31.45,50.19,55.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.686943999999983,-52.43749999999994
3500023374,Novo Horizonte do Sul,Caiua,Rebaixamento,1995-02-16,24.0,45.0,13.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.655554999999936,-53.85999999999996
3500023375,Novo Horizonte do Sul,Caiua,Rebaixamento,1996-02-06,24.0,43.0,11.6,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.651665999999977,-53.85777699999994
3500022474,Campo Grande,Serra geral,Rebaixamento,1989-07-14,9.5,34.0,27.7,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.475832999999966,-54.65277699999996
3500023274,Bataguassu,Caiua,Rebaixamento,1980-02-16,33.3,43.21,18.85,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.71388799999994,-52.41749999999996
3500030634,Rio Verde de Mato Grosso,Furnas,Rebaixamento,1986-07-27,6.0,33.0,42.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-18.915277999999944,-54.853610999999944
3500030635,Rio Verde de Mato Grosso,Furnas,Rebaixamento,1989-08-19,33.0,55.6,27.3,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-18.90944399999995,-54.83749999999998
3500030637,Corguinho,Aquidauana,Rebaixamento,1979-03-27,19.0,41.0,28.8,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.831110999999964,-54.831388999999945
3500022688,Antônio João,Serra geral,Rebaixamento,1979-10-05,4.5,25.5,28.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.19305499999996,-55.957776999999965
3500022690,Aral Moreira,Serra geral,Rebaixamento,1980-07-07,3.65,22.26,46.65,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.944721999999956,-55.634443999999974
3500022701,Eldorado,Caiua,Rebaixamento,1995-09-02,38.3,64.0,10.3,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-23.78583299999997,-54.287221999999986
3500022702,Eldorado,Caiua,Rebaixamento,1997-01-14,34.0,70.6,24.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-23.78361099999995,-54.27722199999994
3500022727,Ponta Porã,Serra geral,Rebaixamento,1973-03-01,38.0,45.0,22.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.542776999999944,-55.718887999999936
3500022731,Ponta Porã,Serra geral,Rebaixamento,1976-05-15,38.0,45.0,22.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.552221999999972,-55.706943999999964
3500022753,Anastácio,Aquidauana,Rebaixamento,1987-06-12,18.5,83.6,10.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.48083299999996,-55.81527699999998
3500022979,Santa Rita do Pardo,Caiua,Rebaixamento,1989-10-10,5.0,89.1,11.6,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.292776999999944,-52.82583299999993
3500023063,Bonito,Cuiaba,Rebaixamento,1991-01-18,8.0,54.0,1.4,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.109999999999957,-56.458887999999945
3500023066,Dourados,Serra geral,Rebaixamento,1973-06-03,10.0,38.0,24.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.11722199999997,-54.696387999999956
3500067285,Dourados,Serra geral,Rebaixamento,2016-08-08,2.4,15.85,21.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.186110999999983,-54.82555599999995
3500022695,Caarapó,Serra geral,Rebaixamento,1989-05-07,19.5,29.8,21.8,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.633610999999974,-54.819721999999956
3500022985,Três Lagoas,Bauru,Rebaixamento,2003-05-25,13.03,29.3,53.2,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.78888799999993,-51.708054999999945
3500022999,Rio Negro,Furnas,Rebaixamento,1989-07-15,12.1,64.18,33.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.436387999999965,-55.041665999999964
3500023252,Camapuã,Guarani,Rebaixamento,1988-03-25,22.7,54.3,10.5,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.589165999999977,-54.037221999999986
3500067497,Jaraguari,Guarani,Rebaixamento,2017-04-02,9.5,59.5,28.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.053332999999952,-54.651666999999975
3500067701,Ribas do Rio Pardo,Serra geral,Rebaixamento,2018-07-22,40.0,80.0,11.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.27444399999996,-53.72638899999998
3500030644,Terenos,,Rebaixamento,2008-05-01,50.5,77.25,12.41,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.690277999999978,-55.00583299999994
3500022602,Camapuã,Guarani,Rebaixamento,1989-02-02,13.7,46.0,13.2,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.58888799999994,-54.03666599999997
3500022692,Caarapó,Serra geral,Rebaixamento,1980-10-22,10.9,85.4,8.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.639165999999932,-54.81222199999996
3500022811,Sidrolândia,Guarani,Rebaixamento,2001-08-02,68.5,74.0,17.6,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.938332999999943,-54.948887999999954
3500022940,Campo Grande,Serra geral,Rebaixamento,1998-01-06,18.0,19.0,7.21,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.414999999999964,-54.63416599999994
3500022475,Campo Grande,Guarani,Rebaixamento,1993-08-24,4.0,37.0,31.5,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.480276999999944,-54.62805499999996
3500022479,Campo Grande,Serra geral,Rebaixamento,1994-02-22,7.0,33.0,11.5,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.47194399999995,-54.551387999999974
3500022489,Campo Grande,Serra geral,Rebaixamento,1997-02-21,38.0,45.3,36.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.393887999999947,-54.56777699999998
3500022505,Campo Grande,Serra geral,Rebaixamento,1997-04-28,15.0,34.0,34.8,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.428610999999933,-54.57444399999997
3500022509,Campo Grande,Guarani,Rebaixamento,1989-04-22,43.0,59.0,21.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.537499999999966,-54.67277699999994
3500022527,Campo Grande,Serra geral,Rebaixamento,1984-05-30,47.0,62.0,3.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.42111099999994,-54.56888799999996
3500022558,Taquarussu,Serra geral,Rebaixamento,2001-05-27,6.2,45.3,18.64,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.487221999999974,-53.354443999999944
3500022573,Inocência,Serra geral,Rebaixamento,1989-04-05,21.9,65.0,7.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-19.72388799999993,-51.92249999999996
3500022577,Três Lagoas,Bauru,Rebaixamento,1978-01-22,17.0,27.8,40.4,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.79694399999994,-51.66888799999998
3500022603,Sonora,Furnas,Rebaixamento,2000-07-21,32.0,53.0,15.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-17.586387999999943,-54.75055499999996
3500022605,Sonora,Furnas,Rebaixamento,1999-05-14,20.0,66.5,44.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-17.584165999999982,-54.75083299999994
3500022628,Juti,Guarani,Rebaixamento,1984-05-13,14.0,48.0,20.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.85694399999994,-54.634721999999954
3500022630,Caarapó,Serra geral,Rebaixamento,1978-08-21,10.4,34.5,10.2,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.631943999999976,-54.81722199999996
3500022632,Caarapó,Serra geral,Rebaixamento,2003-03-02,24.0,87.0,17.0,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-22.636387999999954,-54.82944399999997
3500022948,Campo Grande,Guarani,Rebaixamento,1996-10-20,0.5,33.0,14.5,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-20.51388799999995,-54.592776999999955
3500022964,Brasilândia,Serra geral,Rebaixamento,1978-09-10,18.0,24.57,26.4,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E08,-21.25194399999998,-52.03361099999995
