well_id,municipality,aquifer,test_type,test_date,source,evidence_code,latitude,longitude
3500065034,Campo Grande,Serra geral,Rebaixamento,2016-04-29,SGB_HIDRO_MS_2024_POCOS,E07,-20.550277999999935,-54.67027799999994
3500065041,Campo Grande,Serra geral,Rebaixamento,2016-06-02,SGB_HIDRO_MS_2024_POCOS,E07,-20.456388999999945,-54.62749999999994
3500065050,Campo Grande,Serra geral,Rebaixamento,2012-11-27,SGB_HIDRO_MS_2024_POCOS,E07,-20.521943999999962,-54.62361099999998
3500065051,Campo Grande,Serra geral,Rebaixamento,2016-06-28,SGB_HIDRO_MS_2024_POCOS,E07,-20.48055599999998,-54.75361099999998
3500065080,Três Lagoas,Serra geral,Rebaixamento,2015-12-11,SGB_HIDRO_MS_2024_POCOS,E07,-20.99333299999995,-51.79166699999996
3500065004,Antônio João,Serra geral,Rebaixamento,1979-08-03,SGB_HIDRO_MS_2024_POCOS,E07,-22.198332999999934,-55.94805599999995
3500065008,Aparecida do Taboado,Caiua,Rebaixamento,2005-05-21,SGB_HIDRO_MS_2024_POCOS,E07,-20.065277999999978,-51.10999999999996
3500065011,Bataguassu,Bauru,Rebaixamento,1987-07-23,SGB_HIDRO_MS_2024_POCOS,E07,-21.72361099999995,-52.264166999999986
3500065012,Bataguassu,Bauru,Rebaixamento,2009-05-09,SGB_HIDRO_MS_2024_POCOS,E07,-21.717777999999953,-52.41638899999998
3500065020,Bonito,Cuiaba,Continuo,1973-11-16,SGB_HIDRO_MS_2024_POCOS,E07,-21.121943999999928,-56.49499999999995
3500034020,Inocência,Bauru,Rebaixamento,2014-08-08,SGB_HIDRO_MS_2024_POCOS,E07,-19.738332999999955,-51.933055999999965
3500065033,Campo Grande,Serra geral,Rebaixamento,2014-01-03,SGB_HIDRO_MS_2024_POCOS,E07,-20.466110999999955,-54.716110999999955
3500068740,Ribas do Rio Pardo,Bauru,Rebaixamento,2023-04-20,SGB_HIDRO_MS_2024_POCOS,E07,-21.02227799999997,-53.53642499999995
3500022652,Bodoquena,Rocha sedimentar,Rebaixamento,2004-06-03,SGB_HIDRO_MS_2024_POCOS,E07,-20.55499999999995,-56.67277699999994
3500026941,Nova Andradina,Serra geral,Rebaixamento,2008-09-22,SGB_HIDRO_MS_2024_POCOS,E07,-22.286666999999966,-53.37749999999994
3500026947,Rio Brilhante,Caiua,Rebaixamento,2009-01-08,SGB_HIDRO_MS_2024_POCOS,E07,-21.84611099999995,-54.60888899999998
3500026966,Nova Andradina,Caiua,Rebaixamento,2009-03-05,SGB_HIDRO_MS_2024_POCOS,E07,-22.07749999999993,-53.45861099999996
3500027018,Nova Alvorada do Sul,Serra geral,Rebaixamento,2009-11-05,SGB_HIDRO_MS_2024_POCOS,E07,-21.45138899999995,-54.37888899999996
3500045166,Campo Grande,Serra geral,Rebaixamento,2008-04-28,SGB_HIDRO_MS_2024_POCOS,E07,-20.44916699999993,-54.59694399999995
3500023189,Aquidauana,Aquidauana,Rebaixamento,1998-05-14,SGB_HIDRO_MS_2024_POCOS,E07,-20.459443999999962,-55.79055499999998
3500023383,Taquarussu,Bauru,Rebaixamento,1991-09-11,SGB_HIDRO_MS_2024_POCOS,E07,-22.486110999999937,-53.35805499999998
3500027259,Caarapó,Serra geral,Rebaixamento,2010-01-01,SGB_HIDRO_MS_2024_POCOS,E07,-22.494721999999967,-54.756666999999936
3500023243,Camapuã,Guarani,Rebaixamento,1995-09-28,SGB_HIDRO_MS_2024_POCOS,E07,-19.55638799999997,-54.039165999999966
3500023296,Três Lagoas,Caiua,Rebaixamento,1995-08-17,SGB_HIDRO_MS_2024_POCOS,E07,-20.79249999999996,-51.730276999999944
3500023328,Chapadão do Sul,Bauru,Rebaixamento,1987-06-17,SGB_HIDRO_MS_2024_POCOS,E07,-18.803887999999972,-52.61166599999996
3500023359,Iguatemi,Caiua,Rebaixamento,1993-08-10,SGB_HIDRO_MS_2024_POCOS,E07,-23.666943999999944,-54.56611099999998
3500030624,São Gabriel do Oeste,Guarani,Rebaixamento,2009-03-06,SGB_HIDRO_MS_2024_POCOS,E07,-19.41055599999993,-54.579999999999984
3500030625,São Gabriel do Oeste,Serra geral,Rebaixamento,2011-10-14,SGB_HIDRO_MS_2024_POCOS,E07,-19.391666999999927,-54.571666999999934
3500030627,São Gabriel do Oeste,Serra geral,Rebaixamento,2009-03-04,SGB_HIDRO_MS_2024_POCOS,E07,-19.446943999999974,-54.52611099999996
3500030631,São Gabriel do Oeste,Serra geral,Rebaixamento,2009-04-12,SGB_HIDRO_MS_2024_POCOS,E07,-19.392499999999927,-54.604443999999944
3500022739,Ponta Porã,Serra geral,Rebaixamento,1990-11-21,SGB_HIDRO_MS_2024_POCOS,E07,-22.56583299999994,-55.685276999999985
