well_id,municipality,aquifer,transmissivity,zero_requires_review,unit,test_date,interpretation_method,source,evidence_code,latitude,longitude
3500065075,Taquarussu,Caiua,40.72,False,SOURCE_UNIT_NOT_VERIFIED,1981-05-26,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E09,-22.486388999999974,-53.358055999999976
3500065078,Três Lagoas,Caiua,8.39,False,SOURCE_UNIT_NOT_VERIFIED,1991-07-19,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E09,-20.787777999999946,-51.70666699999998
3500065081,Três Lagoas,Caiua,45.0,False,SOURCE_UNIT_NOT_VERIFIED,2013-01-20,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E09,-20.789721999999927,-51.728332999999964
3500065058,Figueirão,Guarani,45.0,False,SOURCE_UNIT_NOT_VERIFIED,2009-10-14,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E09,-18.685277999999983,-53.635832999999934
3500065064,Maracaju,Guarani,30.5,False,SOURCE_UNIT_NOT_VERIFIED,2012-02-25,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E09,-21.73277799999994,-55.51249999999993
3500065025,Camapuã,Guarani,10.3,False,SOURCE_UNIT_NOT_VERIFIED,1991-02-14,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E09,-19.51277799999997,-54.04777799999994
3500065017,Bodoquena,Cuiaba,0.76,False,SOURCE_UNIT_NOT_VERIFIED,1981-04-07,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E09,-20.55416699999995,-56.67194399999994
3500065062,Japorã,Caiua,101.45,False,SOURCE_UNIT_NOT_VERIFIED,2016-05-02,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E09,-23.892777999999964,-54.40833299999997
3500065071,Rio Verde de Mato Grosso,Furnas,113.6,False,SOURCE_UNIT_NOT_VERIFIED,2009-03-17,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E09,-18.925832999999955,-54.85722199999998
3500065057,Figueirão,Guarani,30.5,False,SOURCE_UNIT_NOT_VERIFIED,2012-12-13,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E09,-18.678610999999933,-53.632221999999956
3500065023,Camapuã,Guarani,10.3,False,SOURCE_UNIT_NOT_VERIFIED,1994-10-01,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E09,-19.558055999999965,-54.03972199999998
3500065001,Água Clara,Bauru,45.0,False,SOURCE_UNIT_NOT_VERIFIED,2016-12-23,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E09,-20.446943999999974,-52.87472199999996
3500065006,Antônio João,Serra geral,64.0,False,SOURCE_UNIT_NOT_VERIFIED,1979-10-03,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E09,-22.191943999999978,-55.95666699999998
3500065014,Bataguassu,Caiua,10.3,False,SOURCE_UNIT_NOT_VERIFIED,1984-07-17,UNKNOWN,SGB_HIDRO_MS_2024_POCOS,E09,-21.709443999999962,-52.40888899999993
