well_id,municipality,aquifer,latest_evidence_date,evidence_type,age_years,source,evidence_code,latitude,longitude
3500065054,Dourados,Guarani,2016-10-25,CHEM_ANALYSIS,9.843,SGB_HIDRO_MS_2024_POCOS,E11,-22.19166699999994,-54.69222199999996
3500053084,Miranda,Coluvionar,2009-09-22,CHEM_ANALYSIS,16.934,SGB_HIDRO_MS_2024_POCOS,E11,-20.143332999999927,-56.28333299999997
3500027119,Caarapó,Serra geral,2009-08-27,PUMPING_TEST,17.005,SGB_HIDRO_MS_2024_POCOS,E11,-22.642499999999927,-54.82416699999993
3500026917,Três Lagoas,Serra geral,2008-01-08,CHEM_ANALYSIS,18.639,SGB_HIDRO_MS_2024_POCOS,E11,-20.97083299999997,-51.839166999999975
3500027282,Chapadão do Sul,Bauru,2010-05-11,CHEM_ANALYSIS,16.301,SGB_HIDRO_MS_2024_POCOS,E11,-18.807777999999928,-52.62555599999996
3500045668,Corguinho,Aquidauana,2010-10-04,CHEM_ANALYSIS,15.901,SGB_HIDRO_MS_2024_POCOS,E11,-19.677221999999972,-55.08277799999996
3500045682,Iguatemi,Caiua,2014-02-19,CHEM_ANALYSIS,12.523,SGB_HIDRO_MS_2024_POCOS,E11,-23.67972199999997,-54.57472199999995
3500053090,Maracaju,Guarani,2008-06-12,CHEM_ANALYSIS,18.212,SGB_HIDRO_MS_2024_POCOS,E11,-21.613888999999972,-55.194999999999936
3500065040,Campo Grande,Serra geral,2016-01-22,CHEM_ANALYSIS,10.601,SGB_HIDRO_MS_2024_POCOS,E11,-20.46222199999994,-54.61638899999997
3500065045,Campo Grande,Serra geral,2016-02-02,CHEM_ANALYSIS,10.571,SGB_HIDRO_MS_2024_POCOS,E11,-20.468610999999953,-54.716388999999936
3500065046,Campo Grande,Serra geral,2016-12-13,CHEM_ANALYSIS,9.708,SGB_HIDRO_MS_2024_POCOS,E11,-20.44222199999996,-54.67277799999994
3500065047,Campo Grande,Serra geral,2016-09-30,CHEM_ANALYSIS,9.911,SGB_HIDRO_MS_2024_POCOS,E11,-20.484166999999957,-54.74916699999994
3500065060,Ivinhema,Caiua,2016-07-09,PUMPING_TEST,10.138,SGB_HIDRO_MS_2024_POCOS,E11,-22.338888999999938,-53.84249999999997
3500065072,Selvíria,Serra geral,2016-02-17,CHEM_ANALYSIS,10.53,SGB_HIDRO_MS_2024_POCOS,E11,-20.361943999999937,-51.426943999999935
3500023027,Coxim,Guarani,2004-08-02,CHEM_ANALYSIS,22.073,SGB_HIDRO_MS_2024_POCOS,E11,-18.64027699999997,-54.35972199999998
3500065009,Aral Moreira,Serra geral,2016-01-27,CHEM_ANALYSIS,10.587,SGB_HIDRO_MS_2024_POCOS,E11,-22.944166999999936,-55.634721999999954
3500068739,Ribas do Rio Pardo,Bauru,2023-04-26,PUMPING_TEST,3.343,SGB_HIDRO_MS_2024_POCOS,E11,-20.012241999999958,-53.29814399999998
3500026934,Glória de Dourados,Caiua,2008-10-10,CHEM_ANALYSIS,17.884,SGB_HIDRO_MS_2024_POCOS,E11,-22.464721999999938,-54.17444399999994
3500026935,Nova Andradina,Caiua,2009-01-27,CHEM_ANALYSIS,17.585,SGB_HIDRO_MS_2024_POCOS,E11,-22.277221999999938,-53.371110999999985
3500026939,Nova Andradina,Serra geral,2008-09-22,PUMPING_TEST,17.933,SGB_HIDRO_MS_2024_POCOS,E11,-22.284999999999968,-53.37944399999998
