well_id,municipality,aquifer,specific_capacity,unit,source,evidence_code,latitude,longitude
3500026840,Iguatemi,Caiua,0.388,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-23.66972199999998,-54.56499999999994
3500029178,Santa Rita do Pardo,Bauru,0.896,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-21.300555999999972,-52.818888999999956
3500069520,Glória de Dourados,Bauru_Caiua,0.87,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.350221999999974,-54.276138999999944
3500022494,Campo Grande,Serra geral,2.222,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.42111099999994,-54.623332999999946
3500022511,Campo Grande,Serra geral,2.8,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.460276999999962,-54.636665999999934
3500022539,Batayporã,Caiua,4.053,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.300554999999974,-53.26444399999997
3500022553,Nova Andradina,Bauru,2.66,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.254443999999978,-53.34055499999994
3500022592,Coxim,Furnas,0.844,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-18.51194399999997,-54.74444399999999
3500022601,Camapuã,Guarani,0.066,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-19.528332999999975,-54.04305499999998
3500022612,Rio Verde de Mato Grosso,Furnas,1.615,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-18.923887999999977,-54.84722199999993
3500022616,Bataguassu,Caiua,0.87,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-21.76222199999995,-52.55249999999995
3500022647,Angélica,Caiua,1.853,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.15972199999993,-53.77249999999998
3500022660,Bonito,Cuiaba,2.4,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-21.24249999999995,-56.447776999999974
3500022667,Aral Moreira,Serra geral,1.355,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.771110999999962,-55.62722199999996
3500022677,Nova Andradina,Bauru,1.406,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.23111099999994,-53.33666599999998
