scale_km2,pih_cell_id,source_hex_id,area_efetiva_ms_km2,evidence_code,evidence_name,n_evidence,n_wells_E01,pct_of_wells,support_state,interpretation
250,PIH-250-0004,HX-26-3,33.7791,E09,Transmissividade informada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0004,HX-26-3,33.7791,E10,Evidência hidroquímica e físico-química parcial,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0004,HX-26-3,33.7791,E11,Última evidência hidrogeológica datada,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0004,HX-26-3,33.7791,E12,Revisão hidroestratigráfica necessária,0,0,,UNKNOWN_NO_WELLS_IN_DATASET,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0005,HX-18-4,138.0558,E01,Poços canônicos provisórios,7,7,100.0,WELLS_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0005,HX-18-4,138.0558,E02,Profundidade positiva informada,7,7,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0005,HX-18-4,138.0558,E03,Aquífero informado no cadastro,6,7,85.7143,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0005,HX-18-4,138.0558,E04,Nível estático disponível,7,7,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0005,HX-18-4,138.0558,E05,Nível dinâmico disponível,7,7,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0005,HX-18-4,138.0558,E06,Vazão específica não negativa,7,7,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0005,HX-18-4,138.0558,E07,Ensaio de bombeamento cadastrado,3,7,42.8571,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0005,HX-18-4,138.0558,E08,Ensaio com metadados mínimos de cadastro,3,7,42.8571,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0005,HX-18-4,138.0558,E09,Transmissividade informada,0,7,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0005,HX-18-4,138.0558,E10,Evidência hidroquímica e físico-química parcial,4,7,57.1429,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0005,HX-18-4,138.0558,E11,Última evidência hidrogeológica datada,5,7,71.4286,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0005,HX-18-4,138.0558,E12,Revisão hidroestratigráfica necessária,6,7,85.7143,REVIEW_REQUIRED_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0006,HX-19-4,237.647,E01,Poços canônicos provisórios,1,1,100.0,WELLS_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0006,HX-19-4,237.647,E02,Profundidade positiva informada,1,1,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0006,HX-19-4,237.647,E03,Aquífero informado no cadastro,1,1,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0006,HX-19-4,237.647,E04,Nível estático disponível,1,1,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0006,HX-19-4,237.647,E05,Nível dinâmico disponível,1,1,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0006,HX-19-4,237.647,E06,Vazão específica não negativa,1,1,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0006,HX-19-4,237.647,E07,Ensaio de bombeamento cadastrado,1,1,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0006,HX-19-4,237.647,E08,Ensaio com metadados mínimos de cadastro,1,1,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0006,HX-19-4,237.647,E09,Transmissividade informada,0,1,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0006,HX-19-4,237.647,E10,Evidência hidroquímica e físico-química parcial,0,1,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0006,HX-19-4,237.647,E11,Última evidência hidrogeológica datada,1,1,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0006,HX-19-4,237.647,E12,Revisão hidroestratigráfica necessária,1,1,100.0,REVIEW_REQUIRED_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0007,HX-20-4,222.7755,E01,Poços canônicos provisórios,6,6,100.0,WELLS_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0007,HX-20-4,222.7755,E02,Profundidade positiva informada,6,6,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0007,HX-20-4,222.7755,E03,Aquífero informado no cadastro,6,6,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0007,HX-20-4,222.7755,E04,Nível estático disponível,6,6,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0007,HX-20-4,222.7755,E05,Nível dinâmico disponível,6,6,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0007,HX-20-4,222.7755,E06,Vazão específica não negativa,6,6,100.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0007,HX-20-4,222.7755,E07,Ensaio de bombeamento cadastrado,3,6,50.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0007,HX-20-4,222.7755,E08,Ensaio com metadados mínimos de cadastro,3,6,50.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0007,HX-20-4,222.7755,E09,Transmissividade informada,0,6,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0007,HX-20-4,222.7755,E10,Evidência hidroquímica e físico-química parcial,3,6,50.0,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
250,PIH-250-0007,HX-20-4,222.7755,E11,Última evidência hidrogeológica datada,4,6,66.6667,EVIDENCE_PRESENT,DATA_SUPPORT_ONLY_NO_PIH_PRIORITY
