pih_cell_id,source_hex_id,area_nominal_km2,centroide_lon,centroide_lat,area_efetiva_ms_km2,percentual_hexagono_em_ms,celula_borda_estadual,fonte_limite,status,n_record,n_depth_positive,n_depth_present,n_aquifer_present,n_drilling_date_present,n_ne_present,n_nd_present,n_specific_yield_present,n_ph_present,n_ec_present,n_temperature_present,n_chemical_parameter_present,n_chemical_concentration_present,n_unique_wells,analysis_status,n_E01,n_E02,n_E03,n_E04,n_E05,n_E06,n_E07,n_E08,n_E09,n_E10,n_E11,n_E12,state_E01,pct_E02_of_E01,state_E02,pct_E03_of_E01,state_E03,pct_E04_of_E01,state_E04,pct_E05_of_E01,state_E05,pct_E06_of_E01,state_E06,pct_E07_of_E01,state_E07,pct_E08_of_E01,state_E08,pct_E09_of_E01,state_E09,pct_E10_of_E01,state_E10,pct_E11_of_E01,state_E11,pct_E12_of_E01,state_E12,E02_depth_median_m,E02_depth_p10_m,E02_depth_p90_m,E03_aquifer_n_unique,E04_zero_review_count,E05_zero_review_count,E07_test_types,E09_zero_review_count,E10_available_fields_median,E10_n_pH,E10_n_EC,E10_n_temperature,E10_n_chemical_parameter,E11_age_median_years,E11_age_p25_years,E11_age_p75_years,E12_comparison_statuses,cutoff_date
PIH-1000-0322,HX1000-14-22,1000,-54.5,-18.904944,1000.0,100.0,Não,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,4,2,2,2,2,2,2,2,2,1,1,1,1,4,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,4,2,2,2,2,2,0,0,0,2,1,3,WELLS_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,50.0,EVIDENCE_PRESENT,25.0,EVIDENCE_PRESENT,75.0,REVIEW_REQUIRED_PRESENT,97.0,69.0,125.0,2,0,0,,0,3.0,2,1,1,2,16.457,16.457,16.457,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:1 | UNKNOWN:2,2026-08-29
PIH-1000-0323,HX1000-15-22,1000,-54.177477,-18.904649,1000.0,100.0,Não,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,1,0,0,0,0,0,0,0,0,0,0,0,0,1,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,1,0,0,0,0,0,0,0,0,0,0,1,WELLS_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,REVIEW_REQUIRED_PRESENT,,,,0,0,0,,0,,0,0,0,0,,,,UNKNOWN:1,2026-08-29
PIH-1000-0324,HX1000-16-22,1000,-53.854955,-18.903763,1000.0,100.0,Não,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,3,3,3,3,3,3,3,3,1,1,0,1,1,3,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,3,3,3,3,3,3,1,1,0,1,2,0,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,33.3333,EVIDENCE_PRESENT,33.3333,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,33.3333,EVIDENCE_PRESENT,66.6667,EVIDENCE_PRESENT,0.0,NO_REVIEW_FLAG_IN_AUDITED_WELLS,120.0,120.0,132.0,2,0,0,Rebaixamento:1,0,3.0,1,1,0,1,29.662,23.3335,35.9905,,2026-08-29
PIH-1000-0325,HX1000-17-22,1000,-53.532432,-18.902287,1000.0,100.0,Não,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,1,1,1,1,1,1,1,1,0,0,0,1,1,1,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,1,1,1,1,1,1,0,0,0,1,1,0,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,0.0,NO_REVIEW_FLAG_IN_AUDITED_WELLS,139.4,139.4,139.4,1,0,0,,0,1.0,0,0,0,1,16.813,16.813,16.813,,2026-08-29
PIH-1000-0326,HX1000-18-22,1000,-53.20991,-18.90022,1000.0,100.0,Não,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,2,1,1,1,1,1,1,1,0,0,0,0,0,2,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,2,1,1,1,1,1,1,1,0,0,1,2,WELLS_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,50.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,50.0,EVIDENCE_PRESENT,100.0,REVIEW_REQUIRED_PRESENT,105.0,105.0,105.0,1,0,0,Rebaixamento:1,0,,0,0,0,0,34.571,34.571,34.571,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:1 | UNKNOWN:1,2026-08-29
PIH-1000-0327,HX1000-19-22,1000,-52.887388,-18.897563,1000.0,100.0,Não,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,18,13,13,11,13,11,11,11,9,7,4,6,6,18,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,18,13,11,11,11,11,3,3,0,9,4,16,WELLS_PRESENT,72.2222,EVIDENCE_PRESENT,61.1111,EVIDENCE_PRESENT,61.1111,EVIDENCE_PRESENT,61.1111,EVIDENCE_PRESENT,61.1111,EVIDENCE_PRESENT,16.6667,EVIDENCE_PRESENT,16.6667,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,50.0,EVIDENCE_PRESENT,22.2222,EVIDENCE_PRESENT,88.8889,REVIEW_REQUIRED_PRESENT,120.0,54.4,164.4,4,0,0,Rebaixamento:3,0,3.0,9,7,4,9,12.722999999999999,8.285,21.0225,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:9 | UNKNOWN:7,2026-08-29
PIH-1000-0328,HX1000-20-22,1000,-52.564866,-18.894316,1000.0,100.0,Não,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,36,27,27,26,27,27,27,26,14,9,13,10,10,36,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,36,27,26,27,27,26,10,10,0,16,17,36,WELLS_PRESENT,75.0,EVIDENCE_PRESENT,72.2222,EVIDENCE_PRESENT,75.0,EVIDENCE_PRESENT,75.0,EVIDENCE_PRESENT,72.2222,EVIDENCE_PRESENT,27.7778,EVIDENCE_PRESENT,27.7778,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,44.4444,EVIDENCE_PRESENT,47.2222,EVIDENCE_PRESENT,100.0,REVIEW_REQUIRED_PRESENT,130.0,98.0,153.20000000000002,5,0,0,Escalonado:1 | Rebaixamento:9,0,3.0,14,9,13,16,24.841,16.895,31.006,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:17 | UNKNOWN:19,2026-08-29
PIH-1000-0329,HX1000-21-22,1000,-52.242344,-18.890478,654.9601,65.5,Sim,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,5,5,5,5,5,5,5,5,4,4,3,4,4,5,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,5,5,5,5,5,5,1,1,0,4,1,1,WELLS_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,100.0,EVIDENCE_PRESENT,20.0,EVIDENCE_PRESENT,20.0,EVIDENCE_PRESENT,0.0,NO_EVIDENCE_IN_AUDITED_WELLS,80.0,EVIDENCE_PRESENT,20.0,EVIDENCE_PRESENT,20.0,REVIEW_REQUIRED_PRESENT,100.0,68.8,120.0,4,0,0,Rebaixamento:1,0,4.0,4,4,3,4,36.167,36.167,36.167,DIVERGÊNCIA CARTOGRÁFICA NÃO CONCLUSIVA:1,2026-08-29
PIH-1000-0330,HX1000-22-22,1000,-51.919823,-18.88605,122.7584,12.28,Sim,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,,,0,0,0,,0,,0,0,0,0,,,,,2026-08-29
PIH-1000-0331,HX1000-4-23,1000,-57.559067,-18.612538,886.8957,88.69,Sim,IBGE Malha Municipal Digital 2025,CANDIDATE_SCALE_NOT_ADOPTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MALHA_EVIDENCE_MATRIX_V1_NO_PIH_SCORE,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,UNKNOWN_NO_WELLS_IN_DATASET,,,,0,0,0,,0,,0,0,0,0,,,,,2026-08-29
