cell_id,scale_km2,grid_family,area_effective_km2,question_code,question_name,n_wells,direct_evidence_n,direct_evidence_pct_of_wells,cell_state_code,cell_state_label,support_points_n,cross_scale_exact_state_support_n,cross_scale_exact_state_support_pct,cross_scale_direct_all_support_n,cross_scale_direct_some_support_n,cross_scale_direct_none_support_n,origin_exact_state_support_n,origin_exact_state_support_pct,origin_direct_all_support_n,origin_direct_some_support_n,origin_direct_none_support_n,hydro_surface_units_n,hydro_surface_domains_n,hydro_context_state,hydro_dominant_unit,hydro_dominant_domain,top_blocking_requirements,method_version
SCALE-100-O00-00011,100,SCALE_PRIMARY_O00_V1,99.50362806310463,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,5,0,0.0,0,5,0,0,0.0,0,5,0,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00012,100,SCALE_PRIMARY_O00_V1,100.00000000000786,Q01,Nível e profundidade da água,1,1,100.0,2,EVIDENCIA_DIRETA_PRESENTE,4,0,0.0,0,4,0,0,0.0,0,4,0,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),Q01_R03=1|Q01_R05=1|Q01_R06=1,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00013,100,SCALE_PRIMARY_O00_V1,99.29576584277223,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,3,0,0.0,0,3,0,3,100.0,0,0,3,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00014,100,SCALE_PRIMARY_O00_V1,94.19938021756798,Q01,Nível e profundidade da água,6,6,100.0,2,EVIDENCIA_DIRETA_PRESENTE,3,1,33.333333,1,2,0,1,33.333333,1,2,0,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),Q01_R03=6|Q01_R05=6|Q01_R06=6,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00015,100,SCALE_PRIMARY_O00_V1,56.42191140917155,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,1,0,0.0,0,1,0,0,0.0,0,1,0,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00016,100,SCALE_PRIMARY_O00_V1,4.727979370755337,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0,,0,0,0,0,,0,0,0,0,0,UNKNOWN_SEM_CONTEXTO_CLASSIFICADO,,,,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00017,100,SCALE_PRIMARY_O00_V1,1.6681735472384123,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0,,0,0,0,0,,0,0,0,0,0,UNKNOWN_SEM_CONTEXTO_CLASSIFICADO,,,,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00018,100,SCALE_PRIMARY_O00_V1,68.0666598960869,Q01,Nível e profundidade da água,9,9,100.0,2,EVIDENCIA_DIRETA_PRESENTE,2,1,50.0,1,1,0,2,100.0,2,0,0,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),Q01_R03=9|Q01_R05=9,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00019,100,SCALE_PRIMARY_O00_V1,100.00000000000786,Q01,Nível e profundidade da água,14,13,92.857143,2,EVIDENCIA_DIRETA_PRESENTE,4,3,75.0,3,1,0,3,75.0,3,1,0,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),Q01_R03=14|Q01_R05=14|Q01_R06=13|Q01_R02=1|Q01_R04=1,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00020,100,SCALE_PRIMARY_O00_V1,100.00000000000786,Q01,Nível e profundidade da água,1,1,100.0,2,EVIDENCIA_DIRETA_PRESENTE,4,3,75.0,3,1,0,0,0.0,0,4,0,2,1,MULTIPLAS_UNIDADES_SUPERFICIAIS,Grupo Caiuá,Granular (Gr),Q01_R03=1|Q01_R05=1|Q01_R06=1,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00021,100,SCALE_PRIMARY_O00_V1,35.78217502577612,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,1,0,0.0,0,1,0,1,100.0,0,0,1,1,1,UMA_UNIDADE_SUPERFICIAL,Depósitos aluvionares,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00022,100,SCALE_PRIMARY_O00_V1,89.50602617662064,Q01,Nível e profundidade da água,1,1,100.0,2,EVIDENCIA_DIRETA_PRESENTE,2,2,100.0,2,0,0,2,100.0,2,0,0,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),Q01_R03=1|Q01_R05=1|Q01_R06=1,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00023,100,SCALE_PRIMARY_O00_V1,100.00000000000786,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,0,0.0,0,4,0,2,50.0,0,2,2,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00024,100,SCALE_PRIMARY_O00_V1,100.00000000000786,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,0,0.0,0,4,0,3,75.0,0,1,3,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00025,100,SCALE_PRIMARY_O00_V1,100.00000000000786,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,0,0.0,0,4,0,4,100.0,0,0,4,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00026,100,SCALE_PRIMARY_O00_V1,100.00000000000786,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,0,0.0,0,4,0,3,75.0,0,1,3,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00027,100,SCALE_PRIMARY_O00_V1,99.67243705685901,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,0,0.0,0,4,0,4,100.0,0,0,4,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00028,100,SCALE_PRIMARY_O00_V1,72.89428511138613,Q01,Nível e profundidade da água,1,1,100.0,2,EVIDENCIA_DIRETA_PRESENTE,3,0,0.0,0,3,0,0,0.0,0,3,0,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),Q01_R03=1|Q01_R05=1|Q01_R06=1,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00029,100,SCALE_PRIMARY_O00_V1,31.2776933844145,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,2,0,0.0,0,2,0,1,50.0,0,1,1,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00030,100,SCALE_PRIMARY_O00_V1,63.293579959369616,Q01,Nível e profundidade da água,2,2,100.0,2,EVIDENCIA_DIRETA_PRESENTE,3,1,33.333333,1,2,0,2,66.666667,2,1,0,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),Q01_R03=2|Q01_R05=2,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00031,100,SCALE_PRIMARY_O00_V1,98.94423022642725,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,0,0.0,0,4,0,0,0.0,0,4,0,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00032,100,SCALE_PRIMARY_O00_V1,100.00000000000786,Q01,Nível e profundidade da água,6,6,100.0,2,EVIDENCIA_DIRETA_PRESENTE,4,4,100.0,4,0,0,4,100.0,4,0,0,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),Q01_R03=6|Q01_R05=6|Q01_R06=6,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00033,100,SCALE_PRIMARY_O00_V1,100.00000000000786,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,0,0.0,0,4,0,2,50.0,0,2,2,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00034,100,SCALE_PRIMARY_O00_V1,99.36691504099048,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,4,0,0.0,0,4,0,1,25.0,0,3,1,1,1,UMA_UNIDADE_SUPERFICIAL,Grupo Caiuá,Granular (Gr),,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
SCALE-100-O00-00035,100,SCALE_PRIMARY_O00_V1,0.714720072073973,Q01,Nível e profundidade da água,0,0,,0,SEM_POCOS_NO_CONJUNTO_AUDITADO,0,0,,0,0,0,0,,0,0,0,0,0,UNKNOWN_SEM_CONTEXTO_CLASSIFICADO,,,,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
