scale_km2,question_code,origin_a,origin_b,support_points_n,exact_state_agreement_n,exact_state_agreement_pct,direct_presence_jaccard,direct_presence_mismatch_n,direct_presence_mismatch_pct,spearman_state_code,method_version
100,Q02,O00,OXY25,14284,12179,85.263232,0.49501661,1672,11.705405,0.6003050413724064,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q02,OX25,OY25,14284,12201,85.41725,0.48958019,1690,11.83142,0.6129663371339298,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q02,OX25,OXY25,14284,12813,89.701764,0.61435125,1177,8.239989,0.726395642920864,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q02,OY25,OXY25,14284,12544,87.818538,0.56051965,1387,9.710165,0.6705746041058548,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q02,O00,OX25,14284,12201,85.41725,0.5802651,1710,11.971437,0.6743778402536682,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q02,O00,OY25,14284,12352,86.474377,0.62385554,1479,10.354243,0.7088618110194906,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q02,O00,OXY25,14284,11833,82.840941,0.52989,1966,13.763652,0.6218513145207659,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q02,OX25,OY25,14284,11893,83.260991,0.53447445,1931,13.518622,0.6310772715185552,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q02,OX25,OXY25,14284,12438,87.076449,0.62621112,1466,10.263232,0.7173904498329267,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q02,OY25,OXY25,14284,12268,85.886306,0.59119497,1625,11.376365,0.6884083102915345,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q02,O00,OX25,14284,11699,81.902828,0.59715026,2177,15.240829,0.674015209544416,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q02,O00,OY25,14284,12126,84.892187,0.65347676,1804,12.629516,0.7242799260625141,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q02,O00,OXY25,14284,11360,79.529544,0.55760202,2450,17.152058,0.6303832254509668,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q02,OX25,OY25,14284,11402,79.823579,0.56405182,2423,16.963036,0.6312862131689485,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q02,OX25,OXY25,14284,12103,84.731168,0.65388267,1823,12.762532,0.7272796651117565,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q02,OY25,OXY25,14284,11739,82.182862,0.60502494,2138,14.967796,0.6769507062871273,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q02,O00,OX25,14284,11572,81.013722,0.67326322,2361,16.528983,0.6841690797186897,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q02,O00,OY25,14284,11789,82.532904,0.70501059,2090,14.631756,0.7168012457194552,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q02,O00,OXY25,14284,11077,77.548306,0.63025879,2786,19.504341,0.6347107660895871,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q02,OX25,OY25,14284,11213,78.50042,0.64835901,2625,18.377205,0.6496071819614364,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q02,OX25,OXY25,14284,11804,82.637917,0.70515267,2163,15.142817,0.7171884675282532,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
500,Q02,OY25,OXY25,14284,11596,81.181742,0.70087099,2198,15.387847,0.7083443148423589,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q02,O00,OX25,14284,11684,81.797816,0.74937858,2319,16.234948,0.7044686534197309,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q02,O00,OY25,14284,12170,85.200224,0.78923671,1966,13.763652,0.7382701096952323,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q02,O00,OXY25,14284,11311,79.186502,0.72026571,2653,18.573229,0.6509726275902102,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q02,OX25,OY25,14284,11552,80.873705,0.73709574,2455,17.187062,0.6921984631137689,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q02,OX25,OXY25,14284,12008,84.066088,0.77089852,2050,14.351722,0.7394532093779569,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,Q02,OY25,OXY25,14284,11855,82.994959,0.76536011,2173,15.212826,0.7229148533474955,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q03,O00,OX25,14284,12389,86.733408,0.54411765,1209,8.464016,0.6674682565128492,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q03,O00,OY25,14284,12730,89.120694,0.61188811,999,6.993839,0.7270744479815812,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q03,O00,OXY25,14284,12079,84.563148,0.48062296,1434,10.039205,0.6051215698627483,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q03,OX25,OY25,14284,12141,84.9972,0.49035311,1400,9.801176,0.6206451978300709,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q03,OX25,OXY25,14284,12726,89.092691,0.59218318,1033,7.231868,0.7289529182082591,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
100,Q03,OY25,OXY25,14284,12474,87.328479,0.55340175,1175,8.225987,0.6754688551075071,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q03,O00,OX25,14284,12054,84.388127,0.55683123,1544,10.809297,0.6793533499286775,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q03,O00,OY25,14284,12249,85.75329,0.60142772,1340,9.381126,0.7103021307027965,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q03,O00,OXY25,14284,11719,82.042845,0.51169343,1733,12.132456,0.6262959520743118,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q03,OX25,OY25,14284,11777,82.448894,0.51474305,1728,12.097452,0.6351359995580489,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q03,OX25,OXY25,14284,12381,86.677401,0.62780133,1229,8.604032,0.7246066353051921,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
150,Q03,OY25,OXY25,14284,12145,85.025203,0.5700412,1461,10.228227,0.6927141919377177,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q03,O00,OX25,14284,11567,80.978717,0.57087877,2007,14.050686,0.6765416211229933,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q03,O00,OY25,14284,11964,83.758051,0.64023696,1579,11.054327,0.7358630960216356,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q03,O00,OXY25,14284,11172,78.213386,0.53104027,2236,15.653878,0.6372851379109832,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
250,Q03,OX25,OY25,14284,11222,78.563428,0.54144915,2196,15.373845,0.6391640355680324,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
